EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EXU,,001,Stoplamp switch,,,
EXU,,001,Data Link Connector (DLC),,,
EXU,,001,Central Junction Box (CJB),,,
EXU,,001,Battery Junction Box (BJB),,,
EXU,,001,ABS control module,,,
EXU,,001,Instrument cluster,,,
EXU,,002,"Wheel speed sensor, right front",,,
EXU,,002,"Wheel speed sensor, right rear",,,
EXU,,002,"Wheel speed sensor, left front",,,
EXU,,002,ABS control module,,,
EXU,,002,"Wheel speed sensor, left rear",,,
EXU,,001,Stoplamp switch,,,
EXU,,001,Data Link Connector (DLC),,,
EXU,,001,Central Junction Box (CJB),,,
EXU,,001,Battery Junction Box (BJB),,,
EXU,,001,ABS control module,,,
EXU,,001,Instrument cluster,,,
EXU,,002,Data Link Connector (DLC),,,
EXU,,002,ABS control module,,,
EXU,,002,Traction Control System (TCS) disable switch,,,
EXU,,002,Shorting bar connector 2,,,
EXU,,002,Central Junction Box (CJB),,,
EXU,,002,Instrument cluster,,,
EXU,,003,"Wheel speed sensor, right front",,,
EXU,,003,"Wheel speed sensor, right rear",,,
EXU,,003,"Wheel speed sensor, left front",,,
EXU,,003,ABS control module,,,
EXU,,003,"Wheel speed sensor, left rear",,,
EXU,,001,Second cooling fan motor,ZETEC-VCT,,
EXU,,001,Battery Junction Box (BJB),ZETEC-VCT,,
EXU,,001,Dual pressure switch,ZETEC-VCT,,
EXU,,001,Powertrain control module (PCM),ZETEC-VCT,,
EXU,,001,Engine cooling fan resistor,ZETEC-VCT,,
EXU,,001,Engine cooling fan relay,ZETEC-VCT,,
EXU,,001,High speed engine cooling fan relay,ZETEC-VCT,,
EXU,,001,Engine cooling fan motor,ZETEC-VCT,,
EXU,,001,PCM power relay,ZETEC-VCT,,
EXU,,002,Powertrain control module (PCM),ZETEC-VCT,,
EXU,,002,Engine Coolant Temperature (ECT) sensor,ZETEC-VCT,,
EXU,,001,Second cooling fan motor,Duratec-VE,,
EXU,,001,Battery Junction Box (BJB),Duratec-VE,,
EXU,,001,Dual pressure switch,Duratec-VE,,
EXU,,001,Powertrain control module (PCM),Duratec-VE,,
EXU,,001,Engine cooling fan resistor,Duratec-VE,,
EXU,,001,Engine cooling fan relay,Duratec-VE,,
EXU,,001,High speed engine cooling fan relay,Duratec-VE,,
EXU,,001,Engine cooling fan motor,Duratec-VE,,
EXU,,001,PCM power relay,Duratec-VE,,
EXU,,002,Powertrain control module (PCM),Duratec-VE,,
EXU,,002,Engine Coolant Temperature (ECT) sensor,Duratec-VE,,
EXU,,001,Powertrain control module (PCM),ZETEC-VCT,,
EXU,,001,Injector 4,ZETEC-VCT,,
EXU,,001,Injector 3,ZETEC-VCT,,
EXU,,001,Injector 2,ZETEC-VCT,,
EXU,,001,Injector 1,ZETEC-VCT,,
EXU,,001,Idle speed control valve,ZETEC-VCT,,
EXU,,001,PCM power relay,ZETEC-VCT,,
EXU,,001,Battery Junction Box (BJB),ZETEC-VCT,,
EXU,,001,Injector 6,Duratec-VE,,
EXU,,001,Injector 5,Duratec-VE,,
EXU,,001,Injector 4,Duratec-VE,,
EXU,,001,Injector 1,Duratec-VE,,
EXU,,001,Powertrain control module (PCM),Duratec-VE,,
EXU,,001,Idle speed control valve,Duratec-VE,,
EXU,,001,Injector 3,Duratec-VE,,
EXU,,001,Injector 2,Duratec-VE,,
EXU,,001,Battery Junction Box (BJB),Duratec-VE,,
EXU,,001,PCM power relay,Duratec-VE,,
EXU,,002,Powertrain control module (PCM),Duratec-VE,,
EXU,,002,Intake manifold runner control (IMRC) module,Duratec-VE,,
EXU,,001,Battery Junction Box (BJB),,,
EXU,,001,Starter motor,,,
EXU,,001,Starter relay,,,
EXU,,001,Starter relay diode,,,
EXU,,001,Ignition switch,,,
EXU,,001,Battery,,,
EXU,,002,Powertrain control module (PCM),,,
EXU,,002,Start inhibit switch,,,
EXU,,002,Transmission range sensor,,,
EXU,,001,Spark plugs,ZETEC-VCT,,
EXU,,001,Powertrain control module (PCM),ZETEC-VCT,,
EXU,,001,Camshaft position sensor,ZETEC-VCT,,
EXU,,001,Crankshaft position sensor,ZETEC-VCT,,
EXU,,001,Ignition coil,ZETEC-VCT,,
EXU,,001,Ignition transformer capacitor,ZETEC-VCT,,
EXU,,001,Battery Junction Box (BJB),ZETEC-VCT,,
EXU,,001,Spark plugs,Duratec-VE,,
EXU,,001,Camshaft position sensor,Duratec-VE,,
EXU,,001,Ignition coil,Duratec-VE,,
EXU,,001,Powertrain control module (PCM),Duratec-VE,,
EXU,,001,Crankshaft position sensor,Duratec-VE,,
EXU,,001,Ignition transformer capacitor,Duratec-VE,,
EXU,,001,Battery Junction Box (BJB),Duratec-VE,,
