EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EXU,,with side air bags,"behind dash panel, LH-side, on steering column",,,,,,,,,,,
EXU,,lower option content,"behind dash panel, LH-side, on steering column",,,,,,,,,,,
EXU,,higher option content,"behind dash panel, LH-side, on steering column",,,,,,,,,,,
EXU,,"Data Link Connector, pin 7","behind dash panel, LH-side, on steering column",,,,,,,,,,,
EXU,,,"behind dash panel, LH-side, on steering column",,,,,,,,,,,
EXU,,,on steering column,20,E4,,,,,,,,,
EXU,,,above glove box,,,,,,,,,,,
EXU,,"without daytime running lamps, higher option content","under dash panel, LH-side, on Central Junction Box (CJB)",19,E2,,,,,,,,,
EXU,,"lower option content, without daytime running lamps","under dash panel, LH-side, on Central Junction Box (CJB)",19,E2,,,,,,,,,
EXU,,lower option content,"under dash panel, LH-side, on Central Junction Box (CJB)",19,E2,,,,,,,,,
EXU,,"with variable intermittent wipers, without rear wiper","under dash panel, LH-side, on Central Junction Box (CJB)",19,E2,,,,,,,,,
EXU,,"with variable intermittent wipers, with rear wiper","under dash panel, LH-side, on Central Junction Box (CJB)",19,E2,,,,,,,,,
EXU,,with variable intermittent wipers,"under dash panel, LH-side, on Central Junction Box (CJB)",19,E2,,,,,,,,,
EXU,,with daytime running lamps,"under dash panel, LH-side, on Central Junction Box (CJB)",19,E2,,,,,,,,,
EXU,,Heated rear window,"under dash panel, LH-side, on Central Junction Box (CJB)",19,E2,,,,,,,,,
EXU,,higher option content,"under dash panel, LH-side, on Central Junction Box (CJB)",19,E2,,,,,,,,,
EXU,,Auxiliary warning,"under dash panel, LH-side, on Central Junction Box (CJB)",19,E2,,,,,,,,,
EXU,,,"under dash panel, LH-side, on Central Junction Box (CJB)",19,E2,,,,,,,,,
EXU,,Duratec-VE,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,B5,,,,,,,,,
EXU,,ZETEC-VCT,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,B5,,,,,,,,,
EXU,,,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,B5,,,,,,,,,
EXU,,"Duratec-VE, manual transmission","engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,E5,,,,,,,,,
EXU,,"Duratec-VE, automatic transmission","engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,E5,,,,,,,,,
EXU,,Duratec-VE,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,E5,,,,,,,,,
EXU,,"ZETEC-VCT, manual transmission","engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,E5,,,,,,,,,
EXU,,"ZETEC-VCT, automatic transmission","engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,E5,,,,,,,,,
EXU,,ZETEC-VCT,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,E5,,,,,,,,,
EXU,,,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,E5,,,,,,,,,
EXU,,,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,E2,,,,,,,,,
EXU,,"lower option content, without daytime running lamps","engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,C5,,,,,,,,,
EXU,,"with bulb outage warning, without daytime running lamps","engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,C5,,,,,,,,,
EXU,,"with bulb outage warning, with daytime running lamps","engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,C5,,,,,,,,,
EXU,,higher option content,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,C5,,,,,,,,,
EXU,,without auxiliary warning,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,C5,,,,,,,,,
EXU,,with auxiliary warning,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,C5,,,,,,,,,
EXU,,,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,C5,,,,,,,,,
EXU,,without auxiliary warning,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,C5,,,,,,,,,
EXU,,with auxiliary warning,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,C5,,,,,,,,,
EXU,,,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,C5,,,,,,,,,
EXU,,Heated rear window,"under dash panel, LH-side, in Central Junction Box (CJB)",17,C5,,,,,,,,,
EXU,,,"under dash panel, LH-side, in Central Junction Box (CJB)",17,C5,,,,,,,,,
EXU,,lower option content,"under dash panel, LH-side, in Central Junction Box (CJB)",17,B5,,,,,,,,,
EXU,,higher option content,"under dash panel, LH-side, in Central Junction Box (CJB)",17,B5,,,,,,,,,
EXU,,,"under dash panel, LH-side, in Central Junction Box (CJB)",17,B5,,,,,,,,,
EXU,,automatic transmission,"RH A-pillar, bottom",12,A2,,,,,,,,,
EXU,,automatic transmission,"RH A-pillar, bottom",9,A1,,,,,,,,,
EXU,,lower option content,"RH A-pillar, bottom",12,A2,,,,,,,,,
EXU,,lower option content,"RH A-pillar, bottom",9,A1,,,,,,,,,
EXU,,with bulb outage warning,"RH A-pillar, bottom",12,A2,,,,,,,,,
EXU,,with bulb outage warning,"RH A-pillar, bottom",9,A1,,,,,,,,,
EXU,,with double locking,"RH A-pillar, bottom",12,A2,,,,,,,,,
EXU,,with double locking,"RH A-pillar, bottom",9,A1,,,,,,,,,
EXU,,Duratec-VE,"RH A-pillar, bottom",12,A2,,,,,,,,,
EXU,,Duratec-VE,"RH A-pillar, bottom",9,A1,,,,,,,,,
EXU,,higher option content,"RH A-pillar, bottom",12,A2,,,,,,,,,
EXU,,higher option content,"RH A-pillar, bottom",9,A1,,,,,,,,,
EXU,,without auxiliary warning,"RH A-pillar, bottom",12,A2,,,,,,,,,
EXU,,without auxiliary warning,"RH A-pillar, bottom",9,A1,,,,,,,,,
EXU,,with auxiliary warning,"RH A-pillar, bottom",12,A2,,,,,,,,,
EXU,,with auxiliary warning,"RH A-pillar, bottom",9,A1,,,,,,,,,
EXU,,"Data Link Connector, pin 7","RH A-pillar, bottom",12,A2,,,,,,,,,
EXU,,"Data Link Connector, pin 7","RH A-pillar, bottom",9,A1,,,,,,,,,
EXU,,ZETEC-VCT,"RH A-pillar, bottom",12,A2,,,,,,,,,
EXU,,ZETEC-VCT,"RH A-pillar, bottom",9,A1,,,,,,,,,
EXU,,,"RH A-pillar, bottom",12,A2,,,,,,,,,
EXU,,,"RH A-pillar, bottom",9,A1,,,,,,,,,
EXU,,lower option content,"under dash panel, LH-side, in Central Junction Box (CJB)",17,B1,,,,,,,,,
EXU,,higher option content,"under dash panel, LH-side, in Central Junction Box (CJB)",17,B1,,,,,,,,,
EXU,,,"under dash panel, LH-side, in Central Junction Box (CJB)",17,B1,,,,,,,,,
EXU,,,"under dash panel, LH-side, in Central Junction Box (CJB)",17,B2,,,,,,,,,
EXU,,,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",14,D1,,,,,,,,,
