EVTM,Name,Qualifier,Location,Locpage,zone
,F1,Heated rear window,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",B1,EXU
,F1,,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",B1,EXU
,F2,Duratec-VE,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",B2,EXU
,F2,ZETEC-VCT,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",B2,EXU
,F2,,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",B2,EXU
,F3,,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",B3,EXU
,F4,with daytime running lamps,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",C1,EXU
,F4,"Duratec-VE, manual transmission","engine compartment, front, LH-side, in Battery Junction Box (BJB)",C1,EXU
,F4,"Duratec-VE, automatic transmission","engine compartment, front, LH-side, in Battery Junction Box (BJB)",C1,EXU
,F4,Duratec-VE,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",C1,EXU
,F4,ZETEC-VCT,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",C1,EXU
,F4,,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",C1,EXU
,F7,Duratec-VE,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",E1,EXU
,F7,ZETEC-VCT,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",E1,EXU
,F7,,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",E1,EXU
,F8,,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",E2,EXU
,F9,"Duratec-VE, manual transmission","engine compartment, front, LH-side, in Battery Junction Box (BJB)",E3,EXU
,F9,"Duratec-VE, automatic transmission","engine compartment, front, LH-side, in Battery Junction Box (BJB)",E3,EXU
,F9,ZETEC-VCT,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",E3,EXU
,F9,,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",E3,EXU
,F10,"without daytime running lamps, higher option content","engine compartment, front, LH-side, in Battery Junction Box (BJB)",E4,EXU
,F10,"lower option content, without daytime running lamps","engine compartment, front, LH-side, in Battery Junction Box (BJB)",E4,EXU
,F10,with daytime running lamps,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",E4,EXU
,F10,,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",E4,EXU
,F11,"Duratec-VE, manual transmission","engine compartment, front, LH-side, in Battery Junction Box (BJB)",B3,EXU
,F11,"Duratec-VE, automatic transmission","engine compartment, front, LH-side, in Battery Junction Box (BJB)",B3,EXU
,F11,ZETEC-VCT,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",B3,EXU
,F11,,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",B3,EXU
,F12,with speed control,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",B2,EXU
,F12,without speed control,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",B2,EXU
