EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,SORT,FREQUENCY
EXU,G1,speed control,"engine, front, LH-side",,,,
EXU,G1,"Duratec-VE, manual transmission","engine, front, LH-side",,,,
EXU,G1,"Duratec-VE, automatic transmission","engine, front, LH-side",,,,
EXU,G1,Duratec-VE,"engine, front, LH-side",,,,
EXU,G1,with speed control,"engine, front, LH-side",,,,
EXU,G1,without speed control,"engine, front, LH-side",,,,
EXU,G1,without auxiliary warning,"engine, front, LH-side",,,,
EXU,G1,with auxiliary warning,"engine, front, LH-side",,,,
EXU,G1,"Data Link Connector, pins 4, 5 and 16","engine, front, LH-side",,,,
EXU,G1,"ZETEC-VCT, manual transmission","engine, front, LH-side",,,,
EXU,G1,"ZETEC-VCT, automatic transmission","engine, front, LH-side",,,,
EXU,G1,ZETEC-VCT,"engine, front, LH-side",,,,
EXU,G1,,"engine, front, LH-side",,,,
EXU,G2,Power mirrors,"LH A-pillar, bottom",10,B2,,
EXU,G2,seat height adjust only,"LH A-pillar, bottom",10,B2,,
EXU,G2,8-way power seat,"LH A-pillar, bottom",10,B2,,
EXU,G2,with double locking,"LH A-pillar, bottom",10,B2,,
EXU,G2,front power windows,"LH A-pillar, bottom",10,B2,,
EXU,G2,Duratec-VE,"LH A-pillar, bottom",10,B2,,
EXU,G2,Auxiliary warning,"LH A-pillar, bottom",10,B2,,
EXU,G2,ZETEC-VCT,"LH A-pillar, bottom",10,B2,,
EXU,G2,,"LH A-pillar, bottom",10,B2,,
EXU,G3,manual transmission,"vehicle rear end, RH-side",29,F3,,
EXU,G3,automatic transmission,"vehicle rear end, RH-side",29,F3,,
EXU,G3,"lower option content, without daytime running lamps","vehicle rear end, RH-side",29,F3,,
EXU,G3,lower option content,"vehicle rear end, RH-side",29,F3,,
EXU,G3,with bulb outage warning,"vehicle rear end, RH-side",29,F3,,
EXU,G3,higher option content,"vehicle rear end, RH-side",29,F3,,
EXU,G3,without auxiliary warning,"vehicle rear end, RH-side",29,F3,,
EXU,G3,with auxiliary warning,"vehicle rear end, RH-side",29,F3,,
EXU,G3,Auxiliary warning,"vehicle rear end, RH-side",29,F3,,
EXU,G3,,"vehicle rear end, RH-side",29,F3,,
EXU,G4,manual transmission,"vehicle rear end, LH-side",30,C5,,
EXU,G4,automatic transmission,"vehicle rear end, LH-side",30,C5,,
EXU,G4,"lower option content, without daytime running lamps","vehicle rear end, LH-side",30,C5,,
EXU,G4,lower option content,"vehicle rear end, LH-side",30,C5,,
EXU,G4,with bulb outage warning,"vehicle rear end, LH-side",30,C5,,
EXU,G4,with double locking,"vehicle rear end, LH-side",30,C5,,
EXU,G4,higher option content,"vehicle rear end, LH-side",30,C5,,
EXU,G4,without auxiliary warning,"vehicle rear end, LH-side",30,C5,,
EXU,G4,with auxiliary warning,"vehicle rear end, LH-side",30,C5,,
EXU,G4,Auxiliary warning,"vehicle rear end, LH-side",30,C5,,
EXU,G4,,"vehicle rear end, LH-side",30,C5,,
EXU,G5,with bulb outage warning,in tailgate,31,E3,,
EXU,G5,without auxiliary warning,in tailgate,31,E3,,
EXU,G5,with auxiliary warning,in tailgate,31,E3,,
EXU,G5,,in tailgate,31,E3,,
EXU,G6,Duratec-VE,"on engine bulkhead, RH-side",2,C5,,
EXU,G6,"ZETEC-VCT, manual transmission","on engine bulkhead, RH-side",2,C5,,
EXU,G6,"ZETEC-VCT, automatic transmission","on engine bulkhead, RH-side",2,C5,,
EXU,G6,ZETEC-VCT,"on engine bulkhead, RH-side",2,C5,,
EXU,G6,,"on engine bulkhead, RH-side",2,C5,,
EXU,G7,automatic transmission,"RH A-pillar, bottom",,,,
EXU,G7,lower option content,"RH A-pillar, bottom",,,,
EXU,G7,with double locking,"RH A-pillar, bottom",,,,
EXU,G7,"with variable intermittent wipers, without rear wiper","RH A-pillar, bottom",,,,
EXU,G7,"with variable intermittent wipers, with rear wiper","RH A-pillar, bottom",,,,
EXU,G7,Heated rear window,"RH A-pillar, bottom",,,,
EXU,G7,higher option content,"RH A-pillar, bottom",,,,
EXU,G7,,"RH A-pillar, bottom",,,,
EXU,G8,lower option content,"RH A-pillar, bottom",,,,
EXU,G8,Duratec-VE,"RH A-pillar, bottom",,,,
EXU,G8,higher option content,"RH A-pillar, bottom",,,,
EXU,G8,without auxiliary warning,"RH A-pillar, bottom",,,,
EXU,G8,with auxiliary warning,"RH A-pillar, bottom",,,,
EXU,G8,Auxiliary warning,"RH A-pillar, bottom",,,,
EXU,G8,ZETEC-VCT,"RH A-pillar, bottom",,,,
EXU,G8,,"RH A-pillar, bottom",,,,
EXU,G9,"Data Link Connector, pins 4, 5 and 16","LH A-pillar, center",,,,
EXU,G9,,"LH A-pillar, center",,,,
EXU,G10,with side air bags,"RH A-pillar, bottom",9,D3,,
EXU,G10,automatic transmission,"RH A-pillar, bottom",9,D3,,
EXU,G10,Power mirrors,"RH A-pillar, bottom",9,D3,,
EXU,G10,with double locking,"RH A-pillar, bottom",9,D3,,
EXU,G10,front power windows,"RH A-pillar, bottom",9,D3,,
EXU,G10,higher option content,"RH A-pillar, bottom",9,D3,,
EXU,G10,,"RH A-pillar, bottom",9,D3,,
EXU,G11,,"engine compartment, LH-side, rear, bottom",,,,
EXU,G20,lower option content,"RH A-pillar, bottom",,,,
EXU,G20,higher option content,"RH A-pillar, bottom",,,,
EXU,G20,,"RH A-pillar, bottom",,,,
EXU,G22,"lower option content, without daytime running lamps","engine compartment, front, LH-side",3,B2,,
EXU,G22,lower option content,"engine compartment, front, LH-side",3,B2,,
EXU,G22,"with bulb outage warning, without daytime running lamps","engine compartment, front, LH-side",3,B2,,
EXU,G22,"with bulb outage warning, with daytime running lamps","engine compartment, front, LH-side",3,B2,,
EXU,G22,with bulb outage warning,"engine compartment, front, LH-side",3,B2,,
EXU,G22,with variable intermittent wipers,"engine compartment, front, LH-side",3,B2,,
EXU,G22,"Duratec-VE, manual transmission","engine compartment, front, LH-side",3,B2,,
EXU,G22,"Duratec-VE, automatic transmission","engine compartment, front, LH-side",3,B2,,
EXU,G22,Duratec-VE,"engine compartment, front, LH-side",3,B2,,
EXU,G22,higher option content,"engine compartment, front, LH-side",3,B2,,
EXU,G22,"without auxiliary warning, higher option content","engine compartment, front, LH-side",3,B2,,
EXU,G22,without auxiliary warning,"engine compartment, front, LH-side",3,B2,,
EXU,G22,"with auxiliary warning, higher option content","engine compartment, front, LH-side",3,B2,,
EXU,G22,with auxiliary warning,"engine compartment, front, LH-side",3,B2,,
EXU,G22,Auxiliary warning,"engine compartment, front, LH-side",3,B2,,
EXU,G22,ZETEC-VCT,"engine compartment, front, LH-side",3,B2,,
EXU,G22,,"engine compartment, front, LH-side",3,B2,,
EXU,G23,lower option content,"RH A-pillar, bottom",,,,
EXU,G23,higher option content,"RH A-pillar, bottom",,,,
EXU,G23,,"RH A-pillar, bottom",,,,
