EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EXU,,001,G11,,,
EXU,,001,G8,,,
EXU,,001,G1,,,
EXU,,001,G11,,,
EXU,,001,G8,,,
EXU,,001,G1,,,
EXU,,002,G7,,,
EXU,,002,G8,,,
EXU,,001,G22,ZETEC-VCT,,
EXU,,001,G1,ZETEC-VCT,,
EXU,,001,G22,Duratec-VE,,
EXU,,001,G1,Duratec-VE,,
EXU,,001,G22,ZETEC-VCT,,
EXU,,002,G1,Duratec-VE,,
EXU,,001,G1,,,
EXU,,001,G22,ZETEC-VCT,,
EXU,,002,G1,"ZETEC-VCT, manual transmission",,
EXU,,002,G6,"ZETEC-VCT, manual transmission",,
EXU,,003,G1,"ZETEC-VCT, automatic transmission",,
EXU,,003,G6,"ZETEC-VCT, automatic transmission",,
EXU,,008,G2,ZETEC-VCT,,
EXU,,016,G8,ZETEC-VCT,,
EXU,,001,G1,"Duratec-VE, manual transmission",,
EXU,,001,G22,"Duratec-VE, manual transmission",,
EXU,,002,G22,"Duratec-VE, automatic transmission",,
EXU,,002,G1,"Duratec-VE, automatic transmission",,
EXU,,003,G1,Duratec-VE,,
EXU,,003,G6,Duratec-VE,,
EXU,,006,G8,Duratec-VE,,
EXU,,015,G2,Duratec-VE,,
EXU,,017,G1,Duratec-VE,,
EXU,,001,G1,,,
EXU,,001,G22,,,
EXU,,002,G1,speed control,,
EXU,,001,G20,,,
EXU,,001,G7,,,
EXU,,001,G20,,,
EXU,,001,G7,,,
EXU,,002,G22,,,
EXU,,003,G22,,,
EXU,,003,G1,,,
EXU,,001,G7,,,
EXU,,002,G23,lower option content,,
EXU,,002,G7,lower option content,,
EXU,,002,G8,lower option content,,
EXU,,002,G20,lower option content,,
EXU,,003,G20,higher option content,,
EXU,,003,G7,higher option content,,
EXU,,003,G10,higher option content,,
EXU,,003,G8,higher option content,,
EXU,,003,G23,higher option content,,
EXU,,004,G2,,,
EXU,,004,G10,,,
EXU,,001,G8,,,
EXU,,001,G2,,,
EXU,,001,G1,,,
EXU,,003,G2,,,
EXU,,003,G22,,,
EXU,,006,G8,,,
EXU,,008,G22,Auxiliary warning,,
EXU,,008,G2,Auxiliary warning,,
EXU,,008,G8,Auxiliary warning,,
EXU,,009,G4,Auxiliary warning,,
EXU,,009,G3,Auxiliary warning,,
EXU,,001,G1,without speed control,,
EXU,,002,G1,with speed control,,
EXU,,001,G3,with bulb outage warning,,
EXU,,001,G22,with bulb outage warning,,
EXU,,001,G4,with bulb outage warning,,
EXU,,002,G5,with bulb outage warning,,
EXU,,002,G3,with bulb outage warning,,
EXU,,002,G4,with bulb outage warning,,
EXU,,003,G22,"with bulb outage warning, with daytime running lamps",,
EXU,,004,G22,"with bulb outage warning, without daytime running lamps",,
EXU,,001,G8,Duratec-VE,,
EXU,,001,G1,Duratec-VE,,
EXU,,002,G8,ZETEC-VCT,,
EXU,,002,G1,ZETEC-VCT,,
EXU,,001,G23,,,
EXU,,001,G23,,,
EXU,,001,G1,with auxiliary warning,,
EXU,,001,G22,with auxiliary warning,,
EXU,,001,G8,with auxiliary warning,,
EXU,,002,G1,without auxiliary warning,,
EXU,,002,G22,without auxiliary warning,,
EXU,,002,G8,without auxiliary warning,,
EXU,,001,G22,,,
EXU,,001,G7,,,
EXU,,001,G8,,,
EXU,,002,G22,,,
EXU,,002,G8,,,
EXU,,003,G4,,,
EXU,,003,G3,,,
EXU,,001,G22,"lower option content, without daytime running lamps",,
EXU,,001,G3,"lower option content, without daytime running lamps",,
EXU,,001,G4,"lower option content, without daytime running lamps",,
EXU,,004,G22,"with auxiliary warning, higher option content",,
EXU,,005,G22,"without auxiliary warning, higher option content",,
EXU,,001,G8,,,
EXU,,001,G7,,,
EXU,,001,G22,,,
EXU,,001,G2,,,
EXU,,001,G7,,,
EXU,,002,G4,,,
EXU,,002,G3,,,
EXU,,003,G7,,,
EXU,,004,G4,,,
EXU,,004,G2,,,
EXU,,001,G4,with auxiliary warning,,
EXU,,001,G3,with auxiliary warning,,
EXU,,001,G5,with auxiliary warning,,
EXU,,002,G3,without auxiliary warning,,
EXU,,002,G5,without auxiliary warning,,
EXU,,005,G3,with auxiliary warning,,
EXU,,005,G4,with auxiliary warning,,
EXU,,006,G3,without auxiliary warning,,
EXU,,006,G4,without auxiliary warning,,
EXU,,007,G3,"lower option content, without daytime running lamps",,
EXU,,007,G4,"lower option content, without daytime running lamps",,
EXU,,001,G3,manual transmission,,
EXU,,001,G4,manual transmission,,
EXU,,002,G3,automatic transmission,,
EXU,,002,G4,automatic transmission,,
EXU,,003,G3,,,
