EVTM,CELL,PAGE,NAME,QUALIFIER,REFCELL,REFPAGE,CARROT,PAGEID1,PAGEID2,ITEMID_,CELLID2
EXU,,001,417-03-01-002,,,002,,,,,
EXU,,001,417-03-01-001,,,001,,,,,
EXU,,001,413-01-00-003,,,003,,,,,
EXU,,001,417-03-01-002,,,002,,,,,
EXU,,001,417-03-01-001,,,001,,,,,
EXU,,001,413-01-00-003,,,003,,,,,
EXU,,002,700-03-00-025,,,025,,,,,
EXU,,002,413-00-00-003,,,003,,,,,
EXU,,002,413-00-00-003,,,003,,,,,
EXU,,001,303-04B-00-002,Duratec-VE,,002,,,,,
EXU,,002,303-04B-00-001,Duratec-VE,,001,,,,,
EXU,,001,414-02-00-001,,,001,,,,,
EXU,,001,303-06-00-002,,,002,,,,,
EXU,,002,303-06-00-001,,,001,,,,,
EXU,,002,303-06-00-001,,,001,,,,,
EXU,,001,303-04A-00-001,ZETEC-VCT,,001,,,,,
EXU,,004,303-14A-00-005,"ZETEC-VCT, manual transmission",,005,,,,,
EXU,,004,303-14A-00-009,"ZETEC-VCT, manual transmission",,009,,,,,
EXU,,005,303-14A-00-009,"ZETEC-VCT, manual transmission",,009,,,,,
EXU,,005,303-14A-00-004,"ZETEC-VCT, manual transmission",,004,,,,,
EXU,,006,303-14A-00-010,"ZETEC-VCT, automatic transmission",,010,,,,,
EXU,,006,303-14A-00-007,"ZETEC-VCT, automatic transmission",,007,,,,,
EXU,,007,303-14A-00-010,"ZETEC-VCT, automatic transmission",,010,,,,,
EXU,,007,303-14A-00-006,"ZETEC-VCT, automatic transmission",,006,,,,,
EXU,,008,700-02-00-003,ZETEC-VCT,,003,,,,,
EXU,,009,310-03-00-004,"ZETEC-VCT, manual transmission",,004,,,,,
EXU,,009,310-03-00-004,"ZETEC-VCT, manual transmission",,004,,,,,
EXU,,009,303-14A-00-005,"ZETEC-VCT, manual transmission",,005,,,,,
EXU,,009,303-14A-00-004,"ZETEC-VCT, manual transmission",,004,,,,,
EXU,,010,303-14A-00-014,"ZETEC-VCT, automatic transmission",,014,,,,,
EXU,,010,303-14A-00-005,"ZETEC-VCT, automatic transmission",,005,,,,,
EXU,,010,303-14A-00-006,"ZETEC-VCT, automatic transmission",,006,,,,,
EXU,,013,412-03-00-002,ZETEC-VCT,,002,,,,,
EXU,,013,412-03-00-002,ZETEC-VCT,,002,,,,,
EXU,,014,303-14A-00-010,"ZETEC-VCT, automatic transmission",,010,,,,,
EXU,,016,310-03-00-003,ZETEC-VCT,,003,,,,,
EXU,,016,310-03-00-004,ZETEC-VCT,,004,,,,,
EXU,,003,310-03-00-004,Duratec-VE,,004,,,,,
EXU,,003,310-03-00-003,Duratec-VE,,003,,,,,
