EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EXU,,001,S364,,,
EXU,,001,S367,,,
EXU,,001,S1002,,,
EXU,,001,S360,,,
EXU,,001,S364,,,
EXU,,001,S367,,,
EXU,,001,S1002,,,
EXU,,001,S360,,,
EXU,,002,S282,,,
EXU,,002,S281,,,
EXU,,001,S250,ZETEC-VCT,,
EXU,,001,S44,ZETEC-VCT,,
EXU,,001,S147,ZETEC-VCT,,
EXU,,002,S3053,ZETEC-VCT,,
EXU,,002,S48,ZETEC-VCT,,
EXU,,002,S53,ZETEC-VCT,,
EXU,,001,S250,Duratec-VE,,
EXU,,001,S44,Duratec-VE,,
EXU,,001,S147,Duratec-VE,,
EXU,,002,S67,Duratec-VE,,
EXU,,002,S48,Duratec-VE,,
EXU,,002,S53,Duratec-VE,,
EXU,,001,S47,ZETEC-VCT,,
EXU,,001,S51,Duratec-VE,,
EXU,,001,S50,Duratec-VE,,
EXU,,001,S59,Duratec-VE,,
EXU,,002,S53,Duratec-VE,,
EXU,,002,S48,Duratec-VE,,
EXU,,002,S62,Duratec-VE,,
EXU,,002,S67,Duratec-VE,,
EXU,,001,S366,ZETEC-VCT,,
EXU,,001,S414,ZETEC-VCT,,
EXU,,001,S366,Duratec-VE,,
EXU,,001,S414,Duratec-VE,,
EXU,,001,S47,ZETEC-VCT,,
EXU,,001,S59,ZETEC-VCT,,
EXU,,002,S59,"ZETEC-VCT, manual transmission",,
EXU,,002,S62,"ZETEC-VCT, manual transmission",,
EXU,,002,S60,"ZETEC-VCT, manual transmission",,
EXU,,002,S147,"ZETEC-VCT, manual transmission",,
EXU,,003,S59,"ZETEC-VCT, automatic transmission",,
EXU,,003,S62,"ZETEC-VCT, automatic transmission",,
EXU,,003,S60,"ZETEC-VCT, automatic transmission",,
EXU,,003,S147,"ZETEC-VCT, automatic transmission",,
EXU,,004,S53,"ZETEC-VCT, manual transmission",,
EXU,,004,S3005,"ZETEC-VCT, manual transmission",,
EXU,,005,S48,"ZETEC-VCT, manual transmission",,
EXU,,005,S54,"ZETEC-VCT, manual transmission",,
EXU,,005,S53,"ZETEC-VCT, manual transmission",,
EXU,,006,S53,"ZETEC-VCT, automatic transmission",,
EXU,,006,S3005,"ZETEC-VCT, automatic transmission",,
EXU,,006,S3053,"ZETEC-VCT, automatic transmission",,
EXU,,007,S48,"ZETEC-VCT, automatic transmission",,
EXU,,007,S54,"ZETEC-VCT, automatic transmission",,
EXU,,007,S3053,"ZETEC-VCT, automatic transmission",,
EXU,,008,S8,ZETEC-VCT,,
EXU,,009,S406,"ZETEC-VCT, manual transmission",,
EXU,,009,S53,"ZETEC-VCT, manual transmission",,
EXU,,010,S406,"ZETEC-VCT, automatic transmission",,
EXU,,010,S53,"ZETEC-VCT, automatic transmission",,
EXU,,012,S366,"ZETEC-VCT, automatic transmission",,
EXU,,013,S281,ZETEC-VCT,,
EXU,,013,S408,ZETEC-VCT,,
EXU,,013,S282,ZETEC-VCT,,
EXU,,013,S123,ZETEC-VCT,,
EXU,,014,S66,"ZETEC-VCT, automatic transmission",,
EXU,,016,S367,ZETEC-VCT,,
EXU,,016,S130,ZETEC-VCT,,
EXU,,001,S60,"Duratec-VE, manual transmission",,
EXU,,001,S62,"Duratec-VE, manual transmission",,
EXU,,001,S59,"Duratec-VE, manual transmission",,
EXU,,002,S178,"Duratec-VE, automatic transmission",,
EXU,,002,S60,"Duratec-VE, automatic transmission",,
EXU,,002,S62,"Duratec-VE, automatic transmission",,
EXU,,002,S59,"Duratec-VE, automatic transmission",,
EXU,,003,S130,Duratec-VE,,
EXU,,003,S367,Duratec-VE,,
EXU,,003,S59,Duratec-VE,,
EXU,,003,S62,Duratec-VE,,
EXU,,003,S147,Duratec-VE,,
EXU,,004,S3005,"Duratec-VE, manual transmission",,
EXU,,004,S53,"Duratec-VE, manual transmission",,
EXU,,005,S3005,"Duratec-VE, automatic transmission",,
EXU,,005,S67,"Duratec-VE, automatic transmission",,
EXU,,006,S48,Duratec-VE,,
EXU,,006,S3005,Duratec-VE,,
EXU,,007,S53,"Duratec-VE, manual transmission",,
EXU,,007,S406,"Duratec-VE, manual transmission",,
EXU,,008,S407,"Duratec-VE, automatic transmission",,
EXU,,008,S406,"Duratec-VE, automatic transmission",,
EXU,,009,S50,Duratec-VE,,
EXU,,009,S59,Duratec-VE,,
EXU,,010,S53,"Duratec-VE, manual transmission",,
EXU,,010,S54,"Duratec-VE, manual transmission",,
EXU,,010,S48,"Duratec-VE, manual transmission",,
EXU,,011,S67,"Duratec-VE, automatic transmission",,
EXU,,011,S54,"Duratec-VE, automatic transmission",,
EXU,,011,S48,"Duratec-VE, automatic transmission",,
EXU,,012,S366,"Duratec-VE, automatic transmission",,
EXU,,012,S67,"Duratec-VE, automatic transmission",,
EXU,,014,S178,"Duratec-VE, automatic transmission",,
EXU,,015,S8,Duratec-VE,,
EXU,,016,S281,Duratec-VE,,
EXU,,016,S282,Duratec-VE,,
EXU,,017,S62,Duratec-VE,,
EXU,,017,S51,Duratec-VE,,
EXU,,018,S123,Duratec-VE,,
EXU,,018,S408,Duratec-VE,,
EXU,,001,S178,,,
EXU,,001,S62,,,
EXU,,001,S59,,,
EXU,,001,S60,,,
EXU,,001,S147,,,
EXU,,002,S136,speed control,,
EXU,,001,S166,,,
EXU,,001,S244,,,
EXU,,001,S274,,,
EXU,,001,S244,,,
EXU,,001,S166,,,
EXU,,001,S274,,,
EXU,,002,S408,,,
EXU,,002,S271,,,
EXU,,002,S46,,,
EXU,,002,S123,,,
EXU,,003,S250,,,
EXU,,003,S44,,,
EXU,,003,S147,,,
EXU,,002,S164,lower option content,,
EXU,,002,S369,lower option content,,
EXU,,003,S164,higher option content,,
EXU,,003,S369,higher option content,,
EXU,,003,S4,higher option content,,
EXU,,004,S257,,,
EXU,,004,S86,,,
EXU,,004,S350,,,
EXU,,004,S349,,,
EXU,,001,S8,,,
EXU,,001,S62,,,
EXU,,003,S356,,,
EXU,,003,S3001,,,
EXU,,003,S363,,,
EXU,,005,S377,,,
EXU,,007,S364,,,
EXU,,008,S3001,Auxiliary warning,,
EXU,,008,S376,Auxiliary warning,,
EXU,,009,S355,Auxiliary warning,,
EXU,,009,S354,Auxiliary warning,,
EXU,,001,S354,with bulb outage warning,,
EXU,,001,S362,with bulb outage warning,,
EXU,,001,S355,with bulb outage warning,,
EXU,,001,S347,with bulb outage warning,,
EXU,,001,S363,with bulb outage warning,,
EXU,,002,S355,with bulb outage warning,,
EXU,,002,S354,with bulb outage warning,,
EXU,,002,S367,with bulb outage warning,,
EXU,,002,S351,with bulb outage warning,,
EXU,,002,S136,with bulb outage warning,,
EXU,,003,S3001,"with bulb outage warning, with daytime running lamps",,
EXU,,003,S361,"with bulb outage warning, with daytime running lamps",,
EXU,,003,S373,"with bulb outage warning, with daytime running lamps",,
EXU,,003,S362,"with bulb outage warning, with daytime running lamps",,
EXU,,004,S373,"with bulb outage warning, without daytime running lamps",,
EXU,,004,S3001,"with bulb outage warning, without daytime running lamps",,
EXU,,004,S362,"with bulb outage warning, without daytime running lamps",,
EXU,,004,S361,"with bulb outage warning, without daytime running lamps",,
EXU,,001,S164,,,
EXU,,001,S164,,,
EXU,,001,S361,with auxiliary warning,,
EXU,,001,S362,with auxiliary warning,,
EXU,,001,S363,with auxiliary warning,,
EXU,,002,S348,without auxiliary warning,,
EXU,,002,S346,without auxiliary warning,,
EXU,,002,S347,without auxiliary warning,,
EXU,,002,S345,without auxiliary warning,,
EXU,,002,S361,without auxiliary warning,,
EXU,,002,S362,without auxiliary warning,,
EXU,,002,S363,without auxiliary warning,,
EXU,,001,S352,,,
EXU,,001,S361,,,
EXU,,001,S363,,,
EXU,,002,S353,,,
EXU,,002,S362,,,
EXU,,003,S355,,,
EXU,,003,S354,,,
EXU,,001,S363,"lower option content, without daytime running lamps",,
EXU,,001,S352,"lower option content, without daytime running lamps",,
