EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
EXU,S3,Power mirrors,in driver door,,
EXU,S4,automatic transmission,RH A-pillar,,
EXU,S4,higher option content,RH A-pillar,,
EXU,S4,,RH A-pillar,,
EXU,S6,with double locking,RH A-pillar,,
EXU,S6,,RH A-pillar,,
EXU,S7,with double locking,RH A-pillar,,
EXU,S7,,RH A-pillar,,
EXU,S8,Duratec-VE,"vehicle floor, LH A-pillar, bottom",,
EXU,S8,ZETEC-VCT,"vehicle floor, LH A-pillar, bottom",,
EXU,S8,,"vehicle floor, LH A-pillar, bottom",,
EXU,S34,,"roof, front, center",,
EXU,S36,,"LH A-pillar, bottom",,
EXU,S44,Duratec-VE,"engine compartment, front, center",,
EXU,S44,ZETEC-VCT,"engine compartment, front, center",,
EXU,S44,,"engine compartment, front, center",,
EXU,S46,,"engine compartment, front, center",,
EXU,S47,"ZETEC-VCT, manual transmission",cylinder head,,
EXU,S47,"ZETEC-VCT, automatic transmission",cylinder head,,
EXU,S47,ZETEC-VCT,cylinder head,,
EXU,S48,"Duratec-VE, manual transmission",cylinder head,,
EXU,S48,"Duratec-VE, automatic transmission",cylinder head,,
EXU,S48,Duratec-VE,cylinder head,,
EXU,S48,"ZETEC-VCT, manual transmission",engine,,
EXU,S48,"ZETEC-VCT, automatic transmission",engine,,
EXU,S48,ZETEC-VCT,engine,,
EXU,S50,Duratec-VE,cylinder head,,
EXU,S51,Duratec-VE,cylinder head,,
EXU,S53,"Duratec-VE, manual transmission",engine,,
EXU,S53,Duratec-VE,engine,,
EXU,S53,"ZETEC-VCT, manual transmission",engine,,
EXU,S53,"ZETEC-VCT, automatic transmission",engine,,
EXU,S53,ZETEC-VCT,engine,,
EXU,S54,"Duratec-VE, manual transmission",engine,,
EXU,S54,"Duratec-VE, automatic transmission",engine,,
EXU,S54,"ZETEC-VCT, manual transmission","engine compartment, RH-side",,
EXU,S54,"ZETEC-VCT, automatic transmission","engine compartment, RH-side",,
EXU,S59,"Duratec-VE, manual transmission",engine,,
EXU,S59,"Duratec-VE, automatic transmission",engine,,
EXU,S59,Duratec-VE,engine,,
EXU,S59,"ZETEC-VCT, manual transmission",engine,,
EXU,S59,"ZETEC-VCT, automatic transmission",engine,,
EXU,S59,ZETEC-VCT,engine,,
EXU,S59,,engine,,
EXU,S60,"Duratec-VE, manual transmission",engine,,
EXU,S60,"Duratec-VE, automatic transmission",engine,,
EXU,S60,"ZETEC-VCT, manual transmission",engine,,
EXU,S60,"ZETEC-VCT, automatic transmission",engine,,
EXU,S60,,engine,,
EXU,S62,"Duratec-VE, manual transmission","engine compartment, rear, RH-side",,
EXU,S62,"Duratec-VE, automatic transmission","engine compartment, rear, RH-side",,
EXU,S62,Duratec-VE,"engine compartment, rear, RH-side",,
EXU,S62,"ZETEC-VCT, manual transmission",engine,,
EXU,S62,"ZETEC-VCT, automatic transmission",engine,,
EXU,S62,ZETEC-VCT,engine,,
EXU,S62,,"engine compartment, rear, RH-side",,
EXU,S62,,engine,,
EXU,S66,"ZETEC-VCT, automatic transmission",transmission,,
EXU,S67,"Duratec-VE, automatic transmission",engine,,
EXU,S67,Duratec-VE,engine,,
EXU,S86,front power windows,in driver door,,
EXU,S86,,in driver door,,
EXU,S106,manual transmission,"behind dash panel, LH-side",,
EXU,S106,automatic transmission,"behind dash panel, LH-side",,
EXU,S123,Duratec-VE,"engine bulkhead, LH-side",,
EXU,S123,ZETEC-VCT,"engine bulkhead, LH-side",,
EXU,S123,,"engine bulkhead, LH-side",,
EXU,S130,Duratec-VE,"behind dash panel, LH-side",,
EXU,S130,without auxiliary warning,"behind dash panel, LH-side",,
EXU,S130,with auxiliary warning,"behind dash panel, LH-side",,
