EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EXm,4 Wheel Anti-Lock Brakes System (4WABS) Module,,NA,On LH front frame rail,C144,10,F7,42,6,42,6,,
EXm,4 Wheel Anti-Lock Brakes System (4WABS) Module,,NA,On LH front frame rail,C145,10,F7,42,6,42,6,,
EXm,4 Wheel Anti-Lock Brakes System (4WABS) Relay,,NA,"Behind center of I/P, on 4 wheel anti-lock brakes (4WABS) relay",C232,12,F5,42,7,42,7,,
EXm,4R100 Transmission,,7000,RH side of transmission,C114,20,B5,30,8,30,8,,
EXm,4R70W Transmission,,7000,RH side of transmission,C110,20,B10,29,5,29,5,,
EXm,A/C Clutch Cycling Pressure Switch,,19E561,RH front of engine compartment,C161,10,D1,,,,,,
EXm,A/C Clutch Relay,,14B192,LH front of engine compartment in battery junction box,,10,E9,54,9,54,9,,
EXm,A/C Compressor Clutch,4.2L,19C630,Left front of engine,C143,2,D1,,,,,,
EXm,A/C Compressor Clutch,4.6L,19C630,Lower right front of engine,C143,4,D1,,,,,,
EXm,A/C Compressor Clutch,5.4L,19C630,Lower right front of engine,C143,6,E1,,,,,,
EXm,A/C Compressor Clutch,6.8L,19C630,Lower right front of engine,C143,8,E1,,,,,,
EXm,A/C Compressor Clutch,7.3L,19C630,Top LH front of engine,C167,,,,,,,,
EXm,A/C Compressor Clutch Diode,,NA,In T/O to A/C compressor clutch,,,,,,,,,
EXm,A/C Illumination Lamp,,NA,"Center of I/P, on A/C illumination lamp",C205,13,A9,,,,,,
EXm,A/C Pressure Cut-out Switch,,NA,Right front of engine compartment,C159,11,F4,,,,,,
EXm,ABS Data Link Connector (DLC),,NA,Below LH side of I/P,C242,14,F8,,,,,,
EXm,Accelerator Pedal Position (APP) Sensor,,NA,"Behind LH side I/P, above accelerator pedal",C246,14,A6,,,,,,
EXm,Air Bag Bracket,,NA,"Behind RH side of I/P, near passenger air bag",C210,12,B10,,,,,,
EXm,Air Bag Sliding Contact,,13806,"Top of steering column, on air bag sliding contact",C220,12,F3,,,,,,
