EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
Exm,010,001,4 Wheel Anti-Lock Brakes System (4WABS) Module,,,
Exm,010,001,Auxiliary Battery,,,
Exm,010,001,Battery Junction Box,,,
Exm,010,001,Blower Motor Relay,,,
Exm,010,001,Engine Compartment Battery,,,
Exm,010,001,Forward Aft-Axle Fuel Tank Valve,,,
Exm,010,001,Fuel Pump,,,
Exm,010,001,Fuel Pump Module,except 5.4L Bi-Fuel,,
Exm,010,001,Fuel Pump Module,5.4L Bi-Fuel,,
Exm,010,001,Fuel Tank Sender,,,
Exm,010,001,Injector Driver Module (IDM),,,
Exm,010,001,In-Transit Fuel Pump Module,,,
Exm,010,001,Low Vacuum Warning Switch,,,
Exm,010,001,Midship Fuel Tank Valve,,,
Exm,010,001,Powertrain Control Module (PCM),4.2L,,
Exm,010,001,Rear Aft-Axle Fuel Tank Valve,,,
Exm,010,001,Trailer Battery Charge Relay,,,
Exm,010,001,Trailer Reversing Lamp Relay,,,
Exm,010,001,Trailer Running Lamp Relay,,,
Exm,010,001,Trailer/Camper Adapter (Class I),,,
Exm,010,002,Camshaft Position (CMP) Sensor,4.6L,,
Exm,010,002,Camshaft Position (CMP) Sensor Shield,,,
Exm,010,002,Camshaft Position (CMP) Sensor Shield,,,
Exm,010,002,Crankshaft Position (CKP) Sensor,4.6L,,
Exm,010,002,Crankshaft Position (CKP) Sensor Shield,,,
Exm,010,002,Fuel Injector Shield,,,
Exm,010,002,Injector Driver Module (IDM),,,
Exm,010,002,NGV Module,,,
Exm,010,002,Powertrain Control Module (PCM),4.6L,,
Exm,010,002,Powertrain Control Module (PCM),5.4L,,
Exm,010,002,Powertrain Control Module (PCM),5.4L NGV,,
Exm,010,002,Powertrain Control Module (PCM),6.8L,,
Exm,010,002,Powertrain Control Module (PCM),7.3L,,
Exm,010,002,Powertrain Control Module (PCM),5.4L Bi-Fuel,,
Exm,010,003,A/C Compressor Clutch,4.2L,,
Exm,010,003,A/C Compressor Clutch,4.6L,,
Exm,010,003,A/C Compressor Clutch,5.4L,,
Exm,010,003,A/C Compressor Clutch,6.8L,,
Exm,010,003,A/C Compressor Clutch Diode,,,
Exm,010,003,Blower Motor Resistor,,,
Exm,010,003,Brake Air Pressure Regulator Valve,,,
Exm,010,003,Dual Brake Warning Switch,,,
Exm,010,003,Electric Intake Manifold Runner Control,,,
Exm,010,003,Fuel Rail Cut-Off Valve,,,
Exm,010,003,NGV Timer Jumper,,,
Exm,010,003,Washer Pump,,,
Exm,010,004,Battery Junction Box,,,
Exm,010,004,Data Link Connector (DLC),,,
Exm,010,004,Mass Air Flow (MAF) Sensor,except 4.2L,,
Exm,010,004,PCM Power Relay,,,
Exm,010,004,Powertrain Control Module (PCM),4.6L,,
Exm,010,005,Battery Junction Box,,,
Exm,010,005,Camshaft Position (CMP) Sensor,5.4L,,
