EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EXM,C100,F,"LH rear of engine compartment, below engine access cover",16,A10,,,150,1,BK,42,,,
EXM,C100,M,"LH rear of engine compartment, below engine access cover",16,A10,,,150,2,BK,42,,,
EXM,C1000,,"Right top of engine, to fuel injectors/glow plugs (#1, #3)",1,C1,,,23,16,,5,,,
EXM,C1001,,"Right top of engine, to fuel injectors/glow plugs (#5, #7)",1,A1,,,23,16,,5,,,
EXM,C1002,,"Left top of engine, to fuel injectors/glow plugs (#2, #4)",1,D10,,,23,17,,5,,,
EXM,C1003,,"Left top of engine, to fuel injectors/glow plugs (#6, #8)",1,B10,,,23,17,,5,,,
EXM,C1004,,"Lower left front of engine, on engine coolant temperature sender",1,F6,,,,,,2,,,
EXM,C1005,,Right top side of engine,1,A2,,,,,,4,,,
EXM,C1006,,"Center of engine, on injection pressure regulator",1,A4,,,,,,2,,,
EXM,C1007,,"Top center of engine, on engine oil temperature sensor",1,F8,,,,,,2,,,
EXM,C1008,,"Top right center of engine, on exhaust back pressure (EBP) sensor",1,F3,,,,,,3,,,
EXM,C1009,,"Top center of engine, on injection control pressure sensor",1,F7,,,,,,3,,,
EXM,C101,,"Beneath left front of vehicle, near left front wheel sensor",16,A5,,,,,GY,4,,,
EXM,C1010,,Left front of engine compartment,1,F5,,,,,,3,,,
EXM,C1011,,"Left rear top of engine, on exhaust pressure regulator",1,A6,,,,,,2,,,
EXM,C1012,,"LH side inner fender of engine compartment, on NGV module",11,A10,,,28,14,,60,,,
EXM,C1013,,LH rear of engine compartment,11,A6,,,28,15,,12,,,
EXM,C1014,,"Above right bank of engine, on fuel rail cut-off valve",7,E10,,,,,BK,4,,,
EXM,C1015,,"Above right bank of engine, on fuel rail temperature sensor",7,A10,,,,,,2,,,
EXM,C1016,,"Above right bank of engine, on injection pressure sensor (IPS)",7,A9,,,,,BK,4,,,
EXM,C1017,5.4L NGV,Top left side of transmission,20,A1,,,150,9,,16,,,
EXM,C1018,,"Top center of engine, on fuel line heater",1,A5,,,,,,1,,,
EXM,C1019,,LH rear of engine compartment above master cylinder,10,A9,,,,,,4,,,
EXM,C102,,"Inside left front wheelwell, to left front wheel sensor",16,A9,,,,,BK,2,,,
EXM,C1020,,Top RH side of engine on generator (primary),23,A4,,,,,,3,,,
EXM,C1021,,"Right side of transmission, on turbine shaft speed (TSS) sensor",,,,,,,,2,,,
EXM,C1022,4.2L,"Front center of engine, on camshaft position (CMP) sensor",2,B1,,,,,,3,,,
EXM,C1029,4.2L,"Center of engine compartment, on mass air flow (MAF) sensor",10,A5,,,24,14,,6,,,
EXM,C103,,"Inside right front wheelwell, to right front wheel sensor",16,C10,,,,,BK,2,,,
EXM,C1030,,Center of engine compartment near mass air,,,,,150,30,,6,,,
EXM,C1033,,"Top front of left cylinder head ,near cylinder head temperature (CHT) sensor",,,,,,,BK,4,,,
EXM,C104,,"Beneath left center of vehicle, near transmission",16,F8,,,,,BL,4,,,
EXM,C105,5.4L,"Beneath center of vehicle, to heated oxygen sensor (HO2S) #22",16,F7,,,,,,4,,,
EXM,C105,6.8L,"Beneath center of vehicle, to heated oxygen sensor (HO2S) #22",16,F7,,,,,,4,,,
EXM,C106,4.2L,"Beneath center of vehicle, to heated oxygen sensor (HO2S) #12",20,D10,,,,,BL,4,,,
EXM,C106,4.6L,"Beneath center of vehicle, to heated oxygen sensor (HO2S) #12",20,D10,,,,,,4,,,
EXM,C107,4.2L,"Beneath center of vehicle, to heated oxygen sensor (HO2S) #22",20,F7,,,,,BL,4,,,
EXM,C107,4.6L,"Beneath center of vehicle, to heated oxygen sensor (HO2S) #22",20,F7,,,,,,4,,,
EXM,C108,,"Left side of transmission, on vehicle speed sensor",20,C6,,,,,BK,2,,,
EXM,C109,,"Left side of transmission, on output shaft speed (OSS) sensor",20,A9,,,29,6,BK,2,,,
EXM,C110,,"Under right center of vehicle, on 4R70W transmission",20,B10,,,29,5,W,10,,,
EXM,C111,,LH frame rail below engine access cover,,,,,,,,4,,,
EXM,C112,,Top right side of transmission,20,A8,,,150,3,BK,16,,,
EXM,C113,4R100,Top right side of transmission,20,A3,,,150,4,GY,16,,,
EXM,C113,4R70W,Top left side of transmission,20,A7,,,150,4,GY,16,,,
EXM,C114,,"Under right center of vehicle, on 4R100 transmission",20,B5,,,30,8,GY,12,,,
EXM,C115,4R100,"Left side of transmission, on digital transmission range sensor",20,F2,,,30,8,BK,12,,,
EXM,C115,4R70W,"Left side of transmission, on digital transmission range sensor",20,F2,,,29,5,BK,12,,,
EXM,C1155,,"Right side of engine compartment, on manifold absolute pressure (MAP) sensor",,,,,,,,3,,,
EXM,C1156,,RH top of engine compartment near generator (primary),23,C1,,,,,,4,,,
EXM,C1157,,"Left front side of engine compartment, on injector driver module",11,D10,,,23,12,,,,,
EXM,C1158,,"Left top of engine, to fuel injectors and glow plugs",1,C10,,,150,31,,9,,,
EXM,C1159,,"Right top of engine, to fuel injectors and glow plugs",1,C1,,,150,31,,9,,,
EXM,C116,F,Near intake air temperature (IAT) sensor,11,A3,,,150,5,BK,42,,,
EXM,C116,M,Near intake air temperature (IAT) sensor,11,A3,,,150,6,BK,42,,,
EXM,C117,4.2L,Top of engine on throttle position sensor,2,A4,,,,,BK,3,,,
EXM,C117,4.6L,Top of engine on throttle position sensor,4,A5,,,,,,3,,,
EXM,C117,5.4L,Top of engine on throttle position sensor,6,A7,,,,,,3,,,
EXM,C117,6.8L,Top of engine on throttle position sensor,8,A6,,,,,,3,,,
EXM,C118,4.2L,"Top right front of engine, on DPFE sensor",,,,,,,BK,3,,,
EXM,C118,4.6L,"Top left rear of engine, on DPFE sensor",5,A2,,,,,,3,,,
EXM,C118,5.4L,"Top right of engine, on DPFE sensor",6,A8,,,,,,3,,,
EXM,C118,6.8L,"Left rear of engine, on DPFE sensor",8,A7,,,,,,3,,,
EXM,C118,7.3L,"Left rear of engine, on DPFE sensor",8,A7,,,,,,3,,,
EXM,C119,4.2L,"Above right bank of engine, on fuel injector #1",3,C10,,,,,GY,2,,,
EXM,C119,4.6L,"Above right bank of engine, on fuel injector #1",5,B10,,,,,,2,,,
EXM,C119,5.4L,"Above right bank of engine, on fuel injector #1",7,A8,,,,,,2,,,
EXM,C119,6.8L,"Above right bank of engine, on fuel injector #1",9,D10,,,,,,2,,,
EXM,C1198,,RH side of engine on generator (secondary),23,F3,,,,,,3,,,
EXM,C120,4.2L (F),Near A/C pressure cut-out switch,11,A4,,,150,7,BK,16,,,
EXM,C120,4.2L (M),Near A/C pressure cut-out switch,11,A4,,,150,7,BK,16,,,
EXM,C120,4.6L (F),Near A/C pressure cut-out switch,11,A4,,,150,7,BK,16,,,
EXM,C120,4.6L (M),Near A/C pressure cut-out switch,11,A4,,,150,7,BK,16,,,
EXM,C120,5.4L,Near A/C pressure cut-out switch,11,A4,,,,,BK,16,,,
EXM,C120,5.4L NGV,Near A/C pressure cut-out switch,11,A4,,,150,7,BK,16,,,
EXM,C120,6.8L,Near A/C pressure cut-out switch,11,A4,,,,,BK,16,,,
EXM,C121,,Near A/C pressure cut-out switch,11,A5,,,150,8,GY,16,,,
EXM,C122,4.2L,"Above right bank of engine, on fuel injector #2",3,D10,,,,,GY,2,,,
EXM,C122,4.6L,"Above right bank of engine, on fuel injector #2",5,C10,,,,,,2,,,
EXM,C122,5.4L,"Above right bank of engine, on fuel injector #2",7,A7,,,,,,2,,,
EXM,C122,6.8L,"Above right bank of engine, on fuel injector #2",9,E10,,,,,GY,2,,,
EXM,C123,4.2L,"Above right bank of engine, on fuel injector #3",3,D10,,,,,GY,2,,,
EXM,C123,4.6L,"Above right bank of engine, on fuel injector #3",5,D10,,,,,,2,,,
EXM,C123,5.4L,"Above right bank of engine, on fuel injector #3",7,A6,,,,,,2,,,
EXM,C123,6.8L,"Above right bank of engine, on fuel injector #3",9,F9,,,,,GY,2,,,
EXM,C124,,"Right rear top of engine, on electric intake manifold runner control",3,B1,,,,,,4,,,
EXM,C125,4.2L,"Above right valve cover, on EGR solenoid",3,F9,,,,,BK,2,,,
EXM,C125,4.6L,"Above left valve cover, on EGR solenoid",5,A3,,,,,BK,2,,,
EXM,C125,5.4L,"Top left rear of engine, on EGR solenoid",7,A3,,,,,BK,2,,,
EXM,C125,6.8L,"Top left rear of engine, on EGR solenoid",9,A3,,,,,BK,2,,,
EXM,C126,4.2L,"Center rear of engine compartment, on EVAP canister purge valve",3,F4,,,,,BK,2,,,
EXM,C126,4.6L,"Center rear of engine compartment, on EVAP canister purge valve",5,D1,,,,,BK,2,,,
EXM,C126,5.4L,"Center rear of engine compartment, on EVAP canister purge valve",7,A5,,,,,BK,2,,,
EXM,C126,6.8L,"Center rear of engine compartment, on EVAP canister purge valve",9,F6,,,,,BK,2,,,
EXM,C127,4.2L,"Right rear of engine, to HO2S #11",3,F6,,,,,GN,4,,,
EXM,C127,4.6L,"Right rear of engine, to HO2S #11",5,F7,,,,,,4,,,
EXM,C127,5.4L,"Right rear of engine, to HO2S #11",7,F7,,,,,,4,,,
EXM,C127,6.8L,"Right rear of engine, to HO2S #11",9,F4,,,,,GN,4,,,
EXM,C128,4.2L,"Left rear of engine, to HO2S #21",3,D1,,,,,GN,4,,,
EXM,C128,4.6L,"Left rear of engine, to HO2S #21",5,B1,,,,,,4,,,
EXM,C128,5.4L,"Left rear of engine, to HO2S #21",7,E1,,,,,,4,,,
EXM,C128,6.8L,"Left rear of engine, to HO2S #21",9,D1,,,,,GN,4,,,
EXM,C129,4.2L,"Top center of engine, on IAC valve",3,A5,,,,,BK,2,,,
EXM,C129,4.6L,"Rear of engine, on IAC valve",5,A4,,,,,BK,2,,,
EXM,C129,5.4L,"Top center rear of engine, on IAC valve",7,A1,,,,,BK,2,,,
EXM,C129,6.8L,"Top center rear of engine, on IAC valve",9,A4,,,,,BK,2,,,
EXM,C130,,"Left front of engine, on ignition coil",3,A4,,,,,BK,4,,,
EXM,C131,4.2L,"Rear of ignition coil, on radio capacitor #1",3,A3,,,,,GY,1,,,
EXM,C131,4.6L,"Near right front ignition coil, on radio capacitor #1",4,C1,,,,,GY,1,,,
EXM,C131,5.4L,"Upper left rear of engine, on radio capacitor #1",7,C1,,,,,GY,1,,,
EXM,C131,6.8L,"Upper left front of engine, on radio capacitor #1",9,A2,,,,,GY,1,,,
EXM,C134,4.2L,"Above left bank of engine, on fuel injector #6",2,A10,,,,,GY,2,,,
EXM,C134,4.6L,"Above left bank of engine, on fuel injector #6",4,D10,,,,,,2,,,
EXM,C134,5.4L,"Above left bank of engine, on fuel injector #6",6,D10,,,,,,2,,,
EXM,C134,6.8L,"Above left bank of engine, on fuel injector #6",8,F8,,,,,GY,2,,,
EXM,C135,4.2L,"Above left bank of engine, on fuel injector #5",2,A9,,,,,GY,2,,,
EXM,C135,4.6L,"Above left bank of engine, on fuel injector #5",4,E10,,,,,,2,,,
EXM,C135,5.4L,"Above left bank of engine, on fuel injector #5",6,F9,,,,,,2,,,
EXM,C135,6.8L,"Above left bank of engine, on fuel injector #5",9,F7,,,,,GY,2,,,
EXM,C136,4.2L,"Above left bank of engine, on fuel injector #4",2,A8,,,,,GY,2,,,
EXM,C136,4.6L,"Above right bank of engine, on fuel injector #4",5,E10,,,,,,2,,,
EXM,C136,5.4L,"Above right bank of engine, on fuel injector #4",7,B1,,,,,,2,,,
EXM,C136,6.8L,"Above right bank of engine, on fuel injector #4",9,F8,,,,,GY,2,,,
EXM,C137,4.2L,"On heater outlet elbow, on instrumentation engine coolant temperature sensor",2,A7,,,,,BK,2,,,
EXM,C137,4.6L,"Top front of engine, on instrumentation engine coolant temperature sensor",4,A4,,,,,BK,2,,,
EXM,C137,5.4L,"Top left front of engine, on instrumentation engine coolant temperature sensor",6,A4,,,,,BK,2,,,
EXM,C137,6.8L,"Top left front of engine, on instrumentation engine coolant temperature sensor",8,A2,,,,,BK,2,,,
EXM,C137,7.3L,"Top left front of engine, on instrumentation engine coolant temperature sensor",,,,,,,,2,,,
EXM,C138,4.2L,"Lower left front of engine, on engine oil pressure switch",2,F3,,,,,BK,1,,,
EXM,C138,4.6L,"Lower left front of engine, on engine oil pressure switch",4,F6,,,,,BK,1,,,
EXM,C138,5.4L,"Lower left front of engine, on engine oil pressure switch",6,F5,,,,,BK,1,,,
EXM,C138,6.8L,"Lower left front of engine, on engine oil pressure switch",8,F3,,,,,BK,1,,,
EXM,C138,7.3L,"Lower left front of engine, on engine oil pressure switch",1,E1,,,,,BK,1,,,
EXM,C139,4.6L,"Front of left cylinder head, on camshaft position (CMP) sensor",4,F4,,,,,,2,,,
EXM,C139,5.4L,"Front of left cylinder head, on camshaft position (CMP) sensor",6,D1,,,,,,2,,,
EXM,C139,6.8L,"Left front of engine, on camshaft position (CMP) sensor",8,D1,,,,,,2,,,
EXM,C140,4.2L,"Right rear side of engine, on knock sensor (KS)",3,F7,,,,,GN,2,,,
EXM,C140,4.6L,"Top right hand rear of engine, on knock sensor (KS)",5,F9,,,,,BK,2,,,
EXM,C140,5.4L,"Top right rear of engine, on knock sensor (KS)",,,,,,,BK,2,,,
EXM,C140,6.8L,"Top right rear of engine, on knock sensor (KS)",9,C1,,,,,BK,2,,,
EXM,C141,4.2L,"Lower right front of engine, on crankshaft position (CKP) sensor",2,E1,,,,,BK,2,,,
EXM,C141,4.6L,"Lower right front of engine, on crankshaft position (CKP) sensor",4,F3,,,,,,2,,,
EXM,C141,5.4L,"Lower center front of engine, on crankshaft position (CKP) sensor",6,F3,,,,,,2,,,
EXM,C141,6.8L,"Lower right front of engine, on crankshaft position (CKP) sensor",8,D1,,,,,BK,2,,,
EXM,C142,4.2L,"Left rear of engine, on cylinder head temperature (CHT) sensor",2,C1,,,,,GY,2,,,
EXM,C143,4.2L,"Left front of engine, on A/C compressor clutch",2,D1,,,,,BK,2,,,
EXM,C143,4.6L,"Lower right front of engine, on A/C compressor clutch",4,D1,,,,,,2,,,
EXM,C143,5.4L,"Lower right front of engine, on A/C compressor clutch",6,E1,,,,,,2,,,
EXM,C143,6.8L,"Lower right front of engine, on A/C compressor clutch",8,E1,,,,,BK,2,,,
EXM,C144,,"On 4 wheel anti-lock brakes (4 WABS) module, on left front frame rail",10,F7,,,42,6,BK,24,,,
