EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EXM,010,001,C100,F,,
EXM,010,001,C100,M,,
EXM,010,001,C111,,,
EXM,010,001,C1157,,,
EXM,010,001,C145,,,
EXM,010,001,C154,4.2L,,
EXM,010,001,C154,4.6L,,
EXM,010,001,C154,5.4L,,
EXM,010,001,C154,5.4L Bi-Fuel,,
EXM,010,001,C154,5.4L NGV,,
EXM,010,001,C154,6.8L,,
EXM,010,001,C154,7.3L,,
EXM,010,001,C164,,,
EXM,010,001,C306,,,
EXM,010,001,C344,,,
EXM,010,001,C347,5.4L Bi-Fuel,,
EXM,010,001,C347,except 5.4L Bi-Fuel,,
EXM,010,001,C348,,,
EXM,010,001,C350,,,
EXM,010,001,C352,,,
EXM,010,001,C353,,,
EXM,010,001,C354,,,
EXM,010,001,C417,,,
EXM,010,001,C422,,,
EXM,010,001,C4302,,,
EXM,010,002,C1012,,,
EXM,010,002,C1157,,,
EXM,010,002,C116,F,,
EXM,010,002,C116,M,,
EXM,010,002,C139,4.6L,,
EXM,010,002,C141,4.6L,,
EXM,010,002,C154,4.6L,,
EXM,010,002,C154,5.4L,,
EXM,010,002,C154,5.4L Bi-Fuel,,
EXM,010,002,C154,5.4L NGV,,
EXM,010,002,C154,6.8L,,
EXM,010,002,C154,7.3L,,
EXM,010,002,C166,F,,
EXM,010,002,C166,M,,
EXM,010,003,C1013,,,
EXM,010,003,C1014,,,
EXM,010,003,C112,,,
EXM,010,003,C116,F,,
EXM,010,003,C116,M,,
EXM,010,003,C124,,,
EXM,010,003,C143,4.2L,,
EXM,010,003,C143,4.6L,,
EXM,010,003,C143,5.4L,,
EXM,010,003,C143,6.8L,,
EXM,010,003,C149,,,
EXM,010,003,C153,,,
EXM,010,003,C157,,,
EXM,010,003,C158,,,
EXM,010,004,C116,F,,
EXM,010,004,C116,M,,
EXM,010,004,C154,4.6L,,
EXM,010,004,C155,,,
EXM,010,004,C234,F,,
EXM,010,004,C234,M,,
EXM,010,004,C241,,,
EXM,010,005,C116,F,,
EXM,010,005,C116,M,,
EXM,010,005,C139,5.4L,,
EXM,010,005,C139,6.8L,,
EXM,010,005,C140,5.4L,,
EXM,010,005,C140,6.8L,,
EXM,010,005,C141,5.4L,,
EXM,010,005,C141,6.8L,,
EXM,010,005,C154,5.4L,,
EXM,010,005,C154,5.4L Bi-Fuel,,
EXM,010,005,C154,5.4L NGV,,
EXM,010,005,C154,6.8L,,
EXM,010,005,C155,,,
EXM,010,005,C234,F,,
EXM,010,005,C234,M,,
EXM,010,005,C241,,,
EXM,010,006,C1011,,,
EXM,010,006,C1157,,,
EXM,010,006,C149,,,
EXM,010,006,C153,,,
EXM,010,006,C154,7.3L,,
EXM,010,006,C157,,,
EXM,010,006,C158,,,
EXM,010,006,C166,F,,
EXM,010,006,C166,M,,
EXM,010,006,C167,7.3L,,
EXM,010,006,C234,F,,
EXM,010,006,C234,M,,
EXM,010,006,C241,,,
EXM,010,007,C189,,,
EXM,010,007,C190,,,
EXM,010,007,C194,,,
EXM,010,007,C195,,,
EXM,010,007,C196,,,
EXM,010,007,C197,,,
EXM,010,008,C200,,,
EXM,010,008,C202,,,
EXM,010,008,C213,,,
EXM,010,008,C217,,,
EXM,010,008,C241,,,
EXM,010,008,C335,,,
EXM,010,009,C100,F,,
EXM,010,009,C100,M,,
EXM,010,009,C1013,,,
EXM,010,009,C108,,,
EXM,010,009,C120,4.2L (F),,
EXM,010,009,C120,4.2L (M),,
EXM,010,009,C120,4.6L (F),,
EXM,010,009,C120,4.6L (M),,
EXM,010,009,C120,5.4L NGV,,
EXM,010,009,C137,4.2L,,
EXM,010,009,C137,4.6L,,
EXM,010,009,C137,5.4L,,
EXM,010,009,C137,5.4L,,
EXM,010,009,C137,6.8L,,
EXM,010,009,C146,,,
EXM,010,009,C154,4.2L,,
EXM,010,009,C154,4.6L,,
EXM,010,009,C154,5.4L,,
EXM,010,009,C154,5.4L Bi-Fuel,,
EXM,010,009,C154,5.4L NGV,,
EXM,010,009,C154,6.8L,,
EXM,010,009,C162,,,
EXM,010,009,C193,,,
EXM,010,009,C215,,,
