EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,SORT,FREQUENCY
EXm,G100,,"Left front of engine compartment, at LH upper radiator support",11,D10,,
EXm,G101,,"Right front of engine compartment, at RH upper radiator support",10,E1,,
EXm,G102,,"Left front of engine compartment, at front radiator support",11,F9,,
EXm,G103,,"Right front of engine compartment, at front radiator support",11,F2,,
EXm,G107,,"Right side of engine, near starter motor",,,,
EXm,G110,,"Right side of engine, near starter motor",,,,
EXm,G199,,"Under right rear of engine compartment, along frame rail",,,,
EXm,G200,,Under RH side of I/P,12,D10,,
EXm,G202,,"Behind upper LH side of I/P, near cowl",12,B1,,
EXm,G203,,"Behind upper LH side of I/P, near cowl",12,A1,,
EXm,G204,,"Below left side of I/P, near kick panel",14,D1,,
EXm,G205,,"Below left side of I/P, near kick panel",14,A1,,
EXm,G300,,"Under right side of vehicle, along frame rail",22,A5,,
EXm,G400,,"Left rear corner of vehicle, near left rear door",17,E1,,
EXm,G4001,,Left rear of engine compartment,,,,
EXm,G4002,,Left rear of engine compartment,,,,
EXm,G4003,,Left rear of engine compartment,,,,
EXm,G4005,,Left rear of engine compartment,,,,
EXm,G401,,"Under left rear of vehicle, along frame rail",17,F2,,
