EVTM,CELL,LOCPAGE,ZONE,NAME,QUALIFIER,TYPE,CONN_NAME,FREQUENCY
EXM,151,001,A1,C1001,,CON,,0
EXM,151,001,A1,"Fuel Injectors/Glow Plugs (#5, #7)",,COM,,0
EXM,151,001,A2,C1005,,CON,,0
EXM,151,001,A3,C1997,,CON,,0
EXM,151,001,A4,C1006,,CON,,0
EXM,151,001,A4,Injection Pressure Regulator (IPR),,COM,,0
EXM,151,001,A5,C1018,,CON,,0
EXM,151,001,A5,Fuel Line Heater,,COM,,0
EXM,151,001,A6,C1011,,CON,,0
EXM,151,001,A6,Exhaust Pressure Regulator (EPR),,COM,,0
EXM,151,001,A7,C1998,,CON,,0
EXM,151,001,A7,Water in Fuel Sensor,,COM,,0
EXM,151,001,A8,C166,M,CON,,0
EXM,151,001,A8,C166,F,CON,,0
EXM,151,001,B1,Glow Plug Relay,,COM,,
EXM,151,001,B10,C1003,,CON,,0
EXM,151,001,B10,"Fuel Injectors/Glow Plugs (#6, #8)",,COM,,0
EXM,151,001,C1,C1000,,CON,,
EXM,151,001,C1,C1159,,CON,,
EXM,151,001,C1,Fuel Injector #1,7.3L with electric fuel pump,COM,,
EXM,151,001,C1,Fuel Injector #3,7.3L with electric fuel pump,COM,,
EXM,151,001,C1,Fuel Injector #5,7.3L with electric fuel pump,COM,,
EXM,151,001,C1,Fuel Injector #7,7.3L with electric fuel pump,COM,,
EXM,151,001,C1,"Fuel Injectors/Glow Plugs (#1, #3)",,COM,,
EXM,151,001,C1,Glow Plug #1,With Electric Fuel Pump,COM,,
EXM,151,001,C1,Glow Plug #3,With Electric Fuel Pump,COM,,
EXM,151,001,C1,Glow Plug #5,With Electric Fuel Pump,COM,,
EXM,151,001,C1,Glow Plug #7,With Electric Fuel Pump,COM,,
EXM,151,001,C10,C1158,,CON,,
EXM,151,001,C10,Fuel Injector #2,7.3L with electric fuel pump,COM,,
EXM,151,001,C10,Fuel Injector #4,7.3L with electric fuel pump,COM,,
