EVTM,CELL,PAGE,NAME,QUALIFIER,REFCELL,REFPAGE,CARROT,PAGEID1,PAGEID2,ITEMID_,CELLID2
Exm,010,001,4 Wheel Anti-Lock Brakes System (4WABS) Module,,042,003,,,,,
Exm,010,001,Blower Motor Relay,,053,002,,,,,
Exm,010,001,Blower Motor Relay,,054,002,,,,,
Exm,010,001,Forward Aft-Axle Fuel Tank Valve,,028,009,,,,,
Exm,010,001,Fuel Pump,,023,002,,,,,
Exm,010,001,Fuel Pump Module,5.4L Bi-Fuel,022,012,,,,,
Exm,010,001,Fuel Pump Module,except 5.4L Bi-Fuel,024,011,,,,,
Exm,010,001,Fuel Pump Module,except 5.4L Bi-Fuel,025,011,,,,,
Exm,010,001,Fuel Pump Module,except 5.4L Bi-Fuel,026,009,,,,,
Exm,010,001,Fuel Pump Module,except 5.4L Bi-Fuel,027,008,,,,,
Exm,010,001,Fuel Tank Sender,,028,009,,,,,
Exm,010,001,G101,,010,003,X,,,,
Exm,010,001,G101,,010,006,X,,,,
Exm,010,001,Injector Driver Module (IDM),,023,003,,,,,
Exm,010,001,In-Transit Fuel Pump Module,,022,009,,,,,
Exm,010,001,In-Transit Fuel Pump Module,,024,011,,,,,
Exm,010,001,In-Transit Fuel Pump Module,,025,011,,,,,
Exm,010,001,In-Transit Fuel Pump Module,,026,009,,,,,
Exm,010,001,In-Transit Fuel Pump Module,,027,008,,,,,
Exm,010,001,Low Vacuum Warning Switch,,065,002,,,,,
Exm,010,001,Midship Fuel Tank Valve,,028,009,,,,,
Exm,010,001,Powertrain Control Module (PCM),4.2L,024,001,,,,,
Exm,010,001,Rear Aft-Axle Fuel Tank Valve,,028,009,,,,,
Exm,010,001,S167,,010,002,B,,,,
Exm,010,001,S181,,010,002,B,,,,
Exm,010,001,Trailer Battery Charge Relay,,095,002,,,,,
Exm,010,001,Trailer Reversing Lamp Relay,,095,003,,,,,
Exm,010,001,Trailer Running Lamp Relay,,095,003,,,,,
Exm,010,002,Engine Controls,,025,002,,,,,
Exm,010,002,Engine Controls,,025,007,,,,,
Exm,010,002,G100,,010,001,B,,,,
Exm,010,002,Injector Driver Module (IDM),,023,005,,,,,
Exm,010,002,NGV Module,,028,011,,,,,
Exm,010,002,Powertrain Control Module (PCM),5.4L Bi-Fuel,022,002,,,,,
