EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
EXm,S100,,"Transmission control harness, near T/O to C115",,
EXm,S1000,,Fuel injector harness near T/O to C1000,,
EXm,S1001,,Fuel injector harness near T/O to C1007,,
EXm,S1002,,Fuel injector harness near T/O to C1010,,
EXm,S1003,,Fuel injector harness near T/O to C1001,,
EXm,S1004,,Fuel injector harness near T/O to C1003,,
EXm,S1005,,Fuel injector harness near T/O to C1002,,
EXm,S1006,,Fuel injector harness near glow plug relay,,
EXm,S1007,,Fuel injector harness near fuel injectors,,
EXm,S1008,,RH side of engine compartment near starter motor relay,,
EXm,S1009,,RH side of engine compartment near starter motor relay,,
EXm,S1010,,"RH front of engine compartment, near battery junction box",,
EXm,S1011,,"RH front of engine compartment, near battery junction box",,
EXm,S1012,,"RH front of engine compartment, near starter motor relay",,
EXm,S1013,,Fuel injector harness near T/O to C1006,,
EXm,S1014,,Fuel injector harness near fuel injector,,
EXm,S102,,"Transmission control harness, near T/O to C114",,
EXm,S103,,"Fuel charge harness, near T/O  to C117",,
EXm,S104,,"Fuel charge harness, near T/O to C120",,
EXm,S105,,"Fuel charge harness, near T/O to C123",,
EXm,S106,,"Fuel charge harness, near T/O to C122",,
EXm,S107,,"Fuel charge harness, near T/O to C134",,
EXm,S108,,"Engine control harness, near T/O to battery junction box",,
EXm,S109,,"Engine control harness, near T/O to battery junction box",,
EXm,S110,,"Engine control harness, near T/O to battery junction box",,
EXm,S111,,"Engine control harness, near T/O to battery junction box",,
EXm,S112,,"Engine control harness, near T/O to battery junction box",,
EXm,S113,,"Engine control harness, near T/O to battery junction box",,
EXm,S114,,"Engine control harness, near T/O to battery junction box",,
EXm,S115,,"Engine control harness, near T/O to battery junction box",,
EXm,S116,,"Engine control harness, near T/O to battery junction box",,
EXm,S117,,"Engine control harness, near T/O to C100",,
EXm,S118,,"Engine control harness, near T/O to C234",,
EXm,S119,,"Engine control harness, near T/O to C234",,
EXm,S120,,"Engine control harness, near T/O to C234",,
EXm,S121,,"Engine control harness, near T/O to C229",,
EXm,S122,,"Engine control harness, near T/O to C229",,
EXm,S123,,"Engine control harness, near T/O to C229",,
EXm,S124,,"Engine control harness, near T/O to C229",,
EXm,S125,,"Engine control harness, near T/O to C229",,
EXm,S126,,"Engine control harness, near T/O to C234",,
EXm,S127,,"Engine control harness, near T/O to C147",,
EXm,S128,,"Engine control harness, near T/O to C147",,
EXm,S129,,"Engine control harness, near T/O to C234",,
EXm,S130,,"Engine control harness, in T/O to C234",,
EXm,S131,,"Engine control harness, near T/O to C234",,
EXm,S132,,"Engine control harness, near T/O to C150",,
EXm,S133,,"Engine control harness, near T/O to C120",,
EXm,S134,,"Engine control harness, near T/O to C120",,
EXm,S135,,"Engine control harness, near T/O to C120",,
EXm,S136,,"Engine control harness, near T/O to C120",,
EXm,S137,,"Engine control harness, in T/O to C154",,
EXm,S138,,"Engine control harness, near T/O to C120",,
EXm,S139,,"Engine control harness, near T/O to C120",,
EXm,S140,,"Engine control harness, near T/O to C120",,
EXm,S141,,"Engine control harness, near T/O to C155",,
EXm,S142,,"Engine control harness, near T/O to C155",,
EXm,S143,,"Engine control harness, near T/O to C159",,
EXm,S144,,"Engine control harness, near T/O to C159",,
EXm,S145,,"Engine control harness, near T/O to C229",,
EXm,S146,,"Engine control harness, near T/O to C229",,
EXm,S147,,"Engine control harness, near T/O to C120",,
EXm,S148,,"Engine control harness, near T/O to C121",,
EXm,S149,,"Engine control harness, near T/O to C123",,
EXm,S150,,"Engine control harness, near T/O to C122",,
EXm,S151,,"Engine control harness, near T/O to C136",,
EXm,S152,,"Engine control harness, near T/O to C171",,
EXm,S153,,"Engine control harness, near T/O to C129",,
EXm,S154,,"Engine control harness, near T/O to C170",,
EXm,S155,,"Engine control harness, near T/O to C134",,
EXm,S156,,"Engine control harness, near T/O to C177",,
EXm,S157,,"Engine control harness, near T/O to C187",,
EXm,S158,,"Engine control harness, near T/O to C131",,
EXm,S159,,"Engine control harness, near T/O to C113",,
EXm,S160,,"Engine control harness, near T/O to C183",,
EXm,S161,,"Engine control harness, near T/O to C119",,
EXm,S162,,"Engine control harness, near T/O to C134",,
EXm,S163,,"Dash to headlamp harness, near T/O to C190",,
EXm,S164,,"Dash to headlamp harness, near T/O to C193",,
EXm,S165,,"Dash to headlamp harness, near T/O to G103",,
EXm,S167,,"Engine control harness, in T/O to C166",,
EXm,S168,,"Engine control harness, in T/O to C116",,
EXm,S169,,"Engine control harness, in the T/O to C154",,
EXm,S170,,"Engine control harness, in T/O to C116",,
EXm,S171,,"Fuel charge harness, in T/O to C116",,
EXm,S172,,"Fuel charge harness, in T/O to C140",,
EXm,S173,,Fuel charge harness,,
EXm,S175,,"Engine control harness, near T/O to C229",,
EXm,S176,,"Engine control harness, near T/O to battery junction box",,
EXm,S178,,"RH front of engine compartment, near battery junction box",,
EXm,S179,,"Engine control harness, near T/O to C149",,
EXm,S180,,"Engine control harness, in T/O to C1019",,
EXm,S181,,"Engine control harness, in T/O to C1012",,
EXm,S182,,"Engine control harness, near T/O to C229",,
EXm,S183,,"Engine control harness, near T/O to C229",,
EXm,S184,,"Engine control harness, near T/O to C229",,
EXm,S185,,"Engine control harness, near T/O to C229",,
EXm,S188,,"Engine control harness, near T/O to C156",,
EXm,S189,,"Engine control harness, near T/O to C1016",,
EXm,S190,,"Engine control harness, in T/O to C121",,
EXm,S191,,"In navistar engine harness, near T/O to glow plug relay",,
EXm,S200,,"Main wiring harness, near T/O to C210",,
EXm,S201,,"Main wiring harness, near T/O to C201",,
EXm,S202,,"Main wiring harness, near T/O to C212",,
EXm,S203,,"Main wiring harness, near T/O to C212",,
EXm,S204,,"Main wiring harness, near T/O to C212",,
EXm,S205,,"Main wiring harness, near T/O to C223",,
EXm,S206,,"Main wiring harness, near T/O to C223",,
EXm,S207,,"Main wiring harness, near T/O to C223",,
EXm,S208,,"Main wiring harness, near T/O to C223",,
EXm,S209,,"Main wiring harness, near T/O to C223",,
EXm,S210,,"Main wiring harness, near T/O to C233",,
EXm,S211,,"Main wiring harness, near T/O to C225",,
EXm,S212,,"Main wiring harness, near T/O to C225",,
EXm,S213,,"Main wiring harness, near T/O to C225",,
EXm,S214,,"Main wiring harness, in T/O to C228",,
EXm,S215,,"Main wiring harness, near T/O to C233",,
EXm,S216,,"Main wiring harness, near T/O to C233",,
EXm,S217,,"Main wiring harness, near T/O to C233",,
EXm,S218,,"Main wiring harness, near T/O to C233",,
EXm,S219,,"Main wiring harness, in T/O to C227",,
EXm,S220,,"Main wiring harness, near T/O to C223",,
EXm,S221,,"Lower I/P harness, near T/O to C238",,
EXm,S222,,"Lower I/P harness, near T/O to C238",,
EXm,S223,,"Lower I/P harness, near T/O to C238",,
EXm,S224,,"Lower I/P harness, near T/O to C234",,
EXm,S225,,"Lower I/P harness, near T/O to C234",,
EXm,S226,,"Lower I/P harness, near T/O to C234",,
EXm,S227,,"Lower I/P harness, near T/O to C234",,
EXm,S228,,"Lower I/P harness, in T/O to C241",,
EXm,S229,,"Lower I/P harness, in T/O to C241",,
EXm,S230,,"Lower I/P harness, near T/O to C245",,
EXm,S231,,"Lower I/P harness, near T/O to G204",,
EXm,S232,,"Lower I/P harness, near T/O to G204",,
EXm,S233,,"Lower I/P harness, near T/O to G204",,
EXm,S234,,"Lower I/P harness, near T/O to C301",,
EXm,S235,,"Lower I/P harness, near T/O to C329",,
EXm,S236,,"Lower I/P harness, near T/O to C246",,
EXm,S237,,"Lower I/P harness, near T/O to C245",,
EXm,S238,,"Lower I/P harness, near T/O to G204",,
EXm,S239,,"Lower I/P harness, near T/O to G204",,
EXm,S240,,"Lower I/P harness, near T/O to C237",,
EXm,S241,,"Lower I/P harness, near T/O to C237",,
EXm,S242,,"Lower I/P harness, near T/O to C245",,
EXm,S243,,"Lower I/P harness, near T/O to C331",,
EXm,S244,,"Lower I/P harness, near T/O to C331",,
EXm,S245,,"Lower I/P harness, in T/O to central junction box",,
EXm,S246,,"Lower I/P harness, near T/O to C329",,
EXm,S247,,"Lower I/P harness, near T/O to C331",,
EXm,S248,,"Lower I/P harness, near T/O to C331",,
EXm,S249,,"Lower I/P harness, near T/O to C331",,
EXm,S250,,"Lower I/P harness, near T/O to C345",,
EXm,S251,,"Lower I/P harness, near T/O to G204",,
EXm,S252,,"Lower I/P harness, near T/O to G204",,
EXm,S253,,"Lower I/P harness, near T/O to G204",,
EXm,S255,,"Lower I/P harness, near T/O to C329",,
EXm,S256,,"Lower I/P harness, near T/O to C334",,
EXm,S257,,"Lower I/P harness, near T/O to C329",,
EXm,S258,,"Lower I/P harness, near T/O to C331",,
EXm,S259,,"Lower I/P harness, near T/O to C331",,
EXm,S260,,"Lower I/P harness, near T/O to C332",,
EXm,S261,,"Lower I/P harness, near T/O to C245",,
EXm,S262,,"Lower I/P harness, near T/O to C245",,
EXm,S263,,"Lower I/P harness, near T/O to C245",,
EXm,S264,,"Lower I/P harness, near T/O to C237",,
EXm,S265,,"Lower I/P harness, near T/O to C237",,
EXm,S266,,"Lower I/P harness, near T/O to C238",,
EXm,S267,,"Main wiring harness, near T/O to G200",,
EXm,S268,,"Main wiring harness, near T/O to C229",,
EXm,S269,,"Lower I/P harness, near T/O to C238",,
EXm,S270,,"Main wiring harness, near T/O to C223",,
EXm,S271,,"Lower I/P harness, near TO to C238",,
EXm,S300,,"Rear harness, near T/O to C302",,
EXm,S301,,"Rear harness, near T/O to C302",,
EXm,S302,,"Rear harness, near T/O to C302",,
EXm,S303,,"Rear harness, near T/O to C300",,
EXm,S304,,"Rear harness, near T/O to C300",,
EXm,S305,,"Rear harness, near T/O to C300",,
EXm,S306,,"Rear harness, near T/O to C402",,
EXm,S307,,"Fuel tank harness, near T/O to C347",,
EXm,S308,,"Fuel tank harness, near T/O to C104",,
