EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EXF,A/C Clutch Field Coil,2.0L,2987,"Right front of engine, part of A/C compressor assembly",C175,4,F3,,,,,,
EXF,A/C Clutch Field Coil,Zetec,2987,"Right front of engine, part of A/C compressor assembly",C175,2,F3,,,,,,
EXF,A/C High Pressure Switch,2.0L,NA,12A581 near T/O to C127 mass air flow sensor,C188,4,F9,,,,,,
EXF,A/C High Pressure Switch,Zetec,NA,12A581 near T/O to C127 mass air flow sensor,C188,001,E10,,,,,,
EXF,A/C Low Pressure Switch,2.0L,19E561,"Right rear of engine compartment, on A/C accumulator",C142,5,B1,,,,,,
EXF,A/C Low Pressure Switch,Zetec,19E561,"Right rear of engine compartment, on A/C accumulator",C142,3,C1,,,,,,
EXF,A/C-Heater Control Assembly,W/ A/C,NA,Inside integrated control panel,C272,8,E10,,,54,3,,
EXF,A/C-Heater Control Assembly,W/ A/C,NA,Inside integrated control panel,C273,8,E10,,,54,3,,
EXF,ABS Main Relay,2.0L,2C013,"Left front corner of engine compartment, near left horn",C116,4,C10,,,42,5,,
EXF,ABS Main Relay,Zetec,2C013,"Left front corner of engine compartment, near left horn",C116,2,C10,,,42,5,,
EXF,Air Bag Diagnostic Monitor,,14B056,"Center of dash panel, below integrated control panel (ICP)",C264,6,E10,,,46,3,,
EXF,Air Bag Sliding Contact,,3600,"Top of steering column, below steering wheel",C248,7,F4,,,,,,
EXF,Air Bag Sliding Contact,,3600,"Top of steering column, below steering wheel",C267,7,F4,,,,,,
EXF,Anti-Lock Brake Control Module,Wagon,2B373,"Mounted on floor, under passenger seat",C386,10,A4,,,42,4,,
EXF,Anti-Lock Brake Control Module,Coupe,2B373,"Mounted on floor, under passenger seat",C386,14,F5,,,42,4,,
EXF,Anti-Lock Brake Control Module,Sedan,2B373,"Mounted on floor, under passenger seat",C386,11,A4,,,42,4,,
EXF,Anti-Theft Hood Switch,2.0L,NA,Left front of engine,C107,4,D10,,,,,,
EXF,Anti-Theft Hood Switch,Zetec,NA,Left front of engine,C107,2,D10,,,,,,
EXF,Automatic Transaxle Selector Illumination Lamp,Coupe,15A808,Below rear of center console,C314,13,A1,,,,,,
EXF,Automatic Transaxle Selector Illumination Lamp,Sedan,15A808,Below rear of center console,C314,11,B1,,,,,,
EXF,Automatic Transaxle Selector Illumination Lamp,Wagon,15A808,Below center of center console,C314,9,A3,,,,,,
EXF,Battery,2.0L,NA,Left side of engine compartment,C154,5,A9,,,,,,
EXF,Battery,2.0L,NA,Left side of engine compartment,C155,5,A9,,,,,,
EXF,Battery,Zetec,NA,Left side of engine compartment,C154,1,A9,,,,,,
EXF,Battery,Zetec,NA,Left side of engine compartment,C155,1,A9,,,,,,
EXF,Battery Junction Box,,14A067,"Left side of engine compartment, above wheelwell",C108,3,A10,,,13,11,,
EXF,Battery Junction Box,,14A067,"Left side of engine compartment, above wheelwell",C109,3,A10,,,13,11,,
EXF,Battery Junction Box,,14A067,"Left side of engine compartment, above wheelwell",C110,3,A10,,,13,11,,
EXF,Battery Junction Box,,14A067,"Left side of engine compartment, above wheelwell",C111,3,A10,,,13,11,,
EXF,Battery Junction Box,,14A067,"Left side of engine compartment, above wheelwell",C133,3,A10,,,13,11,,
EXF,Battery Junction Box,,14A067,"Left side of engine compartment, above wheelwell",C156,3,A10,,,13,11,,
EXF,Battery Junction Box,,14A067,"Left side of engine compartment, above wheelwell",C157,3,A10,,,13,11,,
EXF,Battery Junction Box,,14A067,"Left side of engine compartment, above wheelwell",C161,3,A10,,,13,11,,
EXF,Blower Motor,,19805,"Behind right side of I/P, in A/C-heater plenum",C289,6,B10,,,,,,
EXF,Blower Motor Relay,,NA,"Left side of I/P, near cowl",,6,A1,,,,,,
EXF,Blower Motor Resistor,,19A706,"Behind right side of I/P, in A/C-heater plenum",C287,6,B10,,,,,,
EXF,Blower Motor Resistor,,19A706,"Behind right side of I/P, in A/C-heater plenum",C288,8,C10,,,,,,
EXF,Brake Fluid Level Switch,2.0L,2B372,"Left rear of engine compartment, on brake master cylinder",C171,4,A7,,,,,,
EXF,Brake Fluid Level Switch,Zetec,2B372,"Left rear of engine compartment, on brake master cylinder",C171,2,A6,,,,,,
EXF,Brake Pedal Position (BPP) Switch,,13480,"Behind left side of I/P, top of brake pedal support",C245,7,A3,,,,,,
EXF,Camshaft Position (CMP) Sensor,2.0L,6B288,Left rear of engine,C150,5,A4,,,,,,
EXF,Camshaft Position (CMP) Sensor,Zetec,6B288,Left rear of engine,C150,2,F6,,,,,,
EXF,CD Changer,Coupe,NA,Left rear of luggage compartment,C403,13,F7,,,130,8,,
EXF,CD Changer,Sedan,NA,Left rear of luggage compartment,C403,11,A7,,,130,8,,
EXF,Central Junction Box,Coupe,14A068,"Behind left side of I/P, left of steering column",C210,6,F4,,,13,14,,
EXF,Central Junction Box,Sedan,14A068,"Behind left side of I/P, left of steering column",C210,6,F4,,,13,14,,
EXF,Central Junction Box,Wagon,14A068,"Behind left side of I/P, left of steering column",C210,6,F4,,,13,14,,
EXF,Central Junction Box,Coupe,14A068,"Behind left side of I/P, left of steering column",C220,8,F3,,,13,15,,
EXF,Central Junction Box,Sedan,14A068,"Behind left side of I/P, left of steering column",C220,8,F3,,,13,15,,
EXF,Central Junction Box,Wagon,14A068,"Behind left side of I/P, left of steering column",C220,8,F3,,,13,15,,
