EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EXF,054,002,A/C Clutch Field Coil,2.0L,,
EXF,054,002,A/C Clutch Field Coil,Zetec,,
EXF,010,006,A/C High Pressure Switch,2.0L,,
EXF,010,006,A/C High Pressure Switch,Zetec,,
EXF,023,005,A/C High Pressure Switch,2.0L,,
EXF,054,002,A/C High Pressure Switch,2.0L,,
EXF,054,002,A/C High Pressure Switch,Zetec,,
EXF,054,001,A/C Low Pressure Switch,2.0L,,
EXF,054,001,A/C Low Pressure Switch,Zetec,,
EXF,010,009,A/C-Heater Control Assembly,W/ A/C,,
EXF,013,011,A/C-Heater Control Assembly,W/ A/C,,
EXF,054,001,A/C-Heater Control Assembly,W/ A/C,,
EXF,013,002,ABS Main Relay,2.0L,,
EXF,013,002,ABS Main Relay,Zetec,,
EXF,013,011,ABS Main Relay,2.0L,,
EXF,013,011,ABS Main Relay,Zetec,,
EXF,042,001,ABS Main Relay,2.0L,,
EXF,042,001,ABS Main Relay,Zetec,,
EXF,010,004,Air Bag Diagnostic Monitor,,,
EXF,013,001,Air Bag Diagnostic Monitor,,,
EXF,013,007,Air Bag Diagnostic Monitor,,,
EXF,024,009,Air Bag Diagnostic Monitor,,,
EXF,046,001,Air Bag Diagnostic Monitor,,,
EXF,046,002,Air Bag Diagnostic Monitor,,,
EXF,062,002,Air Bag Diagnostic Monitor,,,
EXF,066,001,Air Bag Diagnostic Monitor,,,
EXF,010,006,Air Bag Sliding Contact,,,
EXF,013,006,Air Bag Sliding Contact,,,
EXF,031,001,Air Bag Sliding Contact,,,
EXF,044,001,Air Bag Sliding Contact,,,
EXF,046,002,Air Bag Sliding Contact,,,
EXF,010,005,Anti-Lock Brake Control Module,Coupe,,
EXF,010,005,Anti-Lock Brake Control Module,Sedan,,
EXF,010,005,Anti-Lock Brake Control Module,Wagon,,
EXF,013,011,Anti-Lock Brake Control Module,Coupe,,
EXF,013,011,Anti-Lock Brake Control Module,Sedan,,
EXF,013,011,Anti-Lock Brake Control Module,Wagon,,
EXF,023,007,Anti-Lock Brake Control Module,Sedan,,
EXF,023,007,Anti-Lock Brake Control Module,Wagon,,
EXF,024,009,Anti-Lock Brake Control Module,Coupe,,
EXF,042,001,Anti-Lock Brake Control Module,Coupe,,
EXF,042,001,Anti-Lock Brake Control Module,Sedan,,
EXF,042,001,Anti-Lock Brake Control Module,Wagon,,
EXF,042,002,Anti-Lock Brake Control Module,Coupe,,
EXF,042,002,Anti-Lock Brake Control Module,Sedan,,
EXF,042,002,Anti-Lock Brake Control Module,Wagon,,
EXF,042,003,Anti-Lock Brake Control Module,Coupe,,
EXF,042,003,Anti-Lock Brake Control Module,Sedan,,
EXF,042,003,Anti-Lock Brake Control Module,Wagon,,
EXF,062,003,Anti-Lock Brake Control Module,Coupe,,
EXF,062,003,Anti-Lock Brake Control Module,Sedan,,
EXF,062,003,Anti-Lock Brake Control Module,Wagon,,
