EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EXF,021,001,C100,2.0L,,
EXF,021,002,C100,Zetec,,
EXF,023,002,C100,2.0L,,
EXF,023,004,C100,2.0L,,
EXF,023,005,C100,2.0L,,
EXF,023,006,C100,2.0L,,
EXF,023,007,C100,2.0L,,
EXF,024,005,C100,Zetec,,
EXF,024,006,C100,Zetec,,
EXF,024,008,C100,Zetec,,
EXF,010,006,C101,2.0L,,
EXF,010,006,C101,Zetec,,
EXF,010,008,C101,Zetec,,
EXF,013,003,C101,2.0L,,
EXF,013,003,C101,Zetec,,
EXF,021,001,C101,2.0L,,
EXF,021,002,C101,Zetec,,
EXF,023,003,C101,2.0L,,
EXF,023,004,C101,2.0L,,
EXF,023,005,C101,2.0L,,
EXF,024,002,C101,Zetec,,
EXF,024,006,C101,Zetec,,
EXF,062,001,C101,2.0L,,
EXF,062,001,C101,Zetec,,
EXF,090,002,C102,2.0L,,
EXF,090,002,C102,Zetec,,
EXF,092,001,C102,2.0L,,
EXF,092,002,C102,Zetec,,
EXF,090,002,C103,2.0L,,
EXF,090,002,C103,Zetec,,
EXF,092,001,C103,2.0L,,
EXF,092,002,C103,Zetec,,
EXF,010,003,C104,2.0L,,
EXF,010,003,C104,Zetec,,
EXF,081,001,C104,2.0L,,
EXF,081,001,C104,Zetec,,
EXF,085,002,C104,2.0L,,
EXF,085,002,C104,Zetec,,
EXF,086,001,C104,2.0L,,
EXF,086,002,C104,Zetec,,
EXF,090,002,C104,2.0L,,
EXF,090,002,C104,Zetec,,
EXF,092,001,C104,2.0L,,
EXF,092,002,C104,Zetec,,
EXF,097,002,C104,2.0L,,
EXF,097,002,C104,Zetec,,
EXF,112,001,C104,2.0L,,
EXF,112,001,C104,Zetec,,
EXF,010,006,C105,2.0L,,
EXF,010,006,C105,Zetec,,
EXF,021,001,C105,2.0L,,
EXF,021,002,C105,Zetec,,
EXF,023,003,C105,2.0L,,
EXF,023,007,C105,2.0L,,
EXF,024,001,C105,Zetec,,
EXF,029,001,C105,2.0L,,
EXF,029,001,C105,Zetec,,
EXF,033,002,C105,2.0L,,
EXF,033,002,C105,Zetec,,
EXF,054,002,C105,2.0L,,
EXF,054,002,C105,Zetec,,
EXF,010,001,C106,2.0L,,
EXF,010,002,C106,Zetec,,
EXF,042,002,C106,2.0L,,
EXF,042,002,C106,Zetec,,
EXF,062,004,C106,2.0L,,
EXF,062,004,C106,Zetec,,
EXF,066,002,C106,2.0L,,
EXF,066,002,C106,Zetec,,
EXF,071,001,C106,2.0L,,
EXF,071,001,C106,Zetec,,
