EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,SORT,FREQUENCY
EXF,G100,2.0L,Near starter motor,5,A4,,
EXF,G100,Zetec,Near starter motor,1,A5,,
EXF,G101,,Right front side of engine,2,E1,,
EXF,G104,2.0L,"On C104, joint connector #2",5,E10,,
EXF,G104,Zetec,"On C104, joint connector #2",3,E10,,
EXF,G106,2.0L,"On C106, joint connector #1",4,C1,,
EXF,G106,Zetec,"On C106, joint connector #1",2,D1,,
EXF,G146,2.0L,"On C146, joint connector #6",4,D10,,
EXF,G146,Zetec,"On C146, joint connector #6",3,C10,,
EXF,G201,,"Near C288, blower motor resistor",8,B10,,
EXF,G202,,"Near C275, integrated control panel (ICP)",8,F7,,
EXF,G203,,"Near C264, air bag diagnostic monitor",7,F6,,
EXF,G224,,"On C224, joint connector #3",6,E1,,
EXF,G300,,Near fuel pump module,9,F4,,
EXF,G302,Coupe,"Near T/O C386, ABS control module",13,A3,,
EXF,G302,Wagon,"Near T/O C386, ABS control module",10,F4,,
EXF,G400,,"Near C412, liftgate wiper motor",10,E10,,
EXF,G401,Sedan,"On C401, joint connector #8",11,F10,,
EXF,G401,Wagon,"On C401, joint connector #8",9,F9,,
EXF,G401,Coupe,"On C402, joint connector #9",013,D10,,
EXF,G402,,"On C402, joint connector #9",11,F8,,
EXF,G900,,"In roof, hear C918 roof opening panel switch",,,,
EXF,G403,Coupe,"Near T/O to C415, rear window defrost grid",14,A8,,
EXF,G403,Wagon,"Near T/O to C415, rear window defrost grid",10,F7,,
