EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EXF,010,001,G106,2.0L,,
EXF,010,002,G101,,,
EXF,010,002,G106,Zetec,,
EXF,010,003,G104,2.0L,,
EXF,010,003,G104,Zetec,,
EXF,010,004,G224,,,
EXF,010,006,G100,2.0L,,
EXF,010,006,G100,Zetec,,
EXF,010,007,G146,2.0L,,
EXF,010,007,G202,,,
EXF,010,008,G146,Zetec,,
EXF,010,008,G202,,,
EXF,010,009,G201,,,
EXF,010,010,G300,,,
EXF,010,010,G400,,,
EXF,010,010,G401,Wagon,,
EXF,010,011,G401,Sedan,,
EXF,010,011,G402,,,
EXF,010,012,G401,Coupe,,
EXF,010,013,G402,,,
EXF,012,001,G100,2.0L,,
EXF,012,001,G100,Zetec,,
EXF,013,001,G100,2.0L,,
EXF,013,001,G100,Zetec,,
EXF,020,001,G100,2.0L,,
EXF,020,001,G100,Zetec,,
EXF,021,001,G100,2.0L,,
EXF,021,002,G100,Zetec,,
EXF,023,001,G100,2.0L,,
EXF,023,002,G146,2.0L,,
EXF,023,002,G401,Sedan,,
EXF,023,002,G401,Wagon,,
EXF,023,002,G402,,,
EXF,023,003,G100,2.0L,,
EXF,023,007,G100,2.0L,,
EXF,023,007,G146,2.0L,,
EXF,024,001,G100,Zetec,,
EXF,024,004,G100,Zetec,,
EXF,024,004,G146,Zetec,,
EXF,024,004,G402,,,
EXF,024,009,G100,Zetec,,
EXF,024,009,G201,,,
EXF,029,001,G100,2.0L,,
EXF,029,001,G100,Zetec,,
EXF,029,002,G100,Zetec,,
EXF,029,003,G100,2.0L,,
EXF,031,002,G100,2.0L,,
EXF,031,002,G100,Zetec,,
EXF,033,001,G146,2.0L,,
EXF,033,001,G146,Zetec,,
EXF,033,002,G100,2.0L,,
EXF,033,002,G100,Zetec,,
EXF,037,001,G401,Coupe,,
EXF,037,002,G401,Sedan,,
EXF,037,002,G401,Wagon,,
EXF,042,002,G106,2.0L,,
EXF,042,002,G106,Zetec,,
EXF,042,002,G302,Coupe,,
EXF,042,002,G302,Wagon,,
EXF,044,001,G100,2.0L,,
EXF,044,001,G100,Zetec,,
EXF,044,001,G201,,,
EXF,046,001,G203,,,
EXF,046,002,G224,,,
EXF,053,001,G201,,,
EXF,053,001,G224,,,
EXF,054,001,G201,,,
EXF,054,001,G224,,,
EXF,054,002,G100,2.0L,,
EXF,054,002,G100,Zetec,,
EXF,056,001,G201,,,
EXF,056,001,G403,Coupe,,
EXF,056,001,G403,Wagon,,
EXF,062,001,G100,2.0L,,
EXF,062,001,G100,Zetec,,
EXF,062,001,G146,2.0L,,
EXF,062,001,G146,Zetec,,
EXF,062,002,G146,2.0L,,
EXF,062,002,G146,Zetec,,
EXF,062,004,G106,2.0L,,
EXF,062,004,G106,Zetec,,
EXF,062,005,G201,,,
EXF,064,001,G100,2.0L,,
EXF,064,001,G100,Zetec,,
EXF,066,001,G224,,,
EXF,066,002,G106,2.0L,,
EXF,066,002,G106,Zetec,,
EXF,066,002,G401,Coupe,,
EXF,066,002,G401,Sedan,,
EXF,066,002,G401,Wagon,,
