EVTM,CELL,LOCPAGE,ZONE,NAME,QUALIFIER,TYPE,CONN_NAME,FREQUENCY
EXF,151,002,F3,A/C Clutch Field Coil,Zetec,COM,,
EXF,151,004,F3,A/C Clutch Field Coil,2.0L,COM,,
EXF,151,001,E10,A/C High Pressure Switch,Zetec,COM,,
EXF,151,004,F9,A/C High Pressure Switch,2.0L,COM,,
EXF,151,003,C1,A/C Low Pressure Switch,Zetec,COM,,
EXF,151,005,B1,A/C Low Pressure Switch,2.0L,COM,,
EXF,151,008,E10,A/C-Heater Control Assembly,W/ A/C,COM,,
EXF,151,002,C10,ABS Main Relay,Zetec,COM,,
EXF,151,004,C10,ABS Main Relay,2.0L,COM,,
EXF,151,006,E10,Air Bag Diagnostic Monitor,,COM,,
EXF,151,007,F4,Air Bag Sliding Contact,,COM,,
EXF,151,010,A4,Anti-Lock Brake Control Module,Wagon,COM,,
EXF,151,011,A4,Anti-Lock Brake Control Module,Sedan,COM,,
EXF,151,014,F5,Anti-Lock Brake Control Module,Coupe,COM,,
EXF,151,002,D10,Anti-Theft Hood Switch,Zetec,COM,,
EXF,151,004,D10,Anti-Theft Hood Switch,2.0L,COM,,
EXF,151,009,A3,Automatic Transaxle Selector Illumination Lamp,Wagon,COM,,
EXF,151,011,B1,Automatic Transaxle Selector Illumination Lamp,Sedan,COM,,
EXF,151,013,A1,Automatic Transaxle Selector Illumination Lamp,Coupe,COM,,
EXF,151,001,A9,Battery,Zetec,COM,,
EXF,151,005,A9,Battery,2.0L,COM,,
EXF,151,003,A10,Battery Junction Box,,COM,,
EXF,151,006,B10,Blower Motor,,COM,,
EXF,151,006,A1,Blower Motor Relay,,COM,,
EXF,151,006,B10,Blower Motor Resistor,,COM,,
EXF,151,008,C10,Blower Motor Resistor,,COM,,
EXF,151,002,A6,Brake Fluid Level Switch,Zetec,COM,,
EXF,151,004,A7,Brake Fluid Level Switch,2.0L,COM,,
EXF,151,007,A3,Brake Pedal Position (BPP) Switch,,COM,,
EXF,151,003,A6,C100,Zetec,CON,,
EXF,151,004,A3,C100,2.0L,CON,,
EXF,151,003,A7,C101,Zetec,CON,,
EXF,151,004,A2,C101,2.0L,CON,,
EXF,151,002,E10,C102,Zetec,CON,,
EXF,151,004,E10,C102,2.0L,CON,,
EXF,151,003,D1,C103,Zetec,CON,,
EXF,151,005,D1,C103,2.0L,CON,,
