EVTM,CELL,PAGE,NAME,QUALIFIER,REFCELL,REFPAGE,CARROT,PAGEID1,PAGEID2,ITEMID_,CELLID2
EXF,010,006,A/C High Pressure Switch,2.0L,054,002,,,,,
EXF,010,006,A/C High Pressure Switch,Zetec,054,002,,,,,
EXF,023,005,A/C High Pressure Switch,2.0L,054,002,,,,,
EXF,023,008,A/C-Heater,,054,002,,,,,
EXF,024,010,A/C-Heater,,054,002,,,,,
EXF,033,002,A/C-Heater,,054,002,,,,,
EXF,010,009,A/C-Heater Control Assembly,W/ A/C,054,001,,,,,
EXF,013,011,A/C-Heater Control Assembly,W/ A/C,054,001,,,,,
EXF,054,001,A/C-Heater Control Assembly,W/ A/C,149,004,,,,,
EXF,013,002,ABS Main Relay,2.0L,042,001,,,,,
EXF,013,002,ABS Main Relay,Zetec,042,001,,,,,
EXF,013,011,ABS Main Relay,2.0L,042,001,,,,,
EXF,013,011,ABS Main Relay,Zetec,042,001,,,,,
EXF,010,004,Air Bag Diagnostic Monitor,,046,002,,,,,
EXF,013,001,Air Bag Diagnostic Monitor,,046,001,,,,,
EXF,013,007,Air Bag Diagnostic Monitor,,046,001,,,,,
EXF,024,009,Air Bag Diagnostic Monitor,,046,002,,,,,
EXF,062,002,Air Bag Diagnostic Monitor,,046,002,,,,,
EXF,066,001,Air Bag Diagnostic Monitor,,046,001,,,,,
EXF,013,006,Air Bag Sliding Contact,,031,001,,,,,
EXF,023,007,Air Bags,,046,002,,,,,
EXF,010,005,Anti-Lock Brake Control Module,Coupe,042,002,,,,,
EXF,010,005,Anti-Lock Brake Control Module,Sedan,042,002,,,,,
EXF,010,005,Anti-Lock Brake Control Module,Wagon,042,002,,,,,
EXF,013,011,Anti-Lock Brake Control Module,Coupe,042,002,,,,,
EXF,013,011,Anti-Lock Brake Control Module,Sedan,042,002,,,,,
EXF,013,011,Anti-Lock Brake Control Module,Wagon,042,002,,,,,
EXF,023,007,Anti-Lock Brake Control Module,Coupe,042,002,,,,,
EXF,024,009,Anti-Lock Brake Control Module,Coupe,042,002,,,,,
EXF,062,003,Anti-Lock Brake Control Module,Coupe,042,002,,,,,
