EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
EXF,S100,,"Dash panel to headlamp harness, near grommet",,
EXF,S101,,"Engine harness, near T/O to C139 EGR vacuum regulator (EVR)",,
EXF,S102,,"Engine harness, in T/O to C110 battery junction box",,
EXF,S103,,"Charge harness, near T/O to battery junction box",,
EXF,S104,,"Engine harness, near T/O C110 battery junction box",,
EXF,S105,,"Charge harness, near T/O to C154 battery",,
EXF,S106,,"Engine harness, near T/O to C139 EGR vacuum regulator (EVR)",,
EXF,S107,,"Fuel injector harness, near T/O to C137 radio noise capacitor",,
EXF,S108,,"Engine harness, near T/O to inline C256M",,
EXF,S109,,"Engine harness, near T/O to C147 constant control relay module (CCRM)",,
EXF,S110,,"Engine harness, near T/O to C110 battery junction box",,
EXF,S111,,"Fuel injector harness, near T/O to C125 Fuel injector #3",,
EXF,S112,,"Engine harness, near T/O to C147 constant control relay module (CCRM)",,
EXF,S113,,"Engine harness, near T/O to  C110 battery junction box",,
EXF,S114,,"Fuel injector harness, near T/O to C125 fuel injector #3",,
EXF,S115,,"Dash panel to headlamp harness, near T/O to C108 battery junction box",,
EXF,S116,,"Engine harness, near T/O to C168 electric cooling fan",,
EXF,S117,,"Engine harness, near T/O to C186 air condition pressure (ACP) sensor",,
EXF,S118,,"Dash panel to headlamp harness, near T/O to C116 ABS main relay",,
EXF,S119,,"Dash panel to headlamp harness, near grommet",,
EXF,S120,,"Engine harness, near T/O to C171 brake fluid level switch",,
EXF,S121,,"Dash panel to headlamp harness, near grommet",,
EXF,S122,,"Dash panel to headlamp harness, near T/O to C151 windshield wiper motor",,
EXF,S123,,"Dash panel to headlamp harness, near grommet",,
EXF,S124,,"Engine harness, near T/O to inline C198",,
EXF,S125,,"Dash panel to headlamp harness, near grommet",,
EXF,S126,,"Dash panel to headlamp harness, near grommet",,
EXF,S127,,"Dash panel to headlamp harness, near grommet",,
EXF,S128,,"Dash panel to headlamp harness, near grommet",,
EXF,S129,,"Engine harness, near T/O to inline C101",,
EXF,S130,,"Fuel injector harness, near T/O to C124 fuel injector #2",,
EXF,S131,,"In 12A581 wire assembly, near T/O to inline C101F",,
EXF,S132,,"In harness 12A581 engine, on T/O to inline C100F",,
EXF,S133,,"In harness 12A581 engine, on T/O to inline C100F",,
EXF,S134,,"Fuel charge harness, near T/O to inline C100",,
EXF,S200,,"Dash panel to headlamp harness, near T/O to C207 joint connector #4",,
EXF,S201,,"Dash panel to headlamp harness, near T/O to C207 joint connector #4",,
EXF,S202,,"Dash panel to headlamp harness, near grommet",,
EXF,S203,,"Dash panel to headlamp harness, near grommet",,
EXF,S204,,"Engine harness, in T/O to C212 powertrain control module (PCM)",,
EXF,S205,,"Engine harness, near grommet",,
EXF,S206,,"Dash panel to headlamp harness, near T/O to inline C202",,
EXF,S207,,"Main harness, near T/O to G202",,
EXF,S208,,"Main harness, near T/O to G202",,
EXF,S209,,"Dash panel to headlamp harness, near T/O to inline C233",,
EXF,S210,,"Dash panel to headlamp harness, near T/O to C250 multifunction switch",,
EXF,S211,,"Dash panel to headlamp harness, near T/O to C231 central junction box",,
EXF,S212,,"Dash panel to headlamp harness, near T/O to I/P connector C227",,
EXF,S213,,"Dash panel to headlamp harness, near T/O to C246 multifunction switch",,
EXF,S214,,"Main harness, near T/O to C252 instrument cluster",,
EXF,S215,,"Rear harness, near T/O to C270 central junction box",,
EXF,S216,,"Dash panel to headlamp harness, near T/O to relay box",,
EXF,S217,,Engine harness near T/O to C212 powertrain control module (PCM),,
EXF,S218,,"Dash panel to headlamp harness, near T/O to inline C202",,
EXF,S219,,"Dash panel to headlamp harness, near T/O to C207 joint connector #4",,
EXF,S220,,"Main harness, near T/O to C252 instrument cluster",,
EXF,S221,,"Dash panel to headlamp harness, near T/O to inline C225",,
EXF,S222,,"Dash panel to headlamp harness, near T/O to relay box",,
EXF,S223,,"Main harness, near T/O to C260",,
EXF,S224,,"Engine harness, near T/O to inline C201",,
EXF,S225,,"Engine harness, near T/O to C212 powertrain control module (PCM)",,
EXF,S226,,"Engine harness, near T/O to C212 powertrain control module (PCM)",,
EXF,S227,,"Engine harness, near grommet",,
EXF,S228,,"Engine harness, near T/O to inline C256M",,
EXF,S229,,"Main harness, near T/O to C229M",,
EXF,S230,,"Engine harness, near T/O to inline C256M",,
EXF,S231,,"Engine harness, near T/O to C212 powertrain control module (PCM)",,
EXF,S232,,"Dash panel to headlamp harness, near T/O to C207 joint connector #4",,
EXF,S233,,"Dash panel to headlamp harness, near T/O to C200 central junction box",,
EXF,S234,,"Dash panel to headlamp harness, near T/O to inline C219",,
EXF,S235,,"Dash panel to headlamp harness, near T/O to inline C217",,
EXF,S236,,"Dash panel to headlamp harness, in T/O to inline C241",,
EXF,S237,,"Dash panel to headlamp harness, near T/O to C266 passenger air bag",,
EXF,S238,,"Main harness, in T/O to inline C277",,
EXF,S239,,"Dash panel to headlamp harness, near T/O to  C230 central junction box",,
EXF,S240,,"Main harness, near T/O to C252 instrument cluster",,
EXF,S241,,"Dash panel to headlamp harness, near T/O to inline C201",,
EXF,S242,,"Dash panel to headlamp harness, near T/O to inline C201",,
EXF,S243,,"Main harness, near T/O to C252 instrument cluster",,
EXF,S244,,"Steering column harness, in T/O to steering column near speed control switch assembly",,
EXF,S245,,"Main harness, near T/O to C260 central junction box",,
EXF,S246,,"Dash panel to headlamp harness, near T/O to C207 joint connector #7",,
EXF,S247,,"Engine harness, near T/O to C212 powertrain control module (PCM)",,
EXF,S248,,"Dash panel to headlamp harness, near T/O to C266 passenger air bag",,
EXF,S249,,"Engine harness, near grommet",,
EXF,S250,,Floor harness near T/O to C293 door lock/unlock relay,,
EXF,S251,,"Dash panel to headlamp harness, near T/O to C249 multifunction switch",,
EXF,S252,,"Dash panel to headlamp harness, near T/O to C224 joint connector #3",,
EXF,S253,,"Dash panel to headlamp harness, near T/O to C266 passenger air bag",,
EXF,S254,,"Dash panel to headlamp harness, near T/O to C266 passenger air bag",,
EXF,S255,,"Dash panel to headlamp harness, near T/O to inline C262",,
EXF,S256,,"Dash panel to headlamp harness, near T/O to C266 passenger air bag",,
EXF,S257,,"Dash panel to headlamp harness, near T/O to inline C262",,
EXF,S258,,"Dash panel to headlamp harness, near T/O to C266 passenger air bag",,
EXF,S259,,"Dash panel to headlamp harness, near T/O to C207 joint connector #5",,
EXF,S260,,"Dash panel to headlamp harness, near T/O to C266 passenger air bag",,
EXF,S261,,"Engine harness, near T/O to inline C261",,
EXF,S262,,"Dash panel to headlamp harness, near T/O to inline C262",,
EXF,S263,,"Engine harness, near T/O to inline C256M",,
EXF,S264,,"Engine harness, near T/O to inline C256M",,
EXF,S265,,"Dash panel to headlamp harness, near T/O to inline C219",,
EXF,S266,,"Engine harness, near T/O to C212 powertrain control module (PCM)",,
EXF,S267,,"Dash panel to headlamp harness, near T/O to C266 passenger air bag",,
EXF,S268,,"Dash panel to headlamp harness, near T/O to C270 central junction box",,
EXF,S269,,"Dash panel to headlamp harness, near T/O inline C262",,
EXF,S270,,"Dash panel to headlamp harness, near T/O to C207 joint connector #5",,
EXF,S300,,"Rear harness, near T/O to C313 left rear courtesy lamp switch",,
EXF,S301,,"Rear harness, near T/O to inline C385",,
EXF,S302,,"Floor harness, near T/O to inline C385",,
EXF,S303,,"Rear harness, near T/O to C324 left front door courtesy lamp switch",,
EXF,S304,,"Rear harness, near T/O to inline C385",,
EXF,S305,,"Rear harness, near T/O to inline C385",,
EXF,S306,,"Rear harness, near T/O to C313 left rear courtesy lamp switch",,
EXF,S307,,"Rear harness, near T/O to C270  central junction box",,
EXF,S308,Coupe,"Rear harness, near T/O to C313 left rear courtesy lamp switch",,
EXF,S308,Sedan/Wagon,"Rear harness, near T/O to C270  central junction box",,
EXF,S309,,"Rear harness, near T/O to C437 left rear speaker",,
EXF,S310,,"Rear harness, near T/O to C270 central junction box",,
EXF,S311,,"Floor harness, near T/O to C293 door lock/unlock relay",,
EXF,S312,,"Floor harness, near T/O to C293 door lock/unlock relay",,
EXF,S313,,"Floor harness, near T/O to inline C302",,
EXF,S314,,"Rear harness, near T/O to C270 central junction box",,
EXF,S315,,"Rear harness, near T/O to C315 fuel pump module",,
EXF,S316,,"Floor harness, near T/O to inline C385",,
EXF,S319,,"Rear harness, near T/O to C375 parking brake switch",,
EXF,S320,,"Rear harness, near T/O to C316 driver safety belt switch",,
EXF,S321,,Near T/O to C384 shift lock actuator,,
EXF,S401,,"Rear harness, near T/O to C420 left rear side lamp",,
EXF,S402,,"Rear harness, near T/O to C437 left rear speaker",,
EXF,S403,,"Rear harness, near T/O to C315 fuel pump module",,
EXF,S404,,"Rear harness, near T/O to C315 fuel pump module",,
EXF,S405,,"Rear liftgate harness, near T/O to C441 high mounted stoplamp",,
EXF,S406,,"Rear liftgate harness, near T/O to C441 high mounted stoplamp",,
EXF,S409,,"Rear harness, near T/O to inline C400",,
EXF,S407,,"Rear harness, near T/O to C405 remote anti-theft personality (RAP) module",,
EXF,S408,,"Rear harness, near T/O to C405 remote anti-theft personality (RAP) module",,
EXF,S411,,"Rear lamp assembly harness, near T/O to C430 right reversing lamp",,
EXF,S412,,"Rear lamp assembly harness, near T/O to C430 right reversing lamp",,
EXF,S413,,"Rear harness, near T/O to C437 left rear speaker",,
EXF,S414,,"Rear lamp assembly harness, near T/O to C430 right reversing lamp",,
EXF,S415,,"Rear lamp assembly harness, near T/O to C431 left reversing lamp",,
EXF,S416,,"Rear license lamp harness, near T/O to C434 left license lamp",,
EXF,S417,,"Rear harness, near T/O to C404 remote anti-theft personality (RAP) module",,
EXF,S418,,"Rear harness, near T/O to C404 remote anti-theft personality (RAP) module",,
EXF,S419,,"Rear harness, near T/O to C406 remote keyless entry (RKE) diode",,
EXF,S420,,"Rear harness, near T/O to inline C417",,
EXF,S421,,"Rear harness, near T/O to C430 right reversing lamp",,
EXF,S422,,"Rear harness, near T/O to C405 remote anti-theft personality (RAP) module",,
EXF,S423,,"Rear harness, near T/O to C407 fuel pump driver module",,
EXF,S424,,"Rear harness, near T/O to C407 fuel pump driver module",,
EXF,S425,,"Rear harness, near T/O to G402",,
EXF,S426,,"Rear harness, near T/O to C404 remote anti-theft personality (RAP) module",,
EXF,S427,,"Rear lamp assembly harness, 75mm from T/O to C432 right reversing lamp",,
EXF,S430,,"Rear harness, near T/O to C445 right rear anti-lock brake sensor",,
EXF,S500,Coupe,"Driver door harness, near T/O to inline C511",,
EXF,S500,Sedan/Wagon,"Driver door harness, near T/O to inline C505",,
EXF,S507,Coupe,"Driver door harness, near T/O to inline C511",,
EXF,S507,Sedan/Wagon,"Driver door harness, near T/O to inline C505",,
EXF,S508,,"Driver door harness, near T/O to inline C511",,
