EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EXJ,4 Wheel Anti-Lock Brake System (4WABS) Module,4.6L,2C018,Left side of engine compartment,C146,2,F9,,,42,3,,
EXJ,4 Wheel Anti-Lock Brake System (4WABS) Module,4.6L,2C018,Left side of engine compartment,C147,2,F9,,,42,3,,
EXJ,4 Wheel Anti-Lock Brake System (4WABS) Module,5.4L,2C018,Left side of engine compartment,C146,3,F9,,,42,3,,
EXJ,4 Wheel Anti-Lock Brake System (4WABS) Module,5.4L,2C018,Left side of engine compartment,C147,3,F9,,,42,3,,
EXJ,4 Wheel Drive Mode Switch,,NA,Center of I/P,C230,8,A6,,,34,5,,
EXJ,4R100 Transmission,"4R100 Transmission, 4x2",7000,Left side of transmission,C193,6,D3,,,30,5,,
EXJ,4R100 Transmission,"4R100 Transmission, 4x4",7000,Left side of transmission,C193,6,D7,,,30,5,,
EXJ,4R70W Transmission,"4R70W Transmission, 4x2",7000,Mounted under center of vehicle,C183,6,C4,,,29,5,,
EXJ,4R70W Transmission,"4R70W Transmission, 4x4",7000,Mounted under center of vehicle,C183,6,C9,,,29,5,,
EXJ,4WABS Relay,,14N089,In battery junction box,,,,,,,,,
EXJ,A/C Clutch Cycling Pressure Switch,4.6L,19D784,Right rear corner of engine compartment,C139,1,B1,,,,,,
EXJ,A/C Clutch Cycling Pressure Switch,5.4L,19D784,Right rear corner of engine compartment,C139,5,B1,,,,,,
EXJ,A/C Clutch Diode,,14A604,In battery junction box,,,,,,,,,
EXJ,A/C Compressor Clutch Solenoid,4.6L,19E561,Left side of engine compartment,C106,1,F3,,,,,,
EXJ,A/C Compressor Clutch Solenoid,5.4L,19E561,Left side of engine compartment,C106,5,F2,,,,,,
EXJ,A/C Pressure Cutoff Switch,4.6L,190594,Right side of engine compartment,C170,1,F2,,,,,,
EXJ,A/C Pressure Cutoff Switch,5.4L,190594,Right side of engine compartment,C170,3,D1,,,,,,
EXJ,ACC Delay Relay,,NA,In central junction box,,,,,,11,5,,
EXJ,Adjustable Pedal Motor,,NA,Behind left side of I/P,C2000,9,F3,,,,,,
EXJ,Adjustable Pedal Motor,,NA,Behind left side of I/P,C2001,9,F3,,,,,,
EXJ,Adjustable Pedal Switch,,NA,Behind left side of I/P,C290,9,D1,,,127,4,,
EXJ,Air Bag Sliding Contact,,NA,Base of steering column,C233,9,A3,,,,,,
EXJ,Air Bag Sliding Contact,,NA,Base of steering column,C234,9,A3,,,31,4,,
EXJ,Air Suspension Compressor Motor and Vent Solenoid Assembly,,NA,Right front radiator support,C194,4,D1,,,,,,
EXJ,Air Suspension Compressor Relay,,NA,Near right headlamp,C1000,4,E1,,,,,,
EXJ,Air Suspension Service Switch,,NA,Behind right side of I/P,C291,8,D10,,,,,,
EXJ,Air Suspension/EVO Steering Module,,NA,Behind center of I/P,C295,7,A6,,,41,5,,
EXJ,Air Suspension/EVO Steering Module,,NA,Behind center of I/P,C296,7,A6,,,41,5,,
EXJ,All Lock Relay,,NA,In lock relay block,,,,,,13,25,,
EXJ,All Unlock Relay,,NA,In lock relay block,,,,,,13,25,,
EXJ,Ambient Temperature Sensor,4.6L,NA,Left front side of engine compartment,C196,2,F6,,,,,,
EXJ,Ambient Temperature Sensor,5.4L,NA,Left front side of engine compartment,C196,5,F7,,,,,,
EXJ,Ashtray Illumination,,15052,Top side of ashtray bracket,C212,7,C10,,,,,,
EXJ,Audio Shield,,NA,Left rear of cab,,,,,,,,,
EXJ,Audio/Climate Control Switch Assembly,,NA,In steering column,C292,,,,,,,,
EXJ,Autolamp Module,,14A597,Behind center of I/P,C216,7,A7,,,87,5,,
EXJ,Auxiliary A/C Blend Actuator,W/EATC,NA,Behind left rear side panel,C435,11,F6,,,55,13,,
EXJ,Auxiliary A/C Blend Actuator,W/O EATC,NA,Behind left rear side panel,C435,11,F6,,,54,10,,
EXJ,Auxiliary A/C Blower Motor,,NA,Rear floor panel,C433,12,F6,,,54,13,,
EXJ,Auxiliary A/C Blower Motor Resistor,,NA,Behind left rear side panel,C437,12,F7,,,54,15,,
EXJ,Auxiliary A/C Control Module,W/EATC,NA,Behind left rear side panel,C436,11,F7,,,55,14,,
EXJ,Auxiliary A/C Control Module,W/O EATC,NA,Behind left rear side panel,C436,11,F7,,,54,14,,
EXJ,Auxiliary A/C Mode Actuator,W/EATC,NA,Behind left rear side panel,C434,11,F6,,,55,14,,
EXJ,Auxiliary A/C Mode Actuator,W/O EATC,NA,Behind left rear side panel,C434,11,F6,,,54,14,,
EXJ,Auxiliary A/C Relay,,NA,In RPO relay,,,,,,13,25,,
EXJ,Auxiliary Power Socket,,NA,Behind center of I/P,C223,7,F8,,,,,,
EXJ,Battery,4.6L,NA,Right side of engine compartment,C1021,2,B1,,,,,,
EXJ,Battery,5.4L,NA,Right side of engine compartment,C1021,3,B1,,,,,,
EXJ,Battery,4.6L,NA,Right side of engine compartment,C1022,2,B1,,,,,,
EXJ,Battery,5.4L,NA,Right side of engine compartment,C1022,3,B1,,,,,,
EXJ,Battery Junction Box,4.6L,NA,Left side of engine compartment,C175,2,B10,,,,,,
EXJ,Battery Junction Box,5.4L,NA,Left side of engine compartment,C175,4,C10,,,,,,
EXJ,Battery Junction Relay Box,4.6L,NA,Left side of engine compartment,,1,B10,,,13,25,,
EXJ,Battery Junction Relay Box,5.4L,NA,Left side of engine compartment,,4,B10,,,13,25,,
EXJ,Battery Saver Relay,,NA,In central junction box,,,,,,11,5,,
EXJ,Blend Door Actuator,W/O EATC,19E616,Behind center of I/P,C229,9,F5,,,54,9,,
EXJ,Blend Door Actuator,W/EATC,19E616,Behind center of I/P,C229,9,F5,,,55,11,,
EXJ,Blower Motor,,14N089,Right side of engine compartment,C190,8,C10,,,54,9,,
EXJ,Blower Motor Resistor,,19A706,Near blower motor,C191,,,,,54,9,,
EXJ,Blower Motor Speed Controller,,NA,Behind right side of I/P,C282,8,B10,,,55,11,,
EXJ,Blower Motor Speed Controller,,NA,Behind right side of I/P,C205,8,B10,,,,,,
EXJ,Blower Relay,,NA,In blower/flasher relay,,,,,,13,25,,
EXJ,Blower/Flasher Relay Block,,NA,Behind center of I/P,,8,F6,,,,,,
EXJ,Brake Fluid Level Indicator Switch,4.6L,2L140,Mounted on master cylinder,C162,2,A9,,,,,,
EXJ,Brake Fluid Level Indicator Switch,5.4L,2L140,Mounted on master cylinder,C162,4,A9,,,,,,
EXJ,Brake Pedal Position (BPP) Switch,,13480,Behind left side of I/P,C252,7,F3,,,90,6,,
EXJ,Brake Pressure Switch,,NA,Left rear corner of engine compartment,C151,2,A8,,,,,,
EXJ,Camshaft Position (CMP) Sensor,4.6L,6B288,Front of engine,C100,1,F8,,,,,,
EXJ,Camshaft Position (CMP) Sensor,5.4L,6B288,Front of engine,C100,4,F8,,,,,,
EXJ,Camshaft Position (CMP) Sensor Shield,,NA,"In engine compartment, near CMP sensor",,,,,,,,,
EXJ,Canister Vent Solenoid,,NA,"Rear of body, near fuel tank",C413,13,F6,,,,,,
EXJ,CD Changer,,186830,Left rear of cab,C382,8,F9,,,130,12,,
EXJ,Cellular Phone,,NA,Between seats in center console,C339,9,F9,,,135,2,,
EXJ,Cellular Phone Microphone,,NA,Behind center of I/P,C2010,8,B1,,,,,,
EXJ,Cellular Phone Support Electronics,,NA,Under center console,C379,8,E10,,,135,2,,
EXJ,Central Junction Box,,NA,Under left side of I/P,C242,8,F3,,,13,27,,
EXJ,Central Junction Box,,NA,Under left side of I/P,C267,,,,,,,,
EXJ,Central Junction Box,,NA,Under left side of I/P,C243,8,F3,,,13,26,,
EXJ,Cigar Lighter,,15055,Behind center of I/P,C226,7,F7,,,,,,
EXJ,Cigar Lighter,,15055,Behind center of I/P,C227,7,F7,,,,,,
EXJ,Clock,,NA,Center of I/P,C283,7,A5,,,44,5,,
EXJ,Coil on Plug #1,,NA,Near fuel injector #1,C1011,4,A5,,,,,,
EXJ,Coil on Plug #2,,NA,Near fuel injector #2,C1012,4,A5,,,,,,
EXJ,Coil on Plug #3,,NA,Near fuel injector #3,C1013,4,A5,,,,,,
EXJ,Coil on Plug #4,,NA,Near fuel injector #4,C1014,4,A5,,,,,,
EXJ,Coil on Plug #5,,NA,Near fuel injector #5,C1015,4,A5,,,,,,
EXJ,Coil on Plug #6,,NA,Near fuel injector #6,C1016,4,A5,,,,,,
EXJ,Coil on Plug #7,,NA,Near fuel injector #7,C1017,4,A5,,,,,,
