EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EXJ,010,001,Battery,4.6L,,
EXJ,010,001,Battery,5.4L,,
EXJ,010,001,Mass Air Flow (MAF) Sensor,4.6L,,
EXJ,010,001,Mass Air Flow (MAF) Sensor,5.4L,,
EXJ,010,001,Data Link Connector (DLC),,,
EXJ,010,001,Powertrain Control Module (PCM),4.6L,,
EXJ,010,001,Powertrain Control Module (PCM),5.4L,,
EXJ,010,001,Camshaft Position (CMP) Sensor Shield,,,
EXJ,010,001,Camshaft Position (CMP) Sensor Shield,,,
EXJ,010,001,Crankshaft Position (CKP) Sensor Shield,,,
EXJ,010,002,Digital Transmission Range (DTR) Sensor,"4R70W Transmission, 4x2",,
EXJ,010,002,Digital Transmission Range (DTR) Sensor,"4R70W Transmission, 4x4",,
EXJ,010,002,Digital Transmission Range (DTR) Sensor,"4R100 Transmission, 4x2",,
EXJ,010,002,Digital Transmission Range (DTR) Sensor,"4R100 Transmission, 4x4",,
EXJ,010,002,Engine Compartment Lamp,4.6L,,
EXJ,010,002,Engine Compartment Lamp,5.4L,,
EXJ,010,002,Speed Control Servo,4.6L,,
EXJ,010,002,Speed Control Servo,5.4L,,
EXJ,010,002,Windshield Wiper Motor,4.6L,,
EXJ,010,002,Windshield Wiper Motor,5.4L,,
EXJ,010,002,A/C Compressor Clutch Solenoid,4.6L,,
EXJ,010,002,A/C Compressor Clutch Solenoid,5.4L,,
EXJ,010,002,Function Selector Switch Assembly,,,
EXJ,010,002,Blower Motor Resistor,,,
EXJ,010,002,Rear Wiper Down Relay,,,
EXJ,010,002,A/C Clutch Diode,,,
EXJ,010,002,Battery Junction Box,4.6L,,
EXJ,010,002,Battery Junction Box,5.4L,,
EXJ,010,002,Rear Wiper Up Relay,,,
EXJ,010,002,Battery Junction Relay Box,4.6L,,
EXJ,010,002,Battery Junction Relay Box,5.4L,,
EXJ,010,002,Blower Motor Speed Controller,,,
EXJ,010,003,Blower/Flasher Relay Block,,,
EXJ,010,003,Flasher Relay,,,
EXJ,010,003,Blower Relay,,,
EXJ,010,003,Blend Door Actuator,W/O EATC,,
EXJ,010,003,Blend Door Actuator,W/EATC,,
EXJ,010,003,Data Link Connector (DLC),,,
EXJ,010,003,Air Bag Sliding Contact,,,
EXJ,010,003,4 Wheel Drive Mode Switch,,,
EXJ,010,003,Transfer Case Shift Relays,,,
EXJ,010,003,Trailer Tow,Heavy Duty,,
EXJ,010,003,Torque On Demand (TOD) Relay,,,
EXJ,010,003,Radio,,,
EXJ,010,004,Ashtray Illumination,,,
EXJ,010,004,Function Selector Switch Assembly,,,
EXJ,010,004,Glove Compartment Lamp,,,
EXJ,010,004,Auxiliary A/C Relay,,,
EXJ,010,004,Clock,,,
EXJ,010,004,Radio,,,
EXJ,010,004,Instrument Cluster,,,
EXJ,010,004,Main Light Switch,,,
EXJ,010,004,Shift Lock Actuator,,,
EXJ,010,004,Electronic Variable Orifice (EVO) Module,,,
EXJ,010,004,Daytime Running Lamps (DRL) Relay #1,,,
