EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EXJ,C100,4.6L,Top front of engine,1,F8,,,,,BU,2,,,
EXJ,C100,5.4L,Top of engine,4,F8,,,,,BU,2,,,
EXJ,C101,4.6L,Left side of intake manifold,1,F9,,,,,BK,1,,,
EXJ,C101,5.4L,Left side of intake manifold,4,F8,,,,,BK,1,,,
EXJ,C102,4.6L,Left side of intake manifold,1,F4,,,,,BK,2,,,
EXJ,C102,5.4L,Left side of intake manifold,5,F3,,,,,BK,2,,,
EXJ,C103,4.6L,Right side of engine,2,A7,,,,,BK,2,,,
EXJ,C103,5.4L,Right side of engine,3,A3,,,,,BK,2,,,
EXJ,C106,4.6L,Left side of engine compartment,1,F3,,,,,BK,2,,,
EXJ,C106,5.4L,Left side of engine compartment,5,F2,,,,,BK,2,,,
EXJ,C107,4.6L,On intake manifold,1,C10,,,,,BK,2,,,
EXJ,C107,5.4L,On intake manifold,4,F5,,,,,BK,2,,,
EXJ,C108,4.6L,On exhaust pipe of engine,1,A10,,,,,GN,4,,,
EXJ,C108,5.4L,On exhaust pipe of engine,4,A7,,,,,GN,4,,,
EXJ,C109,4.6L,On exhaust pipe of engine,1,A2,,,,,BU,4,,,
EXJ,C109,5.4L,On exhaust pipe of engine,3,A4,,,,,BU,4,,,
EXJ,C110,4.6L,Left side of intake manifold,1,A4,,,,,BK,2,,,
EXJ,C110,5.4L,Left side of intake manifold,4,F5,,,,,BK,2,,,
EXJ,C111,,Left front of engine compartment,5,E10,,,,,BK,4,,,
EXJ,C112,,Right front corner of vehicle,5,D1,,,,,,4,,,
EXJ,C113,,Left front corner of vehicle,4,E10,,,,,,2,,,
EXJ,C114,4.6L,Left front of engine compartment,1,D10,,,,,GY,1,,,
EXJ,C114,5.4L,Left front of engine compartment,4,F7,,,,,GY,1,,,
EXJ,C115,4.6L,Top of engine,1,D1,,,,,GY,1,,,
