EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,SORT,FREQUENCY
EXJ,G100,4.6L,Near battery,1,D1,,
EXJ,G100,5.4L,Near battery,4,C1,,
EXJ,G101,4.6L,"Rear of engine compartment, right side of cowl panel",1,A1,,
EXJ,G101,5.4L,"Rear of engine compartment, right side of cowl panel",4,A1,,
EXJ,G102,4.6L,Rear of right fender apron,2,A1,,
EXJ,G102,5.4L,Rear of right fender apron,3,B1,,
EXJ,G103,4.6L,Right front radiator support,2,E1,,
EXJ,G103,5.4L,Right front radiator support,3,D1,,
EXJ,G104,4.6L,Left front radiator support,2,E10,,
EXJ,G104,5.4L,Left front radiator support,5,C10,,
EXJ,G105,4.6L,Near battery,2,C1,,
EXJ,G105,5.4L,Near battery,5,C1,,
EXJ,G200,,Lower right cowl panel inner,7,C10,,
EXJ,G201,,Lower left cowl panel inner,8,E1,,
EXJ,G202,,Upper left cowl panel inner,7,D1,,
EXJ,G400,,Near in-line C411F,13,F8,,
EXJ,G401,,Left rear wheel well,13,F6,,
EXJ,G402,,Left rear wheel well,13,F5,,
EXJ,G403,,Left rear wheel well,13,F5,,
EXJ,G900,,Near roof opening panel motor assembly,13,A7,,
