EVTM,CELL,LOCPAGE,ZONE,NAME,QUALIFIER,TYPE,CONN_NAME,FREQUENCY
EXJ,151,001,A1,G101,4.6L,GRD,,
EXJ,151,001,A1,C174,4.6L,CON,,
EXJ,151,001,A1,Powertrain Control Module (PCM),4.6L,COM,,
EXJ,151,001,A10,C108,4.6L,CON,,
EXJ,151,001,A10,Heated Oxygen Sensor (HO2S) #21,4.6L,COM,,
EXJ,151,001,A2,C109,4.6L,CON,,
EXJ,151,001,A2,Heated Oxygen Sensor (HO2S) #11,4.6L,COM,,
EXJ,151,001,A3,C123,4.6L,CON,,
EXJ,151,001,A3,Throttle Position (TP) Sensor,4.6L,COM,,
EXJ,151,001,A4,C110,4.6L,CON,,
EXJ,151,001,A4,Idle Air Control (IAC) Valve,4.6L,COM,,
EXJ,151,001,A5,C121,4.6L,CON,,
EXJ,151,001,A5,EGR Vacuum Regulator (EVR) Solenoid,4.6L,COM,,
EXJ,151,001,A6,C122,4.6L,CON,,
EXJ,151,001,A6,Differential Pressure Feedback EGR (DPFE) Sensor,4.6L,COM,,
EXJ,151,001,A7,C164,4.6L,CON,,
EXJ,151,001,A7,EVAP Canister Purge Valve,4.6L,COM,,
EXJ,151,001,A8,C161,4.6L,CON,,
EXJ,151,001,A8,Engine Compartment Lamp,4.6L,COM,,
EXJ,151,001,B1,A/C Clutch Cycling Pressure Switch,4.6L,COM,,
EXJ,151,001,B1,C139,4.6L,CON,,
EXJ,151,001,B10,Battery Junction Relay Box,4.6L,COM,,
EXJ,151,001,B10,Rear Wiper Down Relay,,COM,,
EXJ,151,001,B10,Rear Wiper Up Relay,,COM,,
EXJ,151,001,B10,C129,4.6L,CON,,
EXJ,151,001,B10,C130,4.6L,CON,,
EXJ,151,001,B10,C131,4.6L,CON,,
EXJ,151,001,B10,C132,4.6L,CON,,
EXJ,151,001,B10,Fuel Injector #5,4.6L,COM,,
EXJ,151,001,B10,Fuel Injector #6,4.6L,COM,,
EXJ,151,001,B10,Fuel Injector #7,4.6L,COM,,
EXJ,151,001,B10,Fuel Injector #8,4.6L,COM,,
EXJ,151,001,C1,C125,4.6L,CON,,
EXJ,151,001,C1,C126,4.6L,CON,,
EXJ,151,001,C1,C127,4.6L,CON,,
EXJ,151,001,C1,C128,4.6L,CON,,
EXJ,151,001,C1,Fuel Injector #1,4.6L,COM,,
EXJ,151,001,C1,Fuel Injector #2,4.6L,COM,,
EXJ,151,001,C1,Fuel Injector #3,4.6L,COM,,
EXJ,151,001,C1,Fuel Injector #4,4.6L,COM,,
EXJ,151,001,C10,C107,4.6L,CON,,
EXJ,151,001,C10,Intake Air Temperature (IAT) Sensor,4.6L,COM,,
EXJ,151,001,D1,G100,4.6L,GRD,,
EXJ,151,001,D1,C115,4.6L,CON,,
EXJ,151,001,D1,C135,4.6L,CON,,
EXJ,151,001,D1,Radio Noise Capacitor #1,4.6L,COM,,
EXJ,151,001,D1,Right Front Park/Turn Lamp,4.6L,COM,,
EXJ,151,001,D10,C124,4.6L,CON,,
EXJ,151,001,D10,C114,4.6L,CON,,
EXJ,151,001,D10,Radio Noise Capacitor #2,4.6L,COM,,
EXJ,151,001,E1,C116,,CON,,
EXJ,151,001,E1,Ignition Coils 1 and 2,,COM,,
EXJ,151,001,E10,C117,,CON,,
EXJ,151,001,E10,Ignition Coils 3 and 4,,COM,,
EXJ,151,001,E10,C1001,4.6L,CON,,
EXJ,151,001,E10,Electronic Variable Orifice (EVO) Actuator,4.6L,COM,,
EXJ,151,001,F2,A/C Pressure Cutoff Switch,4.6L,COM,,
EXJ,151,001,F2,C170,4.6L,CON,,
EXJ,151,001,F3,A/C Compressor Clutch Solenoid,4.6L,COM,,
EXJ,151,001,F3,C106,4.6L,CON,,
EXJ,151,001,F4,C102,4.6L,CON,,
EXJ,151,001,F4,Crankshaft Position (CKP) Sensor,4.6L,COM,,
EXJ,151,001,F5,C176,4.6L,CON,,
