EVTM,CELL,PAGE,NAME,QUALIFIER,REFCELL,REFPAGE,CARROT,PAGEID1,PAGEID2,ITEMID_,CELLID2
EXJ,010,001,Camshaft Position (CMP) Sensor Shield,,024,005,,,,,
EXJ,010,001,Camshaft Position (CMP) Sensor Shield,,025,005,,,,,
EXJ,010,001,Crankshaft Position (CKP) Sensor Shield,,021,001,,,,,
EXJ,010,001,Data Link Connector (DLC),,014,001,,,,,
EXJ,010,001,Mass Air Flow (MAF) Sensor,4.6L,024,002,,,,,
EXJ,010,001,Mass Air Flow (MAF) Sensor,5.4L,025,002,,,,,
EXJ,010,001,Powertrain Control Module (PCM),4.6L,024,001,,,,,
EXJ,010,001,Powertrain Control Module (PCM),5.4L,025,001,,,,,
EXJ,010,001,Powertrain Control Module (PCM),4.6L,024,005,,,,,
EXJ,010,001,Powertrain Control Module (PCM),5.4L,025,005,,,,,
EXJ,010,002,A/C Clutch Diode,,054,004,,,,,
EXJ,010,002,A/C Clutch Diode,,055,003,,,,,
EXJ,010,002,A/C Compressor Clutch Solenoid,5.4L,054,004,,,,,
EXJ,010,002,A/C Compressor Clutch Solenoid,4.6L,055,003,,,,,
EXJ,010,002,A/C Compressor Clutch Solenoid,4.6L,054,004,,,,,
EXJ,010,002,A/C Compressor Clutch Solenoid,5.4L,055,003,,,,,
EXJ,010,002,Blower Motor Resistor,,054,001,,,,,
EXJ,010,002,Blower Motor Speed Controller,,055,001,,,,,
EXJ,010,002,Digital Transmission Range (DTR) Sensor,"4R70W Transmission, 4x2",034,001,,,,,
EXJ,010,002,Digital Transmission Range (DTR) Sensor,"4R70W Transmission, 4x4",034,001,,,,,
EXJ,010,002,Digital Transmission Range (DTR) Sensor,"4R100 Transmission, 4x2",034,001,,,,,
EXJ,010,002,Digital Transmission Range (DTR) Sensor,"4R100 Transmission, 4x4",034,001,,,,,
EXJ,010,002,Engine Compartment Lamp,4.6L,089,001,,,,,
EXJ,010,002,Engine Compartment Lamp,5.4L,089,001,,,,,
EXJ,010,002,Function Selector Switch Assembly,,054,001,,,,,
EXJ,010,002,Rear Wiper Down Relay,,082,001,,,,,
EXJ,010,002,S201,,010,003,A,,,,
EXJ,010,002,Speed Control Servo,4.6L,031,002,,,,,
EXJ,010,002,Speed Control Servo,5.4L,031,002,,,,,
EXJ,010,002,Windshield Wiper Motor,4.6L,081,001,,,,,
EXJ,010,002,Windshield Wiper Motor,5.4L,081,001,,,,,
EXJ,010,003,4 Wheel Drive Mode Switch,,034,001,,,,,
EXJ,010,003,Air Bag Sliding Contact,,031,001,,,,,
EXJ,010,003,Blend Door Actuator,W/O EATC,054,002,,,,,
EXJ,010,003,Blower Relay,,054,001,,,,,
EXJ,010,003,Data Link Connector (DLC),,014,001,,,,,
EXJ,010,003,Flasher Relay,,090,001,,,,,
EXJ,010,003,Radio,,130,005,,,,,
EXJ,010,003,S200,,010,002,A,,,,
EXJ,010,003,S203,,010,004,B,,,,
EXJ,010,003,S204,,010,004,C,,,,
EXJ,010,003,Torque On Demand (TOD) Relay,,034,002,,,,,
EXJ,010,003,Trailer Tow,Heavy Duty,095,003,,,,,
EXJ,010,003,Transfer Case Shift Relays,,034,002,,,,,
EXJ,010,004,Adjustable Pedal Switch,,127,001,,,,,
EXJ,010,004,Air Suspension/EVO Steering Module,,041,003,,,,,
EXJ,010,004,Ashtray Illumination,,071,001,,,,,
EXJ,010,004,Daytime Running Lamps (DRL) Relay #1,,097,002,,,,,
EXJ,010,004,Daytime Running Lamps (DRL) Relay #2,,097,002,,,,,
EXJ,010,004,Electronic Automatic Temperature Control (EATC) Module,,055,001,,,,,
EXJ,010,004,Electronic Variable Orifice (EVO) Module,,043,002,,,,,
EXJ,010,004,Function Selector Switch Assembly,,054,001,,,,,
EXJ,010,004,Glove Compartment Lamp,,089,001,,,,,
EXJ,010,004,Instrument Cluster,,062,004,,,,,
EXJ,010,004,Main Light Switch,,013,021,,,,,
EXJ,010,004,Clock,,044,004,,,,,
EXJ,010,004,Radio,,130,001,,,,,
EXJ,010,004,Radio,,130,005,,,,,
EXJ,010,004,Rear Window Defrost Switch,,056,001,,,,,
EXJ,010,004,RPO Relay Block #2,,054,003,,,,,
EXJ,010,004,S201,,010,003,B,,,,
EXJ,010,004,S201,,010,003,C,,,,
EXJ,010,004,Shift Lock Actuator,,037,001,,,,,
EXJ,010,005,Air Suspension Compressor Motor And Vent Solenoid Assembly,,041,001,,,,,
EXJ,010,005,Front Air Fill Solenoid,,041,003,,,,,
EXJ,010,005,Front Gate Solenoid,,041,003,,,,,
EXJ,010,005,Front Washer Pump Relay,,081,002,,,,,
EXJ,010,005,Left Fog Lamp,4.6L,086,002,,,,,
EXJ,010,005,Left Fog Lamp,5.4L,086,002,,,,,
EXJ,010,005,Left Front Park/Turn Lamp,4.6L,090,002,,,,,
EXJ,010,005,Left Front Park/Turn Lamp,5.4L,090,002,,,,,
EXJ,010,005,Left Front Park/Turn Lamp,4.6L,092,001,,,,,
EXJ,010,005,Left Front Park/Turn Lamp,5.4L,092,001,,,,,
EXJ,010,005,Rear Washer Pump Relay,,081,002,,,,,
EXJ,010,005,Right Fog Lamp,4.6L,086,002,,,,,
EXJ,010,005,Right Fog Lamp,5.4L,086,002,,,,,
EXJ,010,005,Right Front Park/Turn Lamp,4.6L,090,002,,,,,
EXJ,010,005,Right Front Park/Turn Lamp,5.4L,090,002,,,,,
EXJ,010,005,Right Front Park/Turn Lamp,4.6L,092,001,,,,,
EXJ,010,005,Right Front Park/Turn Lamp,5.4L,092,001,,,,,
EXJ,010,005,Right Headlamp,4.6L,085,002,,,,,
EXJ,010,005,Right Headlamp,5.4L,085,002,,,,,
EXJ,010,005,S103,,010,018,L,,,,
EXJ,010,005,S106,,010,006,H,,,,
EXJ,010,005,Trailer Tow Battery Charge Relay,,095,002,,,,,
EXJ,010,005,Trailer Tow Running Lamp Relay,,095,003,,,,,
EXJ,010,005,Trailer Tow Reversing Lamp Relay,,095,003,,,,,
EXJ,010,005,Washer Fluid Level Switch,4.6L,081,003,,,,,
EXJ,010,005,Washer Fluid Level Switch,5.4L,081,003,,,,,
EXJ,010,006,4 Wheel Anti-Lock Brake System (4WABS) Module,4.6L,042,002,,,,,
EXJ,010,006,4 Wheel Anti-Lock Brake System (4WABS) Module,5.4L,042,002,,,,,
EXJ,010,006,Brake Fluid Level Indicator Switch,4.6L,042,001,,,,,
EXJ,010,006,Brake Fluid Level Indicator Switch,5.4L,042,001,,,,,
EXJ,010,006,C148,4.6L,010,017,G,,,,
EXJ,010,006,C148,5.4L,010,017,G,,,,
EXJ,010,006,C417,,010,017,E,,,,
