EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
EXJ,S100,,"Engine control sensor harness, in T/O to C174 powertrain control module",,
EXJ,S101,,"Engine control sensor harness, in T/O to C174 powertrain control module",,
EXJ,S102,,"Engine control sensor harness, near T/O to C167 starter motor relay",,
EXJ,S103,,"Engine control sensor harness, near T/O to in-line G103",,
EXJ,S104,,"Engine control sensor harness, near T/O to ground G103",,
EXJ,S106,,"Engine control sensor harness, in T/O to ground G104",,
EXJ,S108,,"Engine control sensor harness, in T/O to battery junction box",,
EXJ,S109,,"Engine control sensor harness, near T/O to in-line C148M",,
EXJ,S112,,"Engine control sensor harness, near T/O to in-line C159M",,
EXJ,S113,,"Engine control sensor harness, near T/O to in-line C159M",,
EXJ,S114,,"Engine control sensor harness, near T/O to ground G104",,
EXJ,S115,,"Engine control sensor harness, near T/O to C151 brake pressure switch",,
EXJ,S116,,"Engine control sensor harness, near T/O to in-line C160M",,
EXJ,S117,,"Fuel charge harness, near T/O to in-line C120F",,
EXJ,S118,,"Fuel charge harness, near T/O to C115 radio noise capacitor #1",,
EXJ,S119,,"Fuel charge harness, near T/O to C114 radio noise capacitor #2",,
EXJ,S125,,"Heater blower motor feed harness, in T/O to C191 blower motor resistor",,
EXJ,S127,,"Engine control sensor harness, near T/O to C165 windshield wiper motor",,
EXJ,S128,,"Engine control sensor harness, near T/O to C174 powertrain control module (PCM)",,
EXJ,S129,,"Fuel charge harness, in T/O to C1013 coil on plug #3",,
EXJ,S130,,"Engine control sensor harness, near T/O to in-line C158M",,
EXJ,S131,,"Fuel charge harness, in T/O to C1017 coil on plug #7",,
EXJ,S134,,"Engine control sensor harness, near T/O to in-line C158M",,
EXJ,S135,,"Fuel charge harness, near T/O to C108 heated oxygen sensor # 21",,
EXJ,S136,,"Fuel charge harness, near T/O to C103 knock sensor",,
EXJ,S137,,"Engine control sensor harness, near T/O to C167  starter motor relay",,
EXJ,S138,,"Engine control sensor harness, near T/O to in-line C172M",,
EXJ,S139,,"Engine control sensor harness, near T/O to in-line C158M",,
EXJ,S140,,"Reversing lamp switch to rear lamp feed harness, in T/O to in-line C172F",,
EXJ,S141,,"Reversing lamp switch to rear lamp feed harness, in T/O to in-line C172F",,
EXJ,S143,,"Engine control sensor harness, near T/O to C165 windshield wiper motor",,
EXJ,S145,,"Engine control sensor harness, in T/O to C137 low pitch horn",,
EXJ,S146,,"Engine control sensor harness, in T/O to in-line C159M",,
EXJ,S147,,"Engine control sensor harness, near T/O to C144 left fog lamp",,
EXJ,S150,,"Engine control sensor harness, near T/O to C160M",,
EXJ,S152,,"Engine control sensor harness, near T/O to in-line C159M",,
EXJ,S155,,"Engine control sensor harness, in T/O C194 compressor motor and vent solenoid assembly",,
EXJ,S156,,"Engine control sensor harness, near T/O to C146 4WABS module",,
EXJ,S157,,"Engine control sensor harness, near T/O to G104",,
EXJ,S160,,"Engine control sensor harness, near T/O to in-line C159M",,
EXJ,S161,,"Fuel charge harness, in T/O to C127 fuel injector #3",,
EXJ,S162,,"Fuel charge harness, in T/O to C131 fuel injector #7",,
EXJ,S164,,"Engine control sensor harness, near T/O to in-line C159M",,
EXJ,S177,,"Air spring suspension harness, in T/O to C197",,
EXJ,S178,,"Reversing lamp switch to rear lamp feed harness, in T/O to in-line C172",,
EXJ,S198,,"Fuel charge harness, near T/O to C103 knock sensor",,
EXJ,S199,,"Fuel charge harness, in T/O to in-line C120F",,
EXJ,S200,,"Main harness, near T/O to C211 glove compartment lamp",,
EXJ,S201,,"Main harness, near T/O to C295 EVO module",,
EXJ,S202,,"Main harness, in T/O to blower/flasher relay block",,
EXJ,S203,,"Main harness, near T/O to RPO relay block",,
EXJ,S204,,"Main harness, near T/O to C237 instrument cluster",,
EXJ,S205,,"Main harness, near T/O to air suspension/EVO steering module",,
EXJ,S207,,"Main harness, near T/O to G202",,
EXJ,S208,,"Main harness, near T/O to G202",,
EXJ,S209,,"Body main harness, near T/O to C254 park brake switch",,
EXJ,S212,,"Main harness, near T/O to C299 steering wheel rotation sensor",,
EXJ,S213,,"Main harness, in T/O to C221, transfer case relays",,
EXJ,S214,,"Main harness, near T/O to C299 steering wheel rotation sensor",,
EXJ,S215,,"Main harness, in T/O to C250 ignition switch",,
EXJ,S216,,"Body main harness, near T/O to lock relay box",,
EXJ,S219,,"Main harness, near T/O to C295 EVO module",,
EXJ,S220,,"Body main harness, near T/O to C254 parking brake switch",,
EXJ,S222,,"Main harness, near T/O to C237 instrument cluster",,
EXJ,S223,,"Main harness, near T/O to C237 instrument cluster",,
EXJ,S224,,"Main harness, near T/O C237 instrument cluster",,
EXJ,S225,,"Main harness, near T/O to C237 instrument cluster",,
EXJ,S228,,"Main harness, in T/O to C243 central junction box",,
EXJ,S229,,"Main harness, near T/O to C237 instrument cluster",,
EXJ,S231,,"Main harness, near T/O to C237 instrument cluster",,
EXJ,S233,,"Main harness, near C239 general electronic module (GEM)",,
EXJ,S234,,"Body main harness, near T/O to C256 remote anti-theft personality (RAP) module",,
EXJ,S235,,"Body main harness, near T/O to C256 remote anti-theft personality (RAP) module",,
EXJ,S236,,"Body main harness, near T/O C256 remote anti-theft personality (RAP) module",,
EXJ,S237,,"Body main harness, near T/O to in-line C269M",,
EXJ,S239,,"Body main harness, near T/O to in-line C206M",,
EXJ,S240,,"Main harness, near T/O to ashtray illumination",,
EXJ,S242,,"Main harness, near T/O to in-line C232M",,
EXJ,S243,,"Body main harness, near T/O to in-line C285F",,
EXJ,S244,,"Main harness, near T/O to C245 main light switch",,
EXJ,S245,,"Main harness, near T/O to RPO relay block",,
EXJ,S246,,"Main harness, near T/O to C299 steering wheel rotation sensor",,
EXJ,S247,,"Main harness, near T/O to C299 steering wheel rotation sensor",,
EXJ,S248,,"Body main harness, near T/O to in-line C269M",,
EXJ,S250,,"Body main harness, near T/O to C256 remote anti-theft personality (RAP) module",,
EXJ,S251,,"Body main harness, near T/O to C256 remote anti-theft personality (RAP) module",,
EXJ,S252,,"Body main harness, near T/O to C256 remote anti-theft personality (RAP) module",,
EXJ,S253,,"Body main harness, near T/O to in-line C269M",,
EXJ,S254,,"Body main harness, near T/O to in-line C269M",,
EXJ,S255,,"Body main harness, near T/O to lock relay block",,
EXJ,S256,,"Body main harness, near T/O to lock relay box",,
EXJ,S257,,"Body main harness, near T/O to in-line C206M",,
EXJ,S258,,"Body main harness, near T/O to in-line C206M",,
EXJ,S259,,"Body main harness, near T/O to in-line C206M",,
EXJ,S260,,"Main harness, near T/O to in-line C159F",,
EXJ,S261,,"Main harness, near T/O to C299 steering wheel rotation sensor",,
EXJ,S263,,"Main harness, near T/O to G202",,
EXJ,S264,,"Main harness, near T/O to C298 heated backlite switch",,
EXJ,S265,,"Main harness, in T/O to C242 central junction box",,
EXJ,S267,,"Main harness, near T/O to C294 EVO module",,
EXJ,S268,,"Main harness, near T/O to C240 generic electronic module (GEM)",,
EXJ,S269,,"Main harness, near T/O to C294 EVO module",,
EXJ,S270,,"Main harness, near T/O to C295 air suspension/EVO steering module",,
EXJ,S271,,"Main harness, near T/O to C294 EVO module",,
EXJ,S272,,"Main harness, near T/O to C295 air suspension/EVO steering module",,
EXJ,S273,,"Main harness, near T/O to C294 EVO module",,
EXJ,S278,,"Main harness, near T/O to C221 transfer case relays",,
EXJ,S279,,"Main harness, near T/O to C229 blend door actuator",,
EXJ,S280,,"Main harness, near T/O to in-line C300M",,
EXJ,S286,,"Main harness, near T/O to RPO relay block",,
EXJ,S287,,"Main harness, near T/O to C221  transfer case",,
EXJ,S289,,"Main harness, near T/O to C237 instrument cluster",,
EXJ,S292,,"Main harness, near T/O to C281 electronic automatic temperature control (EATC)",,
EXJ,S293,,"Main harness, near T/O to C280 electronic automatic temperature control (EATC)",,
EXJ,S295,,"Main harness, near T/O to C215 passenger air bag",,
EXJ,S296,,"Main harness, near T/O to C215 passenger air bag",,
EXJ,S297,,"Main harness, near T/O to in-line C159",,
EXJ,S298,,"Main harness, near T/O to C237 instrument cluster",,
EXJ,S299,,"Main harness, near T/O to G201",,
EXJ,S300,,"Safety belt retractor harness, in T/O to interior lamps",,
EXJ,S301,,"Safety belt control harness, near C358 driver power seat motor assembly",,
EXJ,S302,,"Safety belt retractor harness, near T/O to C201 torque on demand",,
EXJ,S303,,"Console panel harness, near T/O to C201 torque on demand",,
EXJ,S304,,"Console panel harness, near T/O to C331 console blower motor",,
EXJ,S305,,"Console panel harness, near T/O to C331 console blower motor",,
EXJ,S306,,"Console panel harness, near T/O to C331 console blower motor",,
EXJ,S307,,"Safety belt retractor harness, near T/O to C1019 transfer case assembly",,
EXJ,S308,,"Safety belt retractor harness, near T/O to in-line C306F",,
EXJ,S309,,"Safety belt retractor harness, near T/O to in-line C306F",,
EXJ,S322,,"Console panel harness, near T/O to C331 console blower motor",,
EXJ,S323,,"Console panel harness, near T/O to C331 console blower motor",,
EXJ,S325,,"Safety belt control harness, near C366 driver heated seat switch",,
EXJ,S326,,"Safety belt control harness, near C366 driver heated seat switch",,
EXJ,S327,,"Radio amplifier harness, near T/O to in-line C300F",,
EXJ,S328,,"Front seat back pad harness, near T/O to C374 passenger heated seat switch",,
EXJ,S329,,"Front seat back pad harness, near T/O to C375 passenger heated seat module",,
EXJ,S330,,"Radio amplifier harness, near T/O to C382 CD changer",,
EXJ,S400,,"Rear lamp harness, near T/O to C415 fuel pump assembly",,
EXJ,S401,,"Rear window regulator harness, near T/O to C446 glass ajar switch",,
EXJ,S402,,"Rear window regulator harness, near T/O to C909 heated backlite ground",,
EXJ,S403,,"Safety belt retractor harness, near T/O to C201 torque on demand",,
EXJ,S404,,"Rear window regulator harness, near T/O to C908 rear window defrost grid",,
EXJ,S405,,"Rear window regulator harness, near T/O to C908 rear window defrost grid",,
EXJ,S407,,"Rear lamp harness, near T/O to 402 right license plate",,
EXJ,S408,,"Rear lamp harness, near T/O to in-line C418M",,
EXJ,S409,,"Rear lamp harness, near T/O to C424 front height sensor",,
EXJ,S410,,"Rear lamp harness, near T/O to C424 front height sensor",,
EXJ,S413,,"Safety belt retractor harness, near T/O to G402",,
EXJ,S414,,"Safety belt retractor harness, near T/O to G402",,
EXJ,S415,,"Rear license lamp harness, near T/O to C402 right license plate",,
EXJ,S416,,"Rear license lamp harness, near T/O to C402 right license plate",,
EXJ,S417,,"Safety belt retractor harness, near T/O to C405 right stop/park/turn lamp",,
EXJ,S418,,"Safety belt retractor harness, near T/O to C903 right vanity lamp",,
EXJ,S419,,"Safety belt retractor harness, near T/O to C201 torque on demand",,
EXJ,S420,,"Safety belt retractor harness, near T/O to in-line C270M",,
EXJ,S421,,"Safety belt retractor harness, near T/O to in-line C270M",,
EXJ,S422,,"Safety belt retractor harness, near T/O to C434 auxiliary a/c mode switch",,
EXJ,S423,,"Safety belt retractor harness, near T/O to C437 auxiliary a/c mode blower resistor assembly",,
EXJ,S424,,"Safety belt retractor harness, near T/O to RPO relay box #2",,
EXJ,S425,,"Safety belt retractor harness, near T/O to in-line C941F",,
EXJ,S426,,"Safety belt retractor harness, near T/O to in-line C941F",,
EXJ,S427,,"Rear windows regulator control, near T/O C908 backlite feed",,
EXJ,S428,,"Rear lamp extension harness, near T/O to C450 running board lamp #1",,
EXJ,S429,,"Rear lamp extension harness, near T/O to C452 running board lamp #3",,
EXJ,S430,,"Rear lamp extension harness, near T/O to C450 running board lamp #1",,
EXJ,S434,,"Rear lamp extension harness, near T/O to C452 running board lamp #3",,
EXJ,S500,,"Body main harness, near T/O to C254 parking brake switch",,
EXJ,S501,,"Body main harness, near T/O to C509 left front window switch",,
EXJ,S503,,"Body main harness, near T/O to left front grommet",,
EXJ,S504,,"Body main harness, near T/O to C602 right door courtesy lamp",,
EXJ,S600,,"Body main harness, near T/O to C602 right door courtesy lamp",,
