EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EXN,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L EI,2C018,Left side of engine compartment,C186,2,B10,,,42,3,,
EXN,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L SOHC,2C018,Left side of engine compartment,C186,5,B10,,,42,3,,
EXN,4 Wheel Anti-Lock Brake System (4WABS) Module,5.0L,2C018,Left side of engine compartment,C186,9,A8,,,42,3,,
EXN,4R70W Transmission,,7000,Mounted on left side of transmission,C180,10,F7,,,30,4,,
EXN,4WD Mode Switch,,NA,Center of I/P,C279,11,A5,,,,,,
EXN,5R55E Transmission,,7000,Mounted on left side of transmission,C177,10,C2,,,29,5,,
EXN,A/C Clutch Cycling Pressure Switch,4.0L EI,19D784,Right side of engine compartment at A/C accumulator,C151,1,A2,,,,,,
EXN,A/C Clutch Cycling Pressure Switch,4.0L SOHC,19D784,Right side of engine compartment at A/C accumulator,C151,4,A3,,,,,,
EXN,A/C Clutch Cycling Pressure Switch,5.0L,19D784,Right side of engine compartment at A/C accumulator,C151,7,A3,,,,,,
EXN,A/C Clutch Diode,,14A604,"LF side of engine compartment, near A/C compressor clutch, taped in harness",,,,,,,,,
EXN,A/C Compressor Clutch Solenoid,4.0L EI,19E561,LF side of engine compartment,C152,3,E10,,,,,,
EXN,A/C Compressor Clutch Solenoid,4.0L SOHC,19E561,LF side of engine compartment,C152,4,A9,,,,,,
EXN,A/C Compressor Clutch Solenoid,5.0L,19E561,LF side of engine compartment,C152,8,E10,,,,,,
EXN,A/C Pressure Cutoff Switch,4.0L EI,NA,Near T/O C152 A/C compressor clutch solenoid,C195,3,D10,,,,,,
EXN,A/C Pressure Cutoff Switch,4.0L SOHC,NA,Near T/O C152 A/C compressor clutch solenoid,C195,4,A7,,,,,,
EXN,A/C Pressure Cutoff Switch,5.0L,NA,Near T/O C152 A/C compressor clutch solenoid,C195,7,F4,,,,,,
EXN,A/C Relay,,NA,Mounted in battery junction box,,2,A9,,,11,3,,
EXN,ABS EVAC and Fill Connector,4.0L SOHC,NA,Left side of engine compartment,C140,4,B10,,,,,,
EXN,ABS EVAC and Fill Connector,4.0L EI,NA,Left side of engine compartment,C140,2,C9,,,,,,
EXN,ABS EVAC and Fill Connector,5.0L,NA,Left side of engine compartment,C140,9,C10,,,,,,
EXN,Acceleration Sensor,,14N089,Left frame rail under driver seat,C312,18,F4,,,,,,
EXN,Accessory Delay Relay,,NA,In relay module,,12,F4,,,13,26,,
EXN,Air Bag Sliding Contact,Without Auxiliary Controls,NA,Behind left side of I/P near steering wheel,C220,13,F5,,,31,3,,
EXN,Air Bag Sliding Contact,Without Auxiliary Controls,NA,Behind left side of I/P near steering wheel,C227,13,F5,,,31,3,,
EXN,Air Bag Sliding Contact,Without Auxiliary Controls,NA,Behind left side of I/P near steering wheel,C271,13,F5,,,31,3,,
EXN,Air Bag Sliding Contact,With Auxiliary Controls,NA,Behind left side of I/P near steering wheel,C220,13,F5,,,31,4,,
EXN,Air Suspension Control Compressor Assembly,,NA,At rear of vehicle,C430,19,F9,,,,,,
EXN,Air Suspension Control Module,,NA,Left of center I/P,C2000,11,B1,,,,,,
EXN,Air Suspension Control Module,,NA,Left of center I/P,C2001,11,B1,,,,,,
EXN,Air Suspension Control Relay,4.0L EI,NA,In auxiliary relay box #1,,,,,,,,,
EXN,Air Suspension Control Relay,4.0L SOHC,NA,In auxiliary relay box #1,,4,C1,,,,,,
EXN,Air Suspension Control Relay,5.0L,NA,In auxiliary relay box #1,,9,D1,,,,,,
EXN,Air Suspension Switch,,NA,At left rear quarter panel,C412,16,C10,,,,,,
EXN,Ambient Air Temperature Sensor,,19E702,Left front of engine compartment,C196,4,F8,,,,,,
EXN,Anti-Theft Hood Switch,4.0L EI,19434,Left side of engine compartment,C191,3,C1,,,,,,
EXN,Anti-Theft Hood Switch,4.0L SOHC,19434,Left side of engine compartment,C191,6,C1,,,,,,
EXN,Anti-Theft Hood Switch,5.0L,19434,Left side of engine compartment,C191,9,C1,,,,,,
EXN,Anti-Theft Transceiver Module,,NA,Behind center of I/P,C221,12,F5,,,,,,
EXN,Ashtray Illumination,,15052,Top side of ashtray bracket,C208,16,F2,,,,,,
EXN,Audio/Climate Control Assembly,,NA,RH side of I/P,,,,,,,,,
EXN,Auxiliary Power,,NA,Behind right side of I/P,C275,11,F5,,,,,,
EXN,Auxiliary Relay Box #1,4.0L EI,NA,Right side of engine compartment,,2,D1,,,13,26,,
EXN,Auxiliary Relay Box #1,4.0L SOHC,NA,Right side of engine compartment,,4,C1,,,13,26,,
EXN,Auxiliary Relay Box #1,5.0L,NA,Right side of engine compartment,,9,D1,,,13,26,,
EXN,Auxiliary Relay Box #2,2 Door W/O Electronics Group,NA,"Left rear of vehicle, above wheelwell",,17,F6,,,13,26,,
EXN,Auxiliary Relay Box #2,2 Door W/Electronics Group,NA,"Left rear of vehicle, above wheelwell",,17,F6,,,13,27,,
EXN,Auxiliary Relay Box #2,4 Door W/Electronics Group,NA,"Left rear of vehicle, above wheelwell",,17,F6,,,13,27,,
EXN,Battery,4.0L EI,NA,Left front of engine compartment,C1005,1,C10,,,,,,
EXN,Battery,4.0L SOHC,NA,Left front of engine compartment,C1005,5,D10,,,,,,
EXN,Battery,5.0L,NA,Left front of engine compartment,C1006,7,C10,,,,,,
EXN,Battery Junction Box,4.0L EI,14A068,"Left side of engine compartment, at fender  apron",C126,2,A9,,,,,,
EXN,Battery Junction Box,4.0L SOHC,14A068,"Left side of engine compartment, at fender  apron",C126,6,A10,,,,,,
EXN,Battery Junction Box,5.0L,14A068,"Left side of engine compartment, at fender  apron",C126,9,A10,,,,,,
EXN,Battery Saver Relay,,NA,In relay module,,12,F4,,,13,26,,
EXN,Blend Door Actuator,W/O EATC,19E616,"Behind right side of I/P, top of A/C plenum",C270,12,C1,,,54,6,,
EXN,Blend Door Actuator,W/EATC,19E616,"Behind right side of I/P, top of A/C plenum",C270,12,C1,,,55,6,,
EXN,Blower Motor,4.0L EI,14N089,Right side of engine compartment,C154,1,B1,,,,,,
EXN,Blower Motor,4.0L SOHC,14N089,Right side of engine compartment,C154,6,A1,,,,,,
EXN,Blower Motor,5.0L,14N089,Right side of engine compartment,C154,7,A1,,,,,,
EXN,Blower Motor Relay,5.0L,NA,In battery junction box,,9,A10,,,13,26,,
EXN,Blower Motor Relay,4.0L EI,NA,In battery junction box,,,,,,13,26,,
EXN,Blower Motor Relay,4.0L SOHC,NA,In battery junction box,,,,,,13,26,,
EXN,Blower Motor Resistor,4.0L EI,19A706,Near blower motor,C153,1,B1,,,,,,
EXN,Blower Motor Resistor,4.0L SOHC,19A706,Near blower motor,C153,5,B1,,,,,,
EXN,Blower Motor Resistor,5.0L,19A706,Near blower motor,C153,7,A2,,,,,,
EXN,Blower Motor Speed Controller,4.0L EI,NA,Near blower motor,C179,,,,,,,,
EXN,Blower Motor Speed Controller,4.0L SOHC,NA,Near blower motor,C179,4,A1,,,,,,
EXN,Blower Motor Speed Controller,5.0L,NA,Near blower motor,C179,9,A2,,,,,,
EXN,Brake Fluid Level Warning Switch,4.0L EI,2L140,Mounted on left side of master cylinder,C143,1,A9,,,,,,
EXN,Brake Fluid Level Warning Switch,4.0L SOHC,2L140,Mounted on left side of master cylinder,C143,6,C10,,,,,,
EXN,Brake Fluid Level Warning Switch,5.0L,2L140,Mounted on left side of master cylinder,C143,7,A9,,,,,,
