EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EXN,C100,,Left side of engine compartment,,,,,,,BK,4,,,
EXN,C1004,,Mounted to battery junction box,,,,,,,,,,,
EXN,C1005,4.0L EI,On battery (+) terminal,1,C10,,,,,,1,,,
EXN,C1005,4.0L SOHC,On battery (+) terminal,5,D10,,,,,,1,,,
EXN,C1005,5.0L,On battery (+) terminal,7,C10,,,,,,1,,,
EXN,C1006,4.0L EI,On battery (-) terminal,1,C10,,,,,,1,,,
EXN,C1006,4.0L SOHC,On battery (-) terminal,5,D10,,,,,,1,,,
EXN,C1006,5.0L,On battery (-) terminal,7,C10,,,,,,1,,,
EXN,C1007,4.0L EI,On starter motor,1,F4,,,,,,1,,,
EXN,C1007,4.0L SOHC,On starter motor,,,,,,,,1,,,
EXN,C1007,5.0L,On starter motor,7,F4,,,,,,1,,,
EXN,C102,4.0L EI,Left rear corner of engine compartment,2,A8,,,,,BK,2,,,
EXN,C102,4.0L SOHC,Left rear corner of engine compartment,6,D10,,,,,BK,2,,,
EXN,C102,5.0L,Left rear corner of engine compartment,7,A8,,,,,BK,2,,,
EXN,C104,,Left front of engine,8,C10,,,,,,3,,,
EXN,C105,,Right front of engine,8,F4,,,,,,3,,,
EXN,C106,4.0L EI,Left rear corner of engine compartment,2,D10,,,,,NA,2,,,
EXN,C106,4.0L SOHC,Left rear corner of engine compartment,4,D10,,,,,NA,2,,,
EXN,C106,5.0L,Left rear corner of engine compartment,9,D10,,,,,NA,2,,,
EXN,C107,,At top of cylinder head,8,A8,,,,,BK,2,,,
EXN,C108,,At top of cylinder head,8,A8,,,,,BK,2,,,
EXN,C109,4R70W,Left rear of transmission,10,D5,,,,,BK,2,,,
EXN,C109,5R55E,Left rear of transmission,10,A4,,,29,6,BK,2,,,
EXN,C110,,Top right front of engine,8,A3,,,,,BK,4,,,
EXN,C111,4.0L EI,Right front corner of engine compartment,1,C1,,,,,BK,6,,,
EXN,C111,4.0L SOHC,Right front corner of engine compartment,5,C1,,,,,BK,6,,,
EXN,C111,5.0L,Right front corner of engine compartment,8,D1,,,,,BK,6,,,
EXN,C112,4R70W,Left side of automatic transmission,10,D7,,,,,,,,,
EXN,C112,5R55E,Left side of automatic transmission,10,C3,,,,,,,,,
EXN,C113,,Rear of engine compartment,6,A5,,,150,23,BK,16,,,
EXN,C114,,Attached to alternator (power stud),,,,,,,,,,,
EXN,C115,4.0L EI,Left rear corner of engine compartment,2,A7,,,150,1,GY,42,,,
EXN,C115,4.0L SOHC,Left rear corner of engine compartment,6,A7,,,150,1,GY,42,,,
EXN,C115,5.0L,Left rear corner of engine compartment,8,A6,,,150,1,GY,42,,,
EXN,C116,5.0L,Left rear corner of engine compartment,10,D3,,,150,2,,38,,,
EXN,C117,4.0L EI,Left front corner of engine compartment,1,F7,,,,,BK,2,,,
EXN,C117,4.0L SOHC,Left front corner of engine compartment,5,F7,,,,,BK,2,,,
EXN,C117,5.0L,Left front corner of engine compartment,7,F7,,,,,BK,2,,,
EXN,C118,4.0L EI,Rear of engine compartment,2,A5,,,150,23,BK,16,,,
EXN,C118,4.0L SOHC,Rear of engine compartment,6,A4,,,150,23,BK,16,,,
EXN,C118,M50D,Rear of engine compartment,10,A6,,,150,23,BK,16,,,
EXN,C119,,"Left rear corner of engine compartment, forward of bulkhead connector",17,E1,,,150,3,BK,4,,,
EXN,C120,4.0L EI,Right front of engine compartment,1,A4,,,,,,,,,
EXN,C120,4.0L SOHC,Right front of engine compartment,,,,,,,,,,,
EXN,C120,5.0L,Right front of engine compartment,,,,,,,,,,,
