EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,SORT,FREQUENCY
EXN,G100,4.0L EI,"Left rear corner of engine compartment, at fender apron",1,B10,,
EXN,G100,4.0L SOHC,"Left rear corner of engine compartment, at fender apron",6,C10,,
EXN,G100,5.0L,"Left rear corner of engine compartment, at fender apron",7,C10,,
EXN,G101,4.0L EI,"Left front of engine compartment, near radiator",3,D10,,
EXN,G101,4.0L SOHC,"Left front of engine compartment, near radiator",5,D10,,
EXN,G101,5.0L,"Left front of engine compartment, near radiator",7,D10,,
EXN,G102,4.0L EI,"Right side of engine compartment, attached to right quarter panel",3,B1,,
EXN,G102,4.0L SOHC,"Right side of engine compartment, attached to right quarter panel",6,B1,,
EXN,G102,5.0L,"Right side of engine compartment, attached to right quarter panel",9,B1,,
EXN,G103,,Battery support ground,,,,
EXN,G104,,Engine support ground,,,,
EXN,G200,,Under right side of instrument panel,,,,
EXN,G201,4.0L EI,"Rear of engine compartment, attached to cowl panel",2,A5,,
EXN,G201,4.0L SOHC,"Rear of engine compartment, attached to cowl panel",4,A5,,
EXN,G201,5.0L,"Rear of engine compartment, attached to cowl panel",8,A5,,
EXN,G202,,"Right side of instrument panel, attached to A-pillar",11,D1,,
EXN,G204,,"Under left side of I/P, behind kick panel",17,A5,,
EXN,G302,,Rear of vehicle,,,,
EXN,G303,,Rear of vehicle,17,C10,,
EXN,G304,,Near overhead console,,,,
EXN,G400,,"Rear center of vehicle, in liftgate",19,A9,,
EXN,G401,,Right top corner of  liftgate,19,A10,,
EXN,G500,,"Left front door, near T/O to master window control switch",18,A1,,
EXN,G501,,"Left front door, near T/O to left front door ajar switch",,,,
EXN,G600,,"Right front door, near T/O to right front power door lock switch",16,A6,,
EXN,G601,,"Right front door, near T/O to right front door ajar switch",,,,
EXN,G700,,"Left rear door, near T/O to left rear door lock motor",17,F4,,
EXN,G701,,In left rear door,,,,
EXN,G800,,"Right rear door, near T/O to right rear door lock motor",17,B10,,
EXN,G801,,In right rear door,,,,
