EVTM,CELL,LOCPAGE,ZONE,NAME,QUALIFIER,TYPE,CONN_NAME,FREQUENCY
EXN,151,002,B10,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L EI,COM,,0
EXN,151,005,B10,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L SOHC,COM,,0
EXN,151,009,A8,4 Wheel Anti-Lock Brake System (4WABS) Module,5.0L,COM,,0
EXN,151,010,F7,4R70W Transmission,,COM,,0
EXN,151,011,A5,4WD Mode Switch,,COM,,0
EXN,151,010,C2,5R55E Transmission,,COM,,0
EXN,151,001,A2,A/C Clutch Cycling Pressure Switch,4.0L EI,COM,,0
EXN,151,004,A3,A/C Clutch Cycling Pressure Switch,4.0L SOHC,COM,,0
EXN,151,007,A3,A/C Clutch Cycling Pressure Switch,5.0L,COM,,0
EXN,151,003,E10,A/C Compressor Clutch Solenoid,4.0L EI,COM,,0
EXN,151,004,A9,A/C Compressor Clutch Solenoid,4.0L SOHC,COM,,0
EXN,151,008,E10,A/C Compressor Clutch Solenoid,5.0L,COM,,0
EXN,151,003,D10,A/C Pressure Cutoff Switch,4.0L EI,COM,,0
EXN,151,004,A7,A/C Pressure Cutoff Switch,4.0L SOHC,COM,,0
EXN,151,007,F4,A/C Pressure Cutoff Switch,5.0L,COM,,0
EXN,151,002,A9,A/C Relay,,COM,,0
EXN,151,002,C9,ABS EVAC and Fill Connector,4.0L EI,COM,,0
EXN,151,004,B10,ABS EVAC and Fill Connector,4.0L SOHC,COM,,0
EXN,151,009,C10,ABS EVAC and Fill Connector,5.0L,COM,,0
EXN,151,018,F4,Acceleration Sensor,,COM,,0
EXN,151,012,F4,Accessory Delay Relay,,COM,,0
EXN,151,013,F5,Air Bag Sliding Contact,With Auxiliary Controls,COM,,0
EXN,151,013,F5,Air Bag Sliding Contact,Without Auxiliary Controls,COM,,0
EXN,151,019,F9,Air Suspension Control Compressor Assembly,,COM,,0
EXN,151,011,B1,Air Suspension Control Module,,COM,,0
EXN,151,004,C1,Air Suspension Control Relay,4.0L SOHC,COM,,0
EXN,151,009,D1,Air Suspension Control Relay,5.0L,COM,,0
EXN,151,016,C10,Air Suspension Switch,,COM,,0
EXN,151,004,F8,Ambient Air Temperature Sensor,,COM,,0
EXN,151,003,C1,Anti-Theft Hood Switch,4.0L EI,COM,,0
EXN,151,006,C1,Anti-Theft Hood Switch,4.0L SOHC,COM,,0
EXN,151,009,C1,Anti-Theft Hood Switch,5.0L,COM,,0
EXN,151,012,F5,Anti-Theft Transceiver Module,,COM,,0
EXN,151,016,F2,Ashtray Illumination,,COM,,0
EXN,151,011,F5,Auxiliary Power,,COM,,0
EXN,151,002,D1,Auxiliary Relay Box #1,4.0L EI,COM,,0
EXN,151,004,C1,Auxiliary Relay Box #1,4.0L SOHC,COM,,0
EXN,151,009,D1,Auxiliary Relay Box #1,5.0L,COM,,0
EXN,151,017,F6,Auxiliary Relay Box #2,2 Door W/O Electronics Group,COM,,0
EXN,151,017,F6,Auxiliary Relay Box #2,2 Door W/Electronics Group,COM,,0
EXN,151,017,F6,Auxiliary Relay Box #2,4 Door W/Electronics Group,COM,,0
EXN,151,001,C10,Battery,4.0L EI,COM,,0
EXN,151,005,D10,Battery,4.0L SOHC,COM,,0
EXN,151,007,C10,Battery,5.0L,COM,,0
EXN,151,002,A9,Battery Junction Box,4.0L EI,COM,,0
EXN,151,006,A10,Battery Junction Box,4.0L SOHC,COM,,0
EXN,151,009,A10,Battery Junction Box,5.0L,COM,,0
EXN,151,012,F4,Battery Saver Relay,,COM,,0
EXN,151,012,C1,Blend Door Actuator,W/O EATC,COM,,0
EXN,151,012,C1,Blend Door Actuator,W/EATC,COM,,0
EXN,151,001,B1,Blower Motor,4.0L EI,COM,,0
EXN,151,006,A1,Blower Motor,4.0L SOHC,COM,,0
EXN,151,007,A1,Blower Motor,5.0L,COM,,0
EXN,151,009,A10,Blower Motor Relay,5.0L,COM,,0
EXN,151,001,B1,Blower Motor Resistor,4.0L EI,COM,,0
EXN,151,005,B1,Blower Motor Resistor,4.0L SOHC,COM,,0
EXN,151,007,A2,Blower Motor Resistor,5.0L,COM,,0
EXN,151,004,A1,Blower Motor Speed Controller,4.0L SOHC,COM,,0
EXN,151,009,A2,Blower Motor Speed Controller,5.0L,COM,,0
EXN,151,001,A9,Brake Fluid Level Warning Switch,4.0L EI,COM,,0
EXN,151,006,C10,Brake Fluid Level Warning Switch,4.0L SOHC,COM,,0
EXN,151,007,A9,Brake Fluid Level Warning Switch,5.0L,COM,,0
EXN,151,013,F7,Brake Pedal Position (BPP) Switch,,COM,,0
EXN,151,002,A8,Brake Pressure Switch,4.0L EI,COM,,0
EXN,151,006,D10,Brake Pressure Switch,4.0L SOHC,COM,,0
EXN,151,007,A8,Brake Pressure Switch,5.0L,COM,,0
EXN,151,001,C10,C1005,4.0L EI,CON,,0
EXN,151,005,D10,C1005,4.0L SOHC,CON,,0
EXN,151,007,C10,C1005,5.0L,CON,,0
EXN,151,001,C10,C1006,4.0L EI,CON,,0
EXN,151,005,D10,C1006,4.0L SOHC,CON,,0
EXN,151,007,C10,C1006,5.0L,CON,,0
EXN,151,001,F4,C1007,4.0L EI,CON,,0
EXN,151,007,F4,C1007,5.0L,CON,,0
EXN,151,002,A8,C102,4.0L EI,CON,,0
EXN,151,006,D10,C102,4.0L SOHC,CON,,0
EXN,151,007,A8,C102,5.0L,CON,,0
EXN,151,008,C10,C104,,CON,,0
EXN,151,008,F4,C105,,CON,,0
EXN,151,002,D10,C106,4.0L EI,CON,,0
EXN,151,004,D10,C106,4.0L SOHC,CON,,0
EXN,151,009,D10,C106,5.0L,CON,,0
EXN,151,008,A8,C107,,CON,,0
EXN,151,008,A8,C108,,CON,,0
EXN,151,010,A4,C109,5R55E,CON,,0
EXN,151,010,D5,C109,4R70W,CON,,0
EXN,151,008,A3,C110,,CON,,0
EXN,151,001,C1,C111,4.0L EI,CON,,0
EXN,151,005,C1,C111,4.0L SOHC,CON,,0
EXN,151,008,D1,C111,5.0L,CON,,0
EXN,151,010,C3,C112,5R55E,CON,,0
EXN,151,010,D7,C112,4R70W,CON,,0
EXN,151,006,A5,C113,,CON,,0
EXN,151,002,A7,C115,4.0L EI,CON,,0
EXN,151,006,A7,C115,4.0L SOHC,CON,,0
EXN,151,008,A6,C115,5.0L,CON,,0
