EVTM,CELL,PAGE,NAME,QUALIFIER,REFCELL,REFPAGE,CARROT,PAGEID1,PAGEID2,ITEMID_,CELLID2
Exn,010,001,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L EI,042,001,,,,,
Exn,010,001,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L SOHC,042,001,,,,,
Exn,010,001,4 Wheel Anti-Lock Brake System (4WABS) Module,5.0L,042,001,,,,,
Exn,010,003,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L EI,042,001,,,,,
Exn,010,003,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L SOHC,042,001,,,,,
Exn,010,003,4 Wheel Anti-Lock Brake System (4WABS) Module,5.0L,042,001,,,,,
Exn,013,002,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L EI,042,001,,,,,
Exn,013,002,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L SOHC,042,001,,,,,
Exn,013,002,4 Wheel Anti-Lock Brake System (4WABS) Module,5.0L,042,001,,,,,
Exn,013,013,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L EI,042,001,,,,,
Exn,013,013,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L SOHC,042,001,,,,,
Exn,013,013,4 Wheel Anti-Lock Brake System (4WABS) Module,5.0L,042,001,,,,,
Exn,014,001,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L EI,042,001,,,,,
Exn,014,001,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L SOHC,042,001,,,,,
Exn,014,001,4 Wheel Anti-Lock Brake System (4WABS) Module,5.0L,042,001,,,,,
Exn,029,002,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L SOHC,042,001,,,,,
Exn,029,002,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L EI,042,001,,,,,
Exn,030,002,4 Wheel Anti-Lock Brake System (4WABS) Module,5.0L,042,001,,,,,
Exn,031,002,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L EI,042,001,,,,,
Exn,031,002,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L SOHC,042,001,,,,,
Exn,031,002,4 Wheel Anti-Lock Brake System (4WABS) Module,5.0L,042,001,,,,,
Exn,034,003,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L EI,042,002,,,,,
Exn,034,003,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L SOHC,042,002,,,,,
Exn,034,003,4 Wheel Anti-Lock Brake System (4WABS) Module,5.0L,042,002,,,,,
Exn,059,002,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L EI,042,001,,,,,
Exn,059,002,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L SOHC,042,001,,,,,
Exn,059,002,4 Wheel Anti-Lock Brake System (4WABS) Module,5.0L,042,001,,,,,
Exn,059,003,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L EI,042,001,,,,,
Exn,059,003,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L SOHC,042,001,,,,,
Exn,059,003,4 Wheel Anti-Lock Brake System (4WABS) Module,5.0L,042,001,,,,,
Exn,059,006,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L EI,042,001,,,,,
Exn,059,006,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L SOHC,042,001,,,,,
Exn,059,006,4 Wheel Anti-Lock Brake System (4WABS) Module,5.0L,042,001,,,,,
Exn,062,001,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L EI,042,001,,,,,
Exn,062,001,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L SOHC,042,001,,,,,
Exn,062,001,4 Wheel Anti-Lock Brake System (4WABS) Module,5.0L,042,001,,,,,
Exn,064,001,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L EI,042,001,,,,,
Exn,064,001,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L SOHC,042,001,,,,,
Exn,064,001,4 Wheel Anti-Lock Brake System (4WABS) Module,5.0L,042,001,,,,,
Exn,013,008,4R70W Transmission,,030,004,,,,,
Exn,010,004,4WD Mode Switch,,034,001,,,,,
Exn,010,004,4WD Mode Switch,,071,003,,,,,
Exn,059,002,4WD Mode Switch,,034,001,,,,,
Exn,071,003,4WD Mode Switch,,034,001,,,,,
Exn,013,006,5R55E Transmission,,029,004,,,,,
Exn,013,007,5R55E Transmission,,029,004,,,,,
Exn,023,003,5R55E Transmission,,029,004,,,,,
Exn,023,007,5R55E Transmission,,029,004,,,,,
Exn,024,002,5R55E Transmission,,029,004,,,,,
Exn,024,007,5R55E Transmission,,029,004,,,,,
Exn,010,001,A/C Clutch Diode,,054,003,,,,,
Exn,010,001,A/C Clutch Diode,,055,003,,,,,
Exn,010,001,A/C Compressor Clutch Solenoid,4.0L EI,054,003,,,,,
Exn,010,001,A/C Compressor Clutch Solenoid,4.0L SOHC,054,003,,,,,
Exn,010,001,A/C Compressor Clutch Solenoid,5.0L,054,003,,,,,
Exn,010,001,A/C Compressor Clutch Solenoid,4.0L EI,055,003,,,,,
Exn,010,001,A/C Compressor Clutch Solenoid,4.0L SOHC,055,003,,,,,
Exn,010,001,A/C Compressor Clutch Solenoid,5.0L,055,003,,,,,
Exn,010,006,A/C Pressure Cutoff Switch,4.0L EI,054,003,,,,,
Exn,010,006,A/C Pressure Cutoff Switch,4.0L SOHC,054,003,,,,,
Exn,010,006,A/C Pressure Cutoff Switch,5.0L,054,003,,,,,
Exn,010,006,A/C Pressure Cutoff Switch,4.0L EI,055,003,,,,,
Exn,010,006,A/C Pressure Cutoff Switch,4.0L SOHC,055,003,,,,,
Exn,010,006,A/C Pressure Cutoff Switch,5.0L,055,003,,,,,
Exn,013,001,A/C Relay,,054,003,,,,,
Exn,013,001,A/C Relay,,055,003,,,,,
Exn,013,005,A/C Relay,,054,003,,,,,
Exn,013,005,A/C Relay,,055,003,,,,,
Exn,023,001,A/C Relay,,054,003,,,,,
Exn,023,001,A/C Relay,,055,003,,,,,
Exn,024,001,A/C Relay,,054,003,,,,,
Exn,024,001,A/C Relay,,055,003,,,,,
Exn,025,002,A/C Relay,,054,003,,,,,
Exn,025,002,A/C Relay,,055,003,,,,,
Exn,013,002,Accessory Delay Relay,,034,002,,,,,
Exn,010,007,Air Bag Sliding Contact,With Auxiliary Controls,031,002,,,,,
Exn,010,007,Air Bag Sliding Contact,Without Auxiliary Controls,031,002,,,,,
Exn,071,006,Air Bag Sliding Contact,Without Auxiliary Controls,031,002,,,,,
Exn,071,006,Air Bag Sliding Contact,With Auxiliary Controls,031,002,,,,,
Exn,130,006,Air Bag Sliding Contact,With Auxiliary Controls,055,004,,,,,
Exn,130,006,Air Bag Sliding Contact,Without Auxiliary Controls,055,004,,,,,
Exn,023,005,Air Conditioner/Heater,,054,003,,,,,
Exn,024,008,Air Conditioner/Heater,,054,003,,,,,
Exn,025,002,Air Conditioner/Heater,,054,003,,,,,
Exn,010,007,Air Suspension Control Compressor Assembly,,041,001,,,,,
Exn,010,008,Air Suspension Control Compressor Assembly,,041,001,,,,,
Exn,013,013,Air Suspension Control Module,,041,003,,,,,
Exn,014,001,Air Suspension Control Module,,041,001,,,,,
Exn,023,005,Air Suspension Control Module,,041,001,,,,,
Exn,024,003,Air Suspension Control Module,,041,001,,,,,
Exn,025,007,Air Suspension Control Module,,041,001,,,,,
Exn,059,002,Air Suspension Control Module,,041,002,,,,,
Exn,059,004,Air Suspension Control Module,,041,002,,,,,
Exn,059,006,Air Suspension Control Module,,041,001,,,,,
Exn,062,003,Air Suspension Control Module,,041,003,,,,,
Exn,064,001,Air Suspension Control Module,,041,001,,,,,
Exn,010,002,Air Suspension Control Relay,4.0L EI,041,001,,,,,
Exn,010,002,Air Suspension Control Relay,4.0L SOHC,041,001,,,,,
Exn,010,002,Air Suspension Control Relay,5.0L,041,001,,,,,
Exn,013,004,Air Suspension Control Relay,4.0L EI,041,001,,,,,
Exn,013,004,Air Suspension Control Relay,4.0L SOHC,041,001,,,,,
Exn,013,004,Air Suspension Control Relay,5.0L,041,001,,,,,
Exn,013,004,Air Suspension Switch,,041,001,,,,,
Exn,059,006,Anti-Lock Brake System (ABS),,042,002,,,,,
Exn,062,003,Anti-Lock Brake System (ABS),,042,002,,,,,
Exn,014,001,Anti-Theft,,112,001,,,,,
Exn,021,001,Anti-Theft,,112,001,,,,,
Exn,021,002,Anti-Theft,,112,001,,,,,
Exn,010,002,Anti-Theft Hood Switch,4.0L EI,117,002,,,,,
Exn,010,002,Anti-Theft Hood Switch,4.0L SOHC,117,002,,,,,
Exn,010,002,Anti-Theft Hood Switch,5.0L,117,002,,,,,
Exn,010,004,Ashtray Illumination,,071,003,,,,,
Exn,010,005,Ashtray Illumination,,071,003,,,,,
Exn,013,024,Autolamps,,087,002,,,,,
Exn,071,005,Autolamps,,087,001,,,,,
Exn,086,002,Autolamps,,087,001,,,,,
Exn,092,001,Autolamps,,087,001,,,,,
Exn,117,001,Autolamps,,087,001,,,,,
Exn,071,001,Automatic Day/Night Mirrors,,125,001,,,,,
Exn,087,001,Automatic Day/Night Mirrors,,125,001,,,,,
Exn,092,001,Automatic Day/Night Mirrors,,125,001,,,,,
Exn,093,001,Automatic Day/Night Mirrors,,125,001,,,,,
Exn,093,002,Automatic Day/Night Mirrors,,125,001,,,,,
Exn,010,004,Auxiliary Power,,044,002,,,,,
Exn,010,005,Auxiliary Power,,044,002,,,,,
Exn,013,018,Auxiliary Power,,044,002,,,,,
Exn,010,002,Auxiliary Relay Box #1,4.0L EI,010,013,E,,,,
Exn,010,002,Auxiliary Relay Box #1,4.0L SOHC,010,013,E,,,,
Exn,010,002,Auxiliary Relay Box #1,5.0L,010,013,E,,,,
Exn,013,019,Auxiliary Relay Box #1,4.0L EI,085,001,,,,,
Exn,013,019,Auxiliary Relay Box #1,4.0L SOHC,085,001,,,,,
Exn,013,019,Auxiliary Relay Box #1,5.0L,085,001,,,,,
Exn,082,001,Auxiliary Relay Box #1,4.0L EI,082,003,B,,,,
Exn,082,001,Auxiliary Relay Box #1,4.0L SOHC,082,003,B,,,,
Exn,082,001,Auxiliary Relay Box #1,5.0L,082,003,B,,,,
Exn,012,001,Battery Junction Box,4.0L EI,013,001,,,,,
Exn,012,001,Battery Junction Box,4.0L SOHC,013,001,,,,,
Exn,012,001,Battery Junction Box,5.0L,013,001,,,,,
Exn,012,001,Battery Junction Box,4.0L EI,013,003,,,,,
Exn,012,001,Battery Junction Box,4.0L SOHC,013,003,,,,,
Exn,012,001,Battery Junction Box,5.0L,013,003,,,,,
Exn,013,001,Battery Junction Box,4.0L EI,013,002,,,,,
Exn,013,001,Battery Junction Box,4.0L SOHC,013,002,,,,,
Exn,013,001,Battery Junction Box,5.0L,013,002,,,,,
Exn,013,005,Battery Junction Box,4.0L EI,013,004,O,,,,
Exn,013,005,Battery Junction Box,4.0L SOHC,013,004,O,,,,
Exn,013,005,Battery Junction Box,5.0L,013,004,O,,,,
Exn,013,006,Battery Junction Box,4.0L EI,013,005,H,,,,
