EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
EXN,S100,,Between diode and T/O for compressor clutch,,
EXN,S101,,In T/O for powertrain control module,,
EXN,S102,,100 mm from branch for left headlamp,,
EXN,S103,,75 mm from T/O for right headlamp,,
EXN,S104,,In T/O for wiper motor,,
EXN,S105,,In T/O for powertrain control module,,
EXN,S106,,In T/O for powertrain control module,,
EXN,S107,,110 mm from T/O to C148,,
EXN,S108,,In T/O for powertrain control module,,
EXN,S109,,Near T/O for left front park/turn lamp,,
EXN,S110,,Near T/O for right front park/turn lamp,,
EXN,S111,,100 mm from T/O for G101,,
EXN,S112,,Near T/O for left headlamp,,
EXN,S113,,200 mm from T/O to battery junction box,,
EXN,S114,,Near T/O to battery junction box,,
EXN,S115,,Near T/O to 4WABS control module,,
EXN,S116,,50 mm from T/O to C146,,
EXN,S117,,Near T/O for fuel injector #7,,
EXN,S118,,Near T/O for fuel injector #3,,
EXN,S119,,Near T/O to EGR valve position sensor,,
EXN,S120,,Near T/O C147M,,
EXN,S121,,Near T/O to transmission connector,,
EXN,S122,,Near T/O,,
EXN,S123,,135 mm from branch to fuel pump relay,,
EXN,S124,,"In engine control sensor harness, near T/O to C164",,
EXN,S125,,Near T/O to transmission connector,,
EXN,S126,,Near T/O left front park/turn lamp,,
EXN,S127,,Near T/O C140M,,
EXN,S128,,75 mm from branch to WOT A/C relay,,
EXN,S129,,Near T/O C102 brake pressure switch,,
EXN,S130,,Near T/O to C183,,
EXN,S131,,Near T/O to left front park/turn lamp,,
EXN,S133,,25 mm from T/O to compressor clutch,,
EXN,S134,,Near T/O for C123,,
EXN,S135,,In T/O to C113,,
EXN,S136,,405 mm from T/O for BMAP sensor,,
EXN,S137,,Near T/O to 4WABS control module,,
EXN,S142,,100 mm from T/O to C169,,
EXN,S144,,Near T/O to battery junction box,,
EXN,S146,,100 mm from T/O for throttle position sensor,,
EXN,S147,,Near T/O to auxiliary box #3,,
EXN,S148,,100 mm from T/O for 4WABS control module,,
EXN,S150,,Near T/O for 4WABS pump motor,,
EXN,S153,,Near T/O to battery junction box,,
EXN,S154,,Near T/O to starter motor relay,,
EXN,S155,,Near T/O to ignition control module,,
EXN,S156,,Near T/O to auxiliary relay box #1,,
EXN,S157,,Near T/O to fuel injector #6,,
EXN,S158,,Near T/O to anti-theft hood switch,,
EXN,S159,,Near T/O C102 positive battery cable,,
EXN,S160,,Near T/O to battery junction box,,
EXN,S161,,Near T/O to anti-theft hood switch,,
EXN,S162,,Near T/O for headlamp switch,,
EXN,S163,,Near T/O for battery junction box,,
EXN,S164,,Near T/O for battery junction box,,
EXN,S165,,200 mm from T/O for C115,,
EXN,S166,,Near T/O to fuel injector #6,,
EXN,S167,,Near T/O to fuel injector #6,,
EXN,S168,,Near T/O to 4WABS control module,,
EXN,S169,,Near T/O to fuel injector #6,,
EXN,S170,,Near T/O to blower motor,,
EXN,S171,,Near T/O to C140 evac and fill,,
EXN,S172,,150 mm from T/O for G101,,
EXN,S173,,In T/O to 4WABS pump motor,,
EXN,S176,,Near T/O to brake pressure switch,,
EXN,S177,,Near T/O to left front side lamp,,
EXN,S178,,Near T/O to right front side lamp,,
EXN,S179,,In T/O to C118,,
EXN,S180,,In T/O to C118,,
EXN,S200,,Near T/O to radio,,
EXN,S201,,Near T/O for instrument cluster,,
EXN,S202,,Near T/O to right vanity mirror lamp/switch,,
EXN,S203,,Near T/O for G204,,
EXN,S204,,In T/O to ignition switch,,
EXN,S205,,Near T/O to Inline C204,,
EXN,S206,,Near T/O to inline C204,,
EXN,S207,,Near T/O for headlamp switch,,
EXN,S208,,Near T/O to C216 headlamp switch,,
EXN,S209,,Near T/O for instrument cluster,,
EXN,S210,,Near T/O to rear blower motor relay,,
EXN,S211,,Near T/O to data link connector,,
EXN,S212,,Near T/O to data link connector,,
EXN,S213,,Near T/O for instrument cluster,,
EXN,S214,,Near T/O to instrument cluster,,
EXN,S215,,Near T/O ignition switch,,
EXN,S216,,Near T/O to C232 RCM,,
EXN,S217,,Near T/O to I/P fuse panel,,
EXN,S221,,50 mm from T/O to instrument cluster,,
EXN,S222,,Near T/O to C204,,
EXN,S223,,Near T/O G204,,
