EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EX1,4 Wheel Anti-Lock Brake System (4WABS) Module,4.2L,2C018,Left side of engine compartment,C146,1,F9,42,6,,,,
EX1,4 Wheel Anti-Lock Brake System (4WABS) Module,4.2L,2C018,Left side of engine compartment,C147,1,F9,42,6,,,,
EX1,4 Wheel Anti-Lock Brake System (4WABS) Module,4.6L,2C018,Left side of engine compartment,C146,5,E10,42,6,,,,
EX1,4 Wheel Anti-Lock Brake System (4WABS) Module,4.6L,2C018,Left side of engine compartment,C147,5,E10,42,6,,,,
EX1,4 Wheel Anti-Lock Brake System (4WABS) Module,5.4L,2C018,Left side of engine compartment,C146,7,F9,42,6,,,,
EX1,4 Wheel Anti-Lock Brake System (4WABS) Module,5.4L,2C018,Left side of engine compartment,C147,7,F9,42,6,,,,
EX1,4 Wheel Anti-Lock Brake System (4WABS) Module,5.4L NGV,2C018,Left side of engine compartment,C146,7,F9,42,6,,,,
EX1,4 Wheel Drive Mode Switch,,N/A,Center of I/P,C230,12,F7,34,6,,,,
EX1,4R100 Transmission,4x2,N/A,"Center of vehicle, behind engine",C193,8,D9,,,,,,
EX1,4R100 Transmission,4x4,N/A,"Center of vehicle, behind engine",C193,9,A8,,,,,,
EX1,4R70W Transmission,4x2,7000,Mounted under center of vehicle,C183,8,C4,29,5,,,,
EX1,4R70W Transmission,4x4,7000,Mounted under center of vehicle,C183,9,C4,29,5,,,,
EX1,4x2 Center Axle Disconnect Solenoid,4.2L,N/A,Right side of engine compartment,C181,3,A2,,,,,,
EX1,4x2 Center Axle Disconnect Solenoid,4.6L,N/A,Right side of engine compartment,C181,5,A1,,,,,,
EX1,4x2 Center Axle Disconnect Solenoid,5.4L,N/A,Right side of engine compartment,C181,7,A2,,,,,,
EX1,4x2 Center Axle Disconnect Solenoid,5.4L NGV,N/A,Right side of engine compartment,C181,7,A2,,,,,,
EX1,4x4 Center Axle Disconnect Solenoid,4.2L,N/A,Right side of engine compartment,C180,3,A1,,,,,,
EX1,4x4 Center Axle Disconnect Solenoid,4.6L,N/A,Right side of engine compartment,C180,5,B1,,,,,,
EX1,4x4 Center Axle Disconnect Solenoid,5.4L,N/A,Right side of engine compartment,C180,7,A1,,,,,,
EX1,4x4 Center Axle Disconnect Solenoid,5.4L NGV,N/A,Right side of engine compartment,C180,7,A1,,,,,,
EX1,4x4 Low and High Indicator Switch,4R100,N/A,Left side of transmission,C189,,,34,6,,,,
EX1,4x4 Low and High Indicator Switch,4R70W,N/A,Left side of transmission,C189,9,A2,34,6,,,,
EX1,4x4 Low and High Indicator Switch,M5R2,N/A,Left side of transmission,C189,9,F5,34,6,,,,
EX1,A/C Clutch Cycling Pressure Switch,4.2L,19D784,Right rear corner of engine compartment,C139,2,A5,,,,,,
EX1,A/C Clutch Cycling Pressure Switch,4.6L,19D784,Right rear corner of engine compartment,C140,4,A2,,,,,,
EX1,A/C Clutch Cycling Pressure Switch,5.4L,19D784,Right rear corner of engine compartment,C139,6,B1,,,,,,
