EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EX1,C100,4.2L,Front of engine,2,F7,,,,,BK,2,,,
EX1,C100,4.6L,Front of engine,4,F6,,,,,BK,2,,,
EX1,C100,5.4L,Front of engine,6,F8,,,,,BK,2,,,
EX1,C100,5.4L NGV,Front of engine,6,F8,,,,,BK,2,,,
EX1,C101,4.2L,Left front of engine,2,F8,,,,,BK,1,,,
EX1,C101,4.6L,Left front of engine,5,F7,,,,,BK,1,,,
EX1,C101,5.4L,Left front of engine,6,F7,,,,,BK,1,,,
EX1,C101,5.4L NGV,Left front of engine,6,F7,,,,,BK,1,,,
EX1,C1011,,Top of cylinder #1,6,A5,,,,,BK,2,,,
EX1,C1012,,Top of cylinder #2,6,A5,,,,,BK,2,,,
EX1,C1013,,Top of cylinder #3,6,A5,,,,,BK,2,,,
EX1,C1014,,Top of cylinder #4,6,A5,,,,,BK,2,,,
EX1,C1015,,Top of cylinder #5,6,A5,,,,,BK,2,,,
EX1,C1016,,Top of cylinder #6,6,A5,,,,,BK,2,,,
EX1,C1017,,Top of cylinder #7,6,A5,,,,,BK,2,,,
EX1,C1018,,Top of cylinder #8,6,A5,,,,,BK,2,,,
EX1,C1019,4.2L,Lower right side of engine,2,B1,,,,,,1,,,
EX1,C1019,4.6L,Lower right side of engine,5,E1,,,,,,1,,,
EX1,C1019,5.4L,Lower right side of engine,7,C1,,,,,,1,,,
EX1,C1019,5.4L NGV,Lower right side of engine,7,C1,,,,,,1,,,
EX1,C102,4.2L,Lower front of engine,3,F6,,,,,BK,2,,,
EX1,C102,4.6L,Lower front of engine,4,F5,,,,,BK,2,,,
EX1,C102,5.4L,Lower front of engine,7,F4,,,,,BK,2,,,
EX1,C102,5.4L NGV,Lower front of engine,7,F4,,,,,BK,2,,,
EX1,C1020,4.2L,Lower right side of engine,2,B1,,,,,,1,,,
EX1,C1020,4.6L,Lower right side of engine,5,E1,,,,,,1,,,
EX1,C1020,5.4L,Lower right side of engine,7,C1,,,,,,1,,,
EX1,C1020,5.4L NGV,Lower right side of engine,7,C1,,,,,,1,,,
EX1,C1021,,Right side of engine compartment,,,,,,,,1,,,
EX1,C1022,,Right side of engine compartment,,,,,,,,1,,,
EX1,C103,4.2L,Right side of engine,2,F6,,,,,,2,,,
EX1,C103,4.6L,Right side of engine,5,C1,,,,,,2,,,
