EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EX1,010,001,C100,4.2L,,
EX1,010,001,C100,4.6L,,
EX1,010,001,C100,5.4L,,
EX1,010,001,C100,5.4L NGV,,
EX1,010,001,C1022,,,
EX1,010,001,C120,4.2L,,
EX1,010,001,C120,4.6L,,
EX1,010,001,C120,5.4L,,
EX1,010,001,C120,5.4L NGV,,
EX1,010,001,C141,4.2L,,
EX1,010,001,C141,4.6L,,
EX1,010,001,C141,5.4L,,
EX1,010,001,C141,5.4L NGV,,
EX1,010,001,C141,5.4L Lightning,,
EX1,010,001,C141,5.4L Bi-Fuel,,
EX1,010,001,C156,4.2L,,
EX1,010,001,C156,4.6L,,
EX1,010,001,C156,5.4L,,
EX1,010,001,C156,5.4L NGV,,
EX1,010,001,C159,,,
EX1,010,001,C174,4.2L,,
EX1,010,001,C174,4.6L,,
EX1,010,001,C174,5.4L,,
EX1,010,001,C174,5.4L NGV,,
EX1,010,001,C174,5.4L Lightning,,
EX1,010,001,C196,,,
EX1,010,001,C228,,,
EX1,010,001,C4202,,,
EX1,010,002,C106,4.2L,,
EX1,010,002,C106,4.6L,,
EX1,010,002,C106,5.4L,,
EX1,010,002,C106,5.4L NGV,,
EX1,010,002,C120,4.2L,,
EX1,010,002,C120,4.6L,,
EX1,010,002,C120,5.4L,,
EX1,010,002,C120,5.4L NGV,,
EX1,010,002,C157,4.2L,,
EX1,010,002,C157,4.6L,,
EX1,010,002,C157,5.4L,,
EX1,010,002,C157,5.4L NGV,,
EX1,010,002,C160,4.2L,,
EX1,010,002,C160,4.6L,,
EX1,010,002,C160,5.4L,,
EX1,010,002,C160,5.4L NGV,,
EX1,010,002,C161,4.2L,,
EX1,010,002,C161,4.6L,,
EX1,010,002,C161,5.4L,,
EX1,010,002,C161,5.4L NGV,,
EX1,010,002,C165,4.2L,,
EX1,010,002,C165,4.6L,,
EX1,010,002,C165,5.4L,,
EX1,010,002,C165,5.4L NGV,,
EX1,010,002,C168,,,
EX1,010,002,C172,4.2L,,
EX1,010,002,C172,4.6L,,
EX1,010,002,C172,5.4L,,
EX1,010,002,C172,5.4L NGV,,
EX1,010,002,C182,4R100 (4X2),,
EX1,010,002,C182,4R100 (4X4),,
EX1,010,002,C182,4R70W (4X2),,
EX1,010,002,C182,4R70W (4X4),,
EX1,010,002,C191,W/ AC,,
EX1,010,002,C191,W/O AC,,
EX1,010,002,C198,,,
EX1,010,002,C204,,,
EX1,010,002,C210,,,
EX1,010,002,C210,,,
EX1,010,002,C218,W/ AC,,
EX1,010,002,C218,W/O AC,,
EX1,010,003,C221,,,
EX1,010,003,C228,,,
EX1,010,003,C229,W/ AC,,
EX1,010,003,C229,W/O AC,,
EX1,010,003,C230,,,
EX1,010,003,C232,,,
EX1,010,003,C234,,,
EX1,010,004,C205,,,
EX1,010,004,C206,,,
EX1,010,004,C211,,,
EX1,010,004,C212,,,
EX1,010,004,C214,,,
EX1,010,004,C219,W/ AC,,
EX1,010,004,C219,W/O AC,,
EX1,010,004,C225,,,
EX1,010,004,C236,,,
EX1,010,004,C246,,,
EX1,010,004,C247,,,
EX1,010,004,C249,,,
EX1,010,004,C277,,,
EX1,010,004,C501,,,
EX1,010,004,C601,,,
EX1,010,005,C133,4.2L,,
EX1,010,005,C133,4.6L,,
EX1,010,005,C133,5.4L,,
EX1,010,005,C133,5.4L NGV,,
EX1,010,005,C134,4.2L,,
EX1,010,005,C134,4.6L,,
EX1,010,005,C134,5.4L,,
EX1,010,005,C134,5.4L NGV,,
EX1,010,005,C135,4.2L,,
EX1,010,005,C135,4.6L,,
EX1,010,005,C135,5.4L,,
EX1,010,005,C135,5.4L NGV,,
EX1,010,005,C138,4.2L,,
EX1,010,005,C138,4.6L,,
EX1,010,005,C138,5.4L,,
EX1,010,005,C138,5.4L NGV,,
EX1,010,005,C144,4.2L,,
EX1,010,005,C144,4.6L,,
EX1,010,005,C144,5.4L,,
EX1,010,005,C144,5.4L NGV,,
EX1,010,005,C145,4.2L,,
EX1,010,005,C145,4.6L,,
EX1,010,005,C145,5.4L,,
EX1,010,005,C145,5.4L NGV,,
EX1,010,006,C113,,,
EX1,010,006,C143,4.2L,,
EX1,010,006,C143,4.6L,,
EX1,010,006,C143,5.4L,,
EX1,010,006,C143,5.4L NGV,,
EX1,010,006,C147,4.2L,,
EX1,010,006,C147,4.6L,,
EX1,010,006,C147,5.4L,,
EX1,010,006,C147,5.4L NGV,,
EX1,010,006,C149,4.2L,,
EX1,010,006,C149,4.6L,,
EX1,010,006,C149,5.4L,,
