EVTM,CELL,LOCPAGE,ZONE,NAME,QUALIFIER,TYPE,CONN_NAME,FREQUENCY
EX1,151,001,F8,C106,4.2L,CON,,0
EX1,151,001,F9,4 Wheel Anti-Lock Brake System (4WABS) Module,4.2L,COM,,0
EX1,151,001,F9,C146,4.2L,CON,,0
EX1,151,001,F9,C147,4.2L,CON,,0
EX1,151,002,A1,G102,4.2L,GRD,,
EX1,151,002,A2,C171,4.2L,CON,,
EX1,151,002,A3,C166,4.2L,CON,,
EX1,151,002,A3,C167,4.2L,CON,,
EX1,151,002,A3,Starter Motor Relay,4.2L,COM,,0
EX1,151,002,A4,G101,4.2L,GRD,,
EX1,151,002,A5,A/C Clutch Cycling Pressure Switch,4.2L,COM,,
EX1,151,002,A5,C139,4.2L,CON,,
EX1,151,002,A6,C172,4.2L,CON,,
EX1,151,002,A7,C119,4.2L,CON,,0
EX1,151,002,A8,C165,4.2L,CON,,0
EX1,151,002,A8,Windshield Wiper Motor,4.2L,COM,,0
EX1,151,002,A9,C141,4.2L,CON,,0
EX1,151,002,A9,C141,4.2L,CON,,0
EX1,151,002,A9,C156,4.2L,CON,,0
EX1,151,002,A9,Mass Air Flow (MAF) Sensor,4.2L,COM,,
EX1,151,002,B1,C1019,4.2L,CON,,0
EX1,151,002,B1,C1020,4.2L,CON,,0
EX1,151,002,B1,Starter Motor,4.2L,COM,,0
EX1,151,002,B10,C152,4.2L,CON,,
EX1,151,002,B10,Rear Anti-Lock Brake System (RABS) Proportioning Valve Switch Assembly,4.2L,COM,,
EX1,151,002,C1,C138,4.2L,CON,,
EX1,151,002,C1,G103,4.2L,GRD,,
EX1,151,002,C1,Washer Pump Assembly,4.2L,COM,,
EX1,151,002,C10,C145,4.2L,CON,,
EX1,151,002,C10,Left Front Park/Turn Lamp,4.2L,COM,,
EX1,151,002,D1,C135,4.2L,CON,,0
EX1,151,002,D1,Right Front Park/Turn Lamp,4.2L,COM,,
EX1,151,002,D10,C142,4.2L,CON,,
EX1,151,002,D10,Daytime Running Lamps (DRL) Resistor,4.2L,COM,,
EX1,151,002,E1,C133,4.2L,CON,,
EX1,151,002,E1,Right Headlamp,4.2L,COM,,0
EX1,151,002,E10,C144,4.2L,CON,,0
EX1,151,002,E10,Left Fog Lamp,4.2L,COM,,0
EX1,151,002,F3,C136,4.2L,CON,,0
EX1,151,002,F3,High Pitch Horn,4.2L,COM,,
EX1,151,002,F5,C137,4.2L,CON,,
EX1,151,002,F5,Low Pitch Horn,4.2L,COM,,
EX1,151,002,F6,C103,4.2L,CON,,
EX1,151,001,A10,C158,,CON,,0
EX1,151,001,A10,C158,,CON,,
EX1,151,001,A10,C158,,CON,,
EX1,151,001,A10,C158,,CON,,
EX1,151,001,A10,C159,,CON,,0
EX1,151,001,A10,C159,,CON,,
EX1,151,001,A10,C159,,CON,,
EX1,151,001,A10,C159,,CON,,
EX1,151,001,A10,C160,4.2L,CON,,0
EX1,151,001,A3,C169,4.2L,CON,,
EX1,151,001,A4,C198,,CON,,
EX1,151,001,A4,Intake Manifold Runner Control (IMRC),,COM,,
EX1,151,001,A5,C179,4.2L,CON,,
EX1,151,001,A5,Cylinder Head Temperature (CHT) Sensor,4.2L,COM,,
EX1,151,001,A6,C128,4.2L,CON,,
EX1,151,001,A6,C129,4.2L,CON,,
EX1,151,001,A6,C130,4.2L,CON,,
EX1,151,001,A6,Fuel Injector #4,4.2L,COM,,
EX1,151,001,A6,Fuel Injector #5,4.2L,COM,,
EX1,151,001,A6,Fuel Injector #6,4.2L,COM,,
EX1,151,001,A7,C108,4.2L,CON,,
EX1,151,001,A7,Heated Oxygen Sensor (HO2S) #21,4.2L,COM,,0
EX1,151,001,A8,C164,4.2L,CON,,0
EX1,151,001,A8,EVAP Canister Purge Valve,4.2L,COM,,
EX1,151,001,B1,C174,4.2L,CON,,0
EX1,151,001,B1,Powertrain Control Module (PCM),4.2L,COM,,0
EX1,151,001,B10,C153,4.2L,CON,,0
EX1,151,001,B10,Left Front Wheel 4WABS Sensor,4.2L,COM,,0
EX1,151,001,C1,C120,4.2L,CON,,0
EX1,151,001,C10,C149,4.2L,CON,,0
EX1,151,001,C10,C150,4.2L,CON,,0
EX1,151,001,D1,C109,4.2L,CON,,0
EX1,151,001,D1,Heated Oxygen Sensor (HO2S) #11,4.2L,COM,,0
EX1,151,001,D10,C148,4.2L,CON,,0
EX1,151,001,E1,C121,4.2L,CON,,0
EX1,151,001,E1,EGR Vacuum Regulator (EVR) Solenoid,4.2L,COM,,0
EX1,151,001,E10,G104,4.2L,GRD,,0
EX1,151,001,F2,C122,4.2L,CON,,0
EX1,151,001,F2,Differential Pressure Feedback EGR (DPFE) Sensor,4.2L,COM,,0
EX1,151,001,F4,C123,4.2L,CON,,0
EX1,151,001,F4,Throttle Position (TP) Sensor,4.2L,COM,,
EX1,151,001,F5,C111,4.2L,CON,,
EX1,151,001,F5,Ignition Coil,,COM,,0
EX1,151,001,F8,A/C Compressor Clutch Solenoid,4.2L,COM,,0
EX1,151,002,F6,Knock Sensor (KS),4.2L,COM,,
EX1,151,002,F7,C100,4.2L,CON,,
EX1,151,002,F7,Camshaft Position (CMP) Sensor,4.2L,COM,,
