EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
EX1,S100,,"Engine control sensor harness, in T/O to powertrain control module",,
EX1,S1001,,"Battery harness, near T/O to battery",,
EX1,S1002,,"Battery harness, near T/O to battery",,
EX1,S1003,,"Engine control sensor harness, near T/O to battery junction box",,
EX1,S101,,"Engine control sensor harness, in T/O to powertrain control module",,
EX1,S102,,"Engine control sensor harness, near T/O to starter motor relay",,
EX1,S104,,"Engine control sensor harness, near T/O to right headlamp",,
EX1,S105,,"Engine control sensor harness, in T/O to battery junction box",,
EX1,S106,,"Engine control sensor harness, near T/O to G104",,
EX1,S108,,"Engine control sensor harness, in T/O to battery junction box",,
EX1,S109,,"Engine control sensor harness, near T/O to C150M",,
EX1,S112,,"Engine control sensor harness, near T/O to battery junction box",,
EX1,S113,,"Engine control sensor harness, near T/O to battery junction box",,
EX1,S114,,"Engine control sensor harness, near T/O to left headlamp",,
EX1,S115,,"Engine control sensor harness, near T/O to C150M",,
EX1,S116,,"Engine control sensor harness, near T/O to C160M",,
EX1,S117,4.2L,"Fuel charge harness, near T/O to idle air control valve",,
EX1,S117,4.6L,"Fuel charge harness, near T/O to C120",,
EX1,S117,5.4L,"Fuel charge harness, near T/O to C120",,
EX1,S118,,"Fuel charge harness, near T/O to radio noise capacitor C114",,
EX1,S119,,"Fuel charge harness, near T/O to radio noise capacitor C115",,
EX1,S120,,"Engine control sensor harness, in T/O to C160M",,
EX1,S125,,"Heater blower motor feed harness, in T/O to blower motor resistor",,
EX1,S126,,"Engine control sensor harness, near T/O to A/C clutch cycling pressure switch",,
EX1,S127,,"Engine control sensor harness, near T/O to windshield wiper motor",,
EX1,S129,4.2L,"Fuel charge harness, between takeout for C126 and C123",,
EX1,S129,4.6L,"Fuel charge harness, near T/O to coil on plug #3",,
EX1,S129,5.4L,"Fuel charge harness, near T/O to coil on plug #3",,
EX1,S129,5.4L NGV,"Fuel charge harness, near T/O to coil on plug #3",,
EX1,S130,,"Engine control sensor harness, in T/O to C120M",,
EX1,S131,4.2L,"Fuel charge harness, near T/O to intake manifold runner control monitor #1",,
EX1,S131,4.6L,"Fuel charge harness, near T/O to coil on plug #7",,
EX1,S131,5.4L,"Fuel charge harness, near T/O to coil on plug #7",,
EX1,S131,5.4L NGV,"Fuel charge harness, near T/O to coil on plug #7",,
EX1,S132,,Engine control sensor fuel charge harness at T/O to C1015 coil in plug #5,,
EX1,S135,4.2L,"Fuel charge harness, near T/O to fuel injector #4",,
EX1,S135,4.6L,"Fuel charge harness, near T/O to fuel injector #8",,
EX1,S135,5.4L,"Fuel charge harness, near T/O to fuel injector #8",,
EX1,S135,5.4L NGV,"Fuel charge harness, near T/O to fuel injector #8",,
EX1,S136,4.2L,"Fuel charge harness, near T/O to fuel injector #2",,
EX1,S136,4.6L,"Fuel charge harness, near T/O to C131 fuel injector #7",,
EX1,S136,5.4L,"Fuel charge harness, near T/O to coil on plug #4",,
EX1,S136,5.4L NGV,"Fuel charge harness, near T/O to coil on plug #4",,
EX1,S137,,"Engine control sensor harness, near T/O to starter motor relay",,
EX1,S138,,"Engine control sensor harness, in T/O to C139",,
EX1,S139,,"Engine control sensor harness, in T/O to C158M",,
EX1,S140,,"Reversing lamp switch to rear lamp feed harness, in T/O to C172",,
EX1,S141,,"Reversing lamp switch to rear lamp feed harness, in T/O to C172",,
EX1,S142,,"Engine control sensor harness, near T/O to starter motor relay",,
EX1,S143,,"Engine control sensor harness, near T/O to windshield wiper motor",,
EX1,S144,,"Engine control sensor harness, near T/O to G104",,
EX1,S145,,"Engine control sensor harness, in T/O to horns",,
EX1,S146,,"Engine control sensor harness, near T/O to C159",,
EX1,S147,,"Engine control sensor harness, in T/O to left fog lamp",,
EX1,S148,,"Engine control sensor harness, near T/O to C148M",,
EX1,S149,,"Engine control sensor harness, in T/O to C148M",,
EX1,S150,,"Engine control sensor harness, in T/O to C160",,
EX1,S151,,"Engine control sensor harness, near T/O to C150M",,
EX1,S152,,"Fuel charge harness, near T/O to C120F",,
EX1,S153,,"Fuel charge harness, near T/O to C120F",,
EX1,S154,,"Fuel charge harness, near T/O to C119F",,
EX1,S155,,"Engine control sensor harness, near T/O to in-line C158M",,
EX1,S156,,"Engine control sensor harness, near T/O to in-line C196F",,
EX1,S157,,"Engine control sensor harness, near T/O to in-line C196F",,
EX1,S158,,"Engine control sensor harness, near T/O to in-line C196F",,
EX1,S159,,"Engine control sensor harness, in T/O to C165 windshield wiper motor",,
EX1,S160,,"Engine control sensor harness, near T/O to in-line C158M",,
EX1,S161,,"Fuel charge harness, near T/O to fuel injector #3",,
EX1,S162,,"Fuel charge harness, near T/O to fuel injector #7",,
EX1,S163,,"Engine control sensor harness, near T/O to A/C clutch cycling pressure switch",,
EX1,S170,,"Engine control sensor harness, near T/O to 4 wheel anti-lock brake system (4WABS) module",,
EX1,S171,,"CTO module harness, near T/O to C4044",,
EX1,S172,,"CTO module harness, near T/O to C4044",,
EX1,S173,,"CTO module harness, near T/O to C4044",,
EX1,S198,,"Engine control sensor harness, near T/O to starter motor relay",,
EX1,S199,,"Fuel charge harness, near T/O to C120",,
EX1,S200,,"Main harness, near T/O to C210",,
EX1,S201,,"Main harness, near T/O to rear anti-lock brake system (RABS) module",,
EX1,S202,,"Main harness, in T/O to blower/flasher relay block",,
EX1,S203,,"Main harness, near T/O to passenger air bag",,
EX1,S204,,"Main harness, near T/O to instrument cluster",,
EX1,S205,,"Main harness, near T/O to rear anti-lock brake system (RABS) module",,
EX1,S206,,"Main harness, in T/O to C224",,
EX1,S207,,"Main harness, near T/O to central junction box",,
EX1,S208,,"Main harness, near T/O to G202",,
EX1,S209,,"Main harness, near T/O to G202",,
EX1,S210,,"Radio speaker jumper harness, near T/O to radio",,
EX1,S211,,"Main harness, near T/O to instrument cluster",,
