EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EXB,4R70W Transmission,,7000,"Under center of car, on transmission",C132,9,C10,,,29,5,,
EXB,A/C Clutch Cycling Pressure Switch,3.8L,19E561,"RH rear corner of engine compartment, on A/C accumulator",C167,2,A3,,,,,,
EXB,A/C Clutch Cycling Pressure Switch,4.6L 2V,19E561,"RH rear corner of engine compartment, on A/C accumulator",C167,6,A4,,,,,,
EXB,A/C Clutch Cycling Pressure Switch,4.6L 4V,19E561,"RH rear corner of engine compartment, on A/C accumulator",C167,5,A1,,,,,,
EXB,A/C Clutch Field Coil,3.8L,19703,"Lower RH front of engine, part of A/C compressor assembly",C159,1,C1,,,,,,
EXB,A/C Clutch Field Coil,4.6L 2V,19703,"Top LH front of engine, part of A/C compressor assembly",C159,8,F3,,,,,,
EXB,A/C Clutch Field Coil,4.6L 4V,19703,"Top LH front of engine, part of A/C compressor assembly",C159,4,E1,,,,,,
EXB,A/C High Pressure Cutout/Fan Switch,4.6L 2V,N/A,"Lower RH front of engine compartment, on A/C line, above air cleaner housing",C128,7,F4,,,,,,
EXB,A/C High Pressure Cutout/Fan Switch,4.6L 4V,N/A,"Lower RH front of engine compartment, on A/C line, above air cleaner housing",C128,5,F5,,,,,,
EXB,A/C High Pressure Cutout/Fan Switch,3.8L,N/A,"Lower RH front of engine compartment, on A/C line, right of belt tensioner",C128,2,D1,,,,,,
EXB,A/C-Heater Control Assembly,,19980,Center of I/P,C285,12,A5,,,,,,
EXB,A/C-Heater Control Illumination,,18549/19980,"Center of I/P, on A/C-heater control assembly",C236,11,A6,,,,,,
EXB,Air Bag Sliding Contact,,14A664,In steering column,C233,11,A8,,,,,,
EXB,Air Bag Sliding Contact,,14A664,In steering column,C271,11,A8,,,,,,
EXB,Air Injection Reaction (AIR) Management Solenoid,,N/A,"RH rear of engine, rear of throttle body",C115,2,F5,,,,,,
EXB,Air Injection Reaction (AIR) Pump,3.8L,N/A,RH front fender well,C152,2,E1,,,,,,
EXB,Air Injection Reaction (AIR) Relay,3.8L,N/A,RH front fender well,C155,1,D1,,,,,,
EXB,Amplifier,Premium Sound,18B849,"Behind center of I/P, below radio",C282,11,F4,,,130,9,,
EXB,Amplifier,Premium Sound,18B849,"Behind center of I/P, below radio",C283,11,F4,,,130,9,,
EXB,Amplifier,Super Sound,N/A,"Behind center of I/P, below radio",C274,11,F4,,,130,9,,
EXB,Amplifier,Super Sound,N/A,"Behind center of I/P, below radio",C282,11,F4,,,130,9,,
EXB,Anti-Lock Brake Control Module,3.8L,N/A,"RH front of engine compartment, behind radiator",C141,2,F3,,,42,4,,
EXB,Anti-Lock Brake Control Module,4.6L 2V,N/A,"RH front of engine compartment, behind radiator",C141,6,F5,,,42,4,,
EXB,Anti-Lock Brake Control Module,4.6L 4V,N/A,"RH front of engine compartment, behind radiator",C141,4,F4,,,42,4,,
EXB,Auxiliary Power Socket,Convertible,N/A,"Lower center of I/P, forward of gear selector",C309,18,C1,,,,,,
EXB,Auxiliary Power Socket,Coupe,N/A,"Lower center of I/P, forward of gear selector",C309,15,C1,,,,,,
EXB,Battery,,N/A,LH front of engine compartment,C1200,,,,,,,,
EXB,Battery,,N/A,LH front of engine compartment,C1202,,,,,,,,
EXB,Battery Junction Box,3.8L,N/A,"LH side of engine compartment, forward of strut tower",C1201,2,C10,,,,,,
EXB,Battery Junction Box,4.6L 2V,N/A,"LH side of engine compartment, forward of strut tower",C1201,6,B9,,,,,,
EXB,Battery Junction Box,4.6L 4V,N/A,"LH side of engine compartment, forward of strut tower",C1201,5,C10,,,,,,
EXB,Blower Motor,,N/A,"RH side of vehicle, behind dash panel",C286,11,D1,,,,,,
EXB,Blower Motor Resistor Assembly,,N/A,Behind RH side of I/P in A/C-heater plenum,C267,11,E1,,,,,,
EXB,Blower Motor Switch,,19A642,Center of I/P,C235,11,A5,,,,,,
EXB,Brake Fluid Level Switch,3.8L,2L414,"LH rear of engine compartment, on brake fluid reservoir",C164,1,B10,,,,,,
EXB,Brake Fluid Level Switch,4.6L 2V,2L414,"LH rear of engine compartment, on brake fluid reservoir",C164,6,A7,,,,,,
EXB,Brake Fluid Level Switch,4.6L 4V,2L414,"LH rear of engine compartment, on brake fluid reservoir",C164,3,A8,,,,,,
EXB,Brake Pedal Position (BPP) Switch,,13480,"Behind LH side of I/P, on brake pedal support",C242,10,F4,,,,,,
EXB,Brake Pressure Switch,,N/A,Near deactivator switch,C261,10,F6,,,,,,
EXB,Camshaft Position (CMP) Sensor,3.8L,N/A,"Front of engine, below ignition coil",C114,1,F7,,,,,,
EXB,Camshaft Position (CMP) Sensor,4.6L 2V,N/A,"Front of engine, below ignition coil",C114,8,F8,,,,,,
EXB,Camshaft Position (CMP) Sensor,4.6L 4V,N/A,"Front of engine, below ignition coil",C114,4,F8,,,,,,
EXB,CD Player,,N/A,Center of I/P,C279,,,,,130,8,,
EXB,CD Player,,N/A,Center of I/P,C281,,,,,130,8,,
EXB,CD Player,,N/A,Center of I/P,C297,,,,,130,8,,
EXB,Central Junction Box,,14A067,"Behind I/P, left of steering column",,11,E10,,,,,,
EXB,Cigar Lighter,Convertible,15052,"Center console, in ashtray",C245,16,F4,,,,,,
EXB,Cigar Lighter,Coupe,15052,"Center console, in ashtray",C245,15,F4,,,,,,
EXB,Clutch Pedal Position (CPP) Switch,,11A152,In RH fender well,C255,10,A6,,,,,,
EXB,Coil on Plug #1,4.6L 2V,N/A,Near respective fuel injector,C1081,6,A5,,,,,,
EXB,Coil on Plug #1,4.6L 4V,N/A,Near respective fuel injector,C1081,3,A4,,,,,,
EXB,Coil on Plug #2,4.6L 2V,N/A,Near respective fuel injector,C1082,6,A5,,,,,,
EXB,Coil on Plug #2,4.6L 4V,N/A,Near respective fuel injector,C1082,3,A4,,,,,,
EXB,Coil on Plug #3,4.6L 2V,N/A,Near respective fuel injector,C1083,6,A5,,,,,,
EXB,Coil on Plug #3,4.6L 4V,N/A,Near respective fuel injector,C1083,3,A4,,,,,,
EXB,Coil on Plug #4,4.6L 2V,N/A,Near respective fuel injector,C1084,6,A5,,,,,,
EXB,Coil on Plug #4,4.6L 4V,N/A,Near respective fuel injector,C1084,3,A4,,,,,,
EXB,Coil on Plug #5,4.6L 2V,N/A,Near respective fuel injector,C1085,6,A6,,,,,,
EXB,Coil on Plug #5,4.6L 4V,N/A,Near respective fuel injector,C1085,3,A7,,,,,,
EXB,Coil on Plug #6,4.6L 2V,N/A,Near respective fuel injector,C1086,6,A6,,,,,,
EXB,Coil on Plug #6,4.6L 4V,N/A,Near respective fuel injector,C1086,3,A7,,,,,,
EXB,Coil on Plug #7,4.6L 2V,N/A,Near respective fuel injector,C1087,6,A6,,,,,,
EXB,Coil on Plug #7,4.6L 4V,N/A,Near respective fuel injector,C1087,3,A7,,,,,,
EXB,Coil on Plug #8,4.6L 2V,N/A,Near respective fuel injector,C1088,6,A6,,,,,,
EXB,Coil on Plug #8,4.6L 4V,N/A,Near respective fuel injector,C1088,3,A7,,,,,,
EXB,Constant Control Relay Module (CCRM),3.8L,12B581,"Mounted on bracket, behind engine coolant reservoir",C192,1,B1,,,23,13,,
EXB,Constant Control Relay Module (CCRM),4.6L 2V,N/A,"Mounted on bracket, behind engine coolant reservoir",C192,6,D1,,,24,12,,
EXB,Constant Control Relay Module (CCRM),4.6L 4V,N/A,"Mounted on bracket, behind engine coolant reservoir",C192,3,C1,,,,,,
EXB,Convertible Top Motor,,533A00,Behind bottom center of rear seat,C438,17,D1,,,,,,
EXB,Convertible Top Switch,,13A350,"In center console, beside park brake",C317,17,A3,,,,,,
EXB,Crankshaft Position (CKP) Sensor,3.8L,6C315,"Center front of engine, below RH side of water pump",C118,2,F6,,,,,,
EXB,Crankshaft Position (CKP) Sensor,4.6L 2V,6C315,"Center front of engine, below RH side of water pump",C118,8,F4,,,,,,
EXB,Crankshaft Position (CKP) Sensor,4.6L 4V,6C315,"Center front of engine, below RH side of water pump",C118,3,F5,,,,,,
EXB,Crankshaft Position (CKP) Sensor Shield,,N/A,Near crankshaft position (CKP) sensor shield,,,,,,,,,
EXB,Data Link Connector (DLC),,N/A,"Behind I/P, right of steering column",C232,12,F5,,,14,3,,
EXB,Daytime Running Lamps (DRL) Module,3.8L,15A272,"In front of LH front fender, below horns",C170,1,F9,,,97,3,,
EXB,Daytime Running Lamps (DRL) Module,4.6L 2V,15A272,"In front of LH front fender, below horns",C170,7,F9,,,97,3,,
EXB,Daytime Running Lamps (DRL) Module,4.6L 4V,15A272,"In front of LH front fender, below horns",C170,3,F9,,,97,3,,
EXB,Deactivator Switch,,9D821,On clutch pedal support,C260,10,F5,,,,,,
EXB,Deactivator Switch Jumper,,N/A,On clutch pedal support,C260,,,,,,,,
