EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EXB,C100,3.8L,Lower LH side of engine compartment,1,C10,,,,,BK,4,,,
EXB,C100,4.6L 2V,Lower LH side of engine compartment,7,C9,,,,,BK,4,,,
EXB,C100,4.6L 4V,Lower LH side of engine compartment,3,C10,,,,,BK,4,,,
EXB,C1000,4.6L 2V,LH side of engine,9,E1,,,,,,3,,,
EXB,C1000,4.6L 4V,LH side of engine,5,F3,,,,,,3,,,
EXB,C1002,,By evaporative emission (EVAP) canister purge valve,4,A3,,,,,,4,,,
EXB,C1004,,Near knock sensors,4,A4,,,,,,4,,,
EXB,C1005,4.6L 2V,Near engine oil pressure switch,8,C10,,,,,,8,,,
EXB,C1005,4.6L 4V,Near engine oil pressure switch,6,C10,,,,,,8,,,
EXB,C1006,3.8L,On integral generator,1,C10,,,,,,1,,,
EXB,C1006,4.6L 2V,On integral generator,7,A4,,,,,,1,,,
EXB,C1007,4.6L 2V,RH rear of engine compartment,7,A3,,,150,17,,16,,,
EXB,C1007,4.6L 4V,RH rear of engine compartment,3,A3,,,150,17,,16,,,
EXB,C1008,3.8L,LH side of engine compartment,2,A10,,,150,18,,8,,,
EXB,C1008,4.6L 2V,LH side of engine compartment,7,B9,,,150,18,,8,,,
EXB,C1008,4.6L 4V,LH side of engine compartment,5,A7,,,150,18,,8,,,
EXB,C1009,4.6L 2V,"Top RH front of engine, to radio noise capacitor #1",7,F3,,,,,,1,,,
EXB,C1009,4.6L 4V,"Top RH front of engine, to radio noise capacitor #1",4,A7,,,,,,1,,,
EXB,C101,,RH side of engine compartment near C106,,,,,,,,4,,,
EXB,C1010,4.6L 2V,"Top LH front of engine, to radio noise capacitor #2",7,F6,,,,,GY,1,,,
EXB,C1010,4.6L 4V,"Top LH front of engine, to radio noise capacitor #2",4,A5,,,,,GY,1,,,
EXB,C1011,,In engine compartment,,,,,150,18,,8,,,
EXB,C102,,RH side of engine compartment near C104,2,A1,,,,,,8,,,
EXB,C103,3.8L,RH side of engine compartment,2,A1,,,,,,2,,,
EXB,C103,4.6L 2V,RH side of engine compartment,8,B1,,,,,,2,,,
EXB,C103,4.6L 4V,RH side of engine compartment,3,A1,,,,,,2,,,
EXB,C104,3.8L,RH rear of engine compartment,1,A2,,,150,1,,42,,,
EXB,C104,4.6L 2V,RH rear of engine compartment,8,A2,,,150,2,,42,,,
EXB,C104,4.6L 4V,RH rear of engine compartment,4,A2,,,150,2,,42,,,
EXB,C105,3.8L,LH rear of engine compartment,2,A7,,,150,3,,24,,,
EXB,C105,4.6L 2V,LH rear of engine compartment,6,A8,,,150,3,,24,,,
EXB,C105,4.6L 4V,LH rear of engine compartment,4,A10,,,150,3,,24,,,
EXB,C106,3.8L,RH rear of engine compartment,2,A2,,,150,4,BK,16,,,
EXB,C106,4.6L 2V,RH rear of engine compartment,6,A3,,,150,4,BK,16,,,
EXB,C106,4.6L 4V,RH rear of engine compartment,5,A3,,,150,4,BK,16,,,
EXB,C107,3.8L,LH side of engine compartment,1,A10,,,150,5,BK,16,,,
EXB,C107,4.6L 2V,LH side of engine compartment,6,B9,,,150,5,BK,16,,,
EXB,C107,4.6L 4V,LH side of engine compartment,5,A9,,,150,5,BK,16,,,
EXB,C108,3.8L,RH side of engine compartment,2,F2,,,150,5,BK,16,,,
EXB,C108,4.6L 2V,RH side of engine compartment,7,C1,,,150,5,BK,16,,,
EXB,C108,4.6L 4V,RH side of engine compartment,5,F2,,,150,5,BK,16,,,
EXB,C1081,4.6L 2V,On coil on plug,6,A5,,,,,,2,,,
EXB,C1081,4.6L 4V,On coil on plug,3,A4,,,,,,2,,,
EXB,C1082,4.6L 2V,On coil on plug,6,A5,,,,,,2,,,
EXB,C1082,4.6L 4V,On coil on plug,3,A4,,,,,,2,,,
EXB,C1083,4.6L 2V,On coil on plug,6,A5,,,,,,2,,,
EXB,C1083,4.6L 4V,On coil on plug,3,A4,,,,,,2,,,
EXB,C1084,4.6L 2V,On coil on plug,6,A5,,,,,,2,,,
EXB,C1084,4.6L 4V,On coil on plug,3,A4,,,,,,2,,,
EXB,C1085,4.6L 2V,On coil on plug,6,A6,,,,,,2,,,
EXB,C1085,4.6L 4V,On coil on plug,3,A7,,,,,,2,,,
EXB,C1086,4.6L 2V,On coil on plug,6,A6,,,,,,2,,,
EXB,C1086,4.6L 4V,On coil on plug,3,A7,,,,,,2,,,
EXB,C1087,4.6L 2V,On coil on plug,6,A6,,,,,,2,,,
EXB,C1087,4.6L 4V,On coil on plug,3,A7,,,,,,2,,,
EXB,C1088,4.6L 2V,On coil on plug,6,A6,,,,,,2,,,
EXB,C1088,4.6L 4V,On coil on plug,3,A7,,,,,,2,,,
EXB,C109,3.8L,RH side of engine compartment,1,F3,,,,,BK,4,,,
EXB,C109,4.6L 2V,RH side of engine compartment,7,F3,,,,,BK,4,,,
EXB,C109,4.6L 4V,RH side of engine compartment,5,F3,,,,,BK,4,,,
EXB,C110,,On digital transmission range (DTR) sensor,9,E5,,,29,5,BK,10,,,
EXB,C111,3.8L,"Top front of engine, to right radio interference capacitor",1,A7,,,,,GY,1,,,
EXB,C112,3.8L,LH side of engine compartment,2,D10,,,,,BK,1,,,
EXB,C112,4.6L 2V,LH side of engine compartment,8,C10,,,,,BK,1,,,
EXB,C112,4.6L 4V,LH side of engine compartment,5,C10,,,,,BK,1,,,
EXB,C113,3.8L,LH side of engine compartment,1,D10,,,,,,2,,,
EXB,C113,4.6L 2V,LH side of engine compartment,8,C10,,,,,,2,,,
EXB,C113,4.6L 4V,LH side of engine compartment,5,D10,,,,,,2,,,
EXB,C114,3.8L,On camshaft position (CMP) sensor,1,F7,,,,,,2,,,
EXB,C114,4.6L 2V,On camshaft position (CMP) sensor,8,F8,,,,,BK,2,,,
EXB,C114,4.6L 4V,On camshaft position (CMP) sensor,4,F8,,,,,BK,2,,,
EXB,C115,,On air injection reaction (AIR) management electric solenoid,2,F5,,,,,,2,,,
EXB,C116,3.8L,On starter motor/solenoid,2,F4,,,,,,1,,,
EXB,C116,4.6L 2V,On starter motor/solenoid,8,F5,,,,,,1,,,
EXB,C116,4.6L 4V,On starter motor/solenoid,5,A4,,,,,,1,,,
EXB,C118,3.8L,To crankshaft position (CKP) sensor,2,F6,,,,,,2,,,
EXB,C118,4.6L 2V,To crankshaft position (CKP) sensor,8,F4,,,,,,2,,,
EXB,C118,4.6L 4V,To crankshaft position (CKP) sensor,3,F5,,,,,,2,,,
EXB,C119,3.8L,RH rear of engine compartment,1,A1,,,,,NA,8,,,
EXB,C119,4.6L 2V,RH rear of engine compartment,8,B1,,,150,6,NA,8,,,
EXB,C120,3.8L,On left headlamp,1,E10,,,,,,3,,,
EXB,C120,4.6L 2V,On left headlamp,6,F7,,,,,,3,,,
EXB,C120,4.6L 4V,On left headlamp,3,F10,,,,,,3,,,
EXB,C1200,,On positive battery terminal,,,,,,,,1,,,
EXB,C1201,,On battery junction box,,,,,,,,1,,,
EXB,C1202,,On positive battery terminal,,,,,,,,1,,,
EXB,C121,3.8L,On right headlamp,1,F2,,,,,,3,,,
EXB,C121,4.6L 2V,On right headlamp,6,F3,,,,,,3,,,
EXB,C121,4.6L 4V,On right headlamp,3,E1,,,,,,3,,,
EXB,C122,3.8L,On left front park/turn lamp,2,F9,,,,,BK,3,,,
EXB,C122,4.6L 2V,On left front park/turn lamp,6,E9,,,,,BK,3,,,
EXB,C122,4.6L 4V,On left front park/turn lamp,3,F7,,,,,BK,3,,,
EXB,C123,3.8L,On right front park/turn lamp,1,E1,,,,,BK,3,,,
EXB,C123,4.6L 2V,On right front park/turn lamp,6,F2,,,,,BK,3,,,
EXB,C123,4.6L 4V,On right front park/turn lamp,3,F3,,,,,BK,3,,,
EXB,C124,4.6L 2V,On left fog lamp,6,F9,,,,,,2,,,
EXB,C124,4.6L 4V,On left fog lamp,3,F8,,,,,,2,,,
EXB,C125,4.6L 2V,On right fog lamp,6,E1,,,,,,2,,,
EXB,C125,4.6L 4V,On right fog lamp,3,F2,,,,,,2,,,
EXB,C126,3.8L,On washer pump motor,1,D10,,,,,BK,2,,,
EXB,C126,4.6L 2V,On washer pump motor,7,D9,,,,,BK,2,,,
EXB,C126,4.6L 4V,On washer pump motor,4,D10,,,,,BK,2,,,
EXB,C127,3.8L,RH front of engine compartment,3,F4,,,,,BK,4,,,
EXB,C127,4.6L,RH front of engine compartment,5,F4,,,,,BK,4,,,
EXB,C128,3.8L,On A/C high pressure cutout/fan switch,2,D1,,,,,BK,4,,,
EXB,C128,4.6L 2V,On A/C high pressure cutout/fan switch,7,F4,,,,,BK,4,,,
EXB,C128,4.6L 4V,On A/C high pressure cutout/fan switch,5,F5,,,,,BK,4,,,
EXB,C131,,LH rear of engine,1,F7,,,,,BK,8,,,
EXB,C132,,On 4R70W transmission,9,C10,,,29,5,BK,10,,,
EXB,C133,Manual,On output shaft speed sensor,9,A2,,,29,6,BK,2,,,
EXB,C133,Automatic,On output shaft speed sensor,9,E9,,,29,6,BK,2,,,
EXB,C135,3.8L,RH side of engine compartment,2,C1,,,150,6,BK,8,,,
EXB,C136,3.8L,"LH side of engine compartment, to speed control servo",2,A8,,,31,3,BK,8,,,
EXB,C136,4.6L 2V,"LH side of engine compartment, to speed control servo",6,A9,,,31,3,BK,8,,,
EXB,C136,4.6L 4V,"LH side of engine compartment, to speed control servo",5,B10,,,31,3,BK,8,,,
EXB,C137,3.8L,On low engine coolant switch,2,F7,,,,,BK,1,,,
EXB,C137,4.6L 2V,On low engine coolant switch,7,F8,,,,,BK,1,,,
EXB,C137,4.6L 4V,On low engine coolant switch,4,F5,,,,,BK,1,,,
EXB,C138,3.8L,On engine oil pressure switch,1,F8,,,,,BK,1,,,
EXB,C138,4.6L 2V,On engine oil pressure switch,8,F7,,,,,,1,,,
EXB,C138,4.6L 4V,On engine oil pressure switch,5,E10,,,,,,1,,,
EXB,C139,,RH rear of engine compartment,3,A5,,,150,7,,8,,,
EXB,C140,3.8L,RH front of engine compartment,3,F4,,,,,GY,16,,,
EXB,C140,4.6L,RH front of engine compartment,5,F4,,,,,GY,16,,,
EXB,C141,3.8L,On anti-lock brake control module,2,F3,,,42,4,,30,,,
EXB,C141,4.6L 2V,On anti-lock brake control module,6,F5,,,42,4,,30,,,
EXB,C141,4.6L 4V,On anti-lock brake control module,4,F4,,,42,4,,30,,,
EXB,C143,4.6L 2V,LH side of engine compartment,7,C9,,,,,BK,2,,,
EXB,C143,4.6L 4V,LH side of engine compartment,5,C10,,,,,BK,2,,,
EXB,C144,3.8L,"LH side of engine compartment, to left front brake sensor",2,C10,,,,,BK,2,,,
EXB,C144,4.6L 2V,"LH side of engine compartment, to left front brake sensor",6,B9,,,,,BK,2,,,
EXB,C144,4.6L 4V,"LH side of engine compartment, to left front brake sensor",4,D10,,,,,BK,2,,,
EXB,C145,3.8L,"RH side of engine compartment, to right front brake sensor",2,B1,,,,,BK,2,,,
EXB,C145,4.6L 2V,"RH side of engine compartment, to right front brake sensor",6,C1,,,,,BK,2,,,
EXB,C145,4.6L 4V,"RH side of engine compartment, to right front brake sensor",3,B1,,,,,BK,2,,,
EXB,C147,,On ignition coil,2,A6,,,,,BK,4,,,
EXB,C151,3.8L,On windshield wiper motor,1,A9,,,81,3,,5,,,
EXB,C151,4.6L 2V,On windshield wiper motor,6,A8,,,81,3,,5,,,
