EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,SORT,FREQUENCY
EXB,G102,3.8L,LH front of engine compartment,2,F8,,
EXB,G102,4.6L 2V,LH front of engine compartment,6,F8,,
EXB,G102,4.6L 4V,LH front of engine compartment,3,E10,,
EXB,G103,3.8L,RH front of engine compartment,2,E1,,
EXB,G103,4.6L 2V,RH front of engine compartment,7,E1,,
EXB,G103,4.6L 4V,RH front of engine compartment,4,F3,,
EXB,G104,3.8L,LH front of engine compartment,,,,
EXB,G104,4.6L 2V,LH front of engine compartment,,,,
EXB,G104,4.6L 4V,LH front of engine compartment,,,,
EXB,G105,3.8L,LH front of engine,1,F4,,
EXB,G105,4.6L 2V,LH front of engine,7,F5,,
EXB,G105,4.6L 4V,LH front of engine,5,F7,,
EXB,G201,,"Behind I/P, at RH cowl",10,F8,,
EXB,G203,,Behind center of I/P,11,F2,,
EXB,G204,,Behind center of I/P,11,F2,,
EXB,G205,,Behind left kick panel,10,E1,,
EXB,G300,Convertible,Below rear of center console,18,E1,,
EXB,G300,Coupe,Below rear of center console,15,E1,,
EXB,G400,Convertible,RH front of luggage compartment,18,F8,,
EXB,G400,Coupe,RH rear window pillar,15,A7,,
EXB,G402,Coupe,RH rear window pillar,14,A9,,
EXB,G402,Convertible,RH front of luggage compartment,17,A10,,
