EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EXQ,A/C Clutch Field Coil,,19703,"LH side of engine, part of A/C compressor assembly",C104,2,F7,,,,,0,0
EXQ,A/C Compressor Overtemp Indicator,,N/A,On center of I/P,C279,10,A5,,,,,0,0
EXQ,A/C Compressor Overtemp Switch,,19A945,"LH side of engine, near A/C clutch field coil",C159,2,E10,,,,,0,0
EXQ,A/C High Pressure Switch,Tilt Hood,19E561,RH front of engine,C185,6,F4,,,,,0,0
EXQ,A/C High Pressure Switch,Fixed Hood,19E561,RH front of engine,C185,8,C1,,,,,0,0
EXQ,A/C Low Pressure Switch,,19E561,"RH rear of engine compartment, on A/C accumulator",C1029,1,B1,,,,,0,0
EXQ,A/C-Heater Blower Switch,,18502,Center of I/P,C266,9,A4,54,4,54,4,0,0
EXQ,A/C-Heater Control Illumination,,N/A,"Center of I/P, above A/C-heater controls",C267,10,F5,,,,,0,0
EXQ,ABS Data Link Connector,,N/A,"Inside rear cab floor, behind passenger seat",C321,14,D1,,,,,0,0
EXQ,ABS Front Controller,,N/A,On center of front frame crossmember,C139,14,C1,,,,,0,0
EXQ,ABS Rear Controller,,N/A,"Over rear axle, attached to ABS module",C404,14,A10,,,,,0,0
EXQ,Air Dryer,,2063,"On RH frame rail, near rear of cab",C314,14,A6,,,,,0,0
EXQ,Air Intake Heater Glow Plug,,N/A,RH top of engine,C1094,17,A2,,,,,0,0
EXQ,Air Intake Heater Glow Plug,,N/A,RH top of engine,C1095,17,A2,,,,,0,0
EXQ,Air Intake Heater Glow Plug,,N/A,RH top of engine,C1096,17,A2,,,,,0,0
EXQ,Air Intake Heater Module,,N/A,RH side of engine compartment,C133,,,23,4,23,4,0,0
EXQ,Air Intake Heater Module,,N/A,RH side of engine compartment,C134,,,23,4,23,4,0,0
EXQ,Air Intake Heater Module,,N/A,RH side of engine compartment,C157,,,23,4,23,4,0,0
EXQ,Air Intake Heater Module,,N/A,RH side of engine compartment,C158,,,23,4,23,4,0,0
EXQ,Air Pressure Gauge Illumination,Cowl,N/A,"Center of I/P, near air pressure gauge",C232,,,,,,,0,0
EXQ,Air Pressure Gauge Illumination,Cab,N/A,"Center of I/P, near air pressure gauge",C280,,,,,,,0,0
EXQ,Anti-lock Brakes System (ABS) Module,,2B373,"On frame, over rear axle",C405,14,A9,42,3,42,3,0,0
EXQ,Backup Lamp Switch,Automatic,15520,Lower RH side of transmission,C328,15,B2,,,,,0,0
EXQ,Backup Lamp Switch,Automatic,15520,Lower RH side of transmission,C329,15,B2,,,,,0,0
EXQ,Backup Lamp Switch,Manual,15520,RH top of transmission,C327,15,C7,,,,,0,0
EXQ,Battery,,N/A,"On frame rail, near rear of cab",,,,,,,,0,0
EXQ,Blower Motor,LPG,19805,RH side of safety wall,C171,,,,,,,0,0
EXQ,Blower Motor,MFI,19805,RH side of safety wall,C171,2,B1,,,,,0,0
EXQ,Blower Motor,Diesel,19805,RH side of safety wall,C171,8,A1,,,,,0,0
EXQ,Blower Motor Resistor,Deluxe,19A706,"RH side of safety wall, near LH side of blower motor",C170,1,A2,,,,,0,0
EXQ,Blower Motor Resistor,Standard,18591,"RH side of safety wall, near LH side of blower motor",C1053,1,A2,,,,,0,0
EXQ,Brake Low Fluid Level Switch,,N/A,"LH rear of engine compartment, on brake fluid reservoir",C1017,3,A10,,,,,0,0
EXQ,Brake Pedal Position (BPP) Switch,Cab with Air Brakes,13480,Below LH side of I/P,C2046,9,F6,,,,,0,0
EXQ,Brake Pedal Position (BPP) Switch,Cowl with Air Brakes,13480,Below LH side of I/P,C2046,12,F7,,,,,0,0
EXQ,Brake Pedal Position (BPP) Switch,Cab with Hydraulic Brakes,13480,"Below LH side of I/P, top of brake pedal support",C288,9,F7,,,,,0,0
EXQ,Brake Pedal Position (BPP) Switch,Cowl with Hydraulic Brakes,13480,"Below LH side of I/P, top of brake pedal support",C288,12,A7,,,,,0,0
EXQ,Brake Pedal Position (BPP) Switch,Tractor,13480,Lower center rear of cab,C409,13,E2,,,,,0,0
