EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EXQ,010,001,A/C Compressor Overtemp Switch,,0,0
EXQ,010,001,Battery,,0,0
EXQ,010,001,Blower Motor Resistor,Deluxe,0,0
EXQ,010,001,Buzzer Module,,0,0
EXQ,010,001,Engine Governor Control Module,MFI,0,0
EXQ,010,001,Fuel Pump Selector Relay,,0,0
EXQ,010,001,Generator,MFI,0,0
EXQ,010,001,Hydro-max Monitor,Cab,0,0
EXQ,010,001,Hydro-max Monitor,Cowl,0,0
EXQ,010,001,Instrument Cluster,4 Gauge,0,0
EXQ,010,001,Main Light Switch Illumination,,0,0
EXQ,010,001,Powertrain Control Module (PCM),All Except Encore,0,0
EXQ,010,001,Speedometer,Cab,0,0
EXQ,010,001,Speedometer,Cowl,0,0
EXQ,010,001,Speedometer Sensor,Automatic,0,0
EXQ,010,001,Speedometer Shield,,0,0
EXQ,010,001,Warning Lamps Module,,0,0
EXQ,010,001,Wheel To Wheel Interlock Control Switch,,0,0
EXQ,010,001,Windshield Wiper Motor,Fixed Hood,0,0
EXQ,010,001,Windshield Wiper Motor,Tilt Hood,0,0
EXQ,010,002,A/C Compressor Overtemp Indicator,,0,0
EXQ,010,002,A/C-Heater Blower Switch,,0,0
EXQ,010,002,A/C-Heater Control Illumination,,0,0
EXQ,010,002,Air Pressure Gauge Illumination,Cab,0,0
EXQ,010,002,Anti-lock Brakes System (ABS) Module,,0,0
EXQ,010,002,Buzzer Module,,0,0
EXQ,010,002,C.D.R.L. Park Brake Switch,Fixed Hood,0,0
EXQ,010,002,C.D.R.L. Park Brake Switch,Tilt Hood,0,0
EXQ,010,002,Fuel Pump Selector Relay,,0,0
EXQ,010,002,Heated Oxygen Sensor (HO2S),,0,0
EXQ,010,002,Instrument Cluster,2 Gauge,0,0
EXQ,010,002,Instrument Cluster,4 Gauge,0,0
EXQ,010,002,Lamp Module,,0,0
EXQ,010,002,Main Light Switch Illumination,,0,0
EXQ,010,002,PCM Power Relay,,0,0
EXQ,010,002,Radio,,0,0
EXQ,010,002,Stop Lamp Relay,,0,0
EXQ,010,003,A/C Compressor Overtemp Indicator,,0,0
EXQ,010,003,A/C-Heater Blower Switch,,0,0
EXQ,010,003,A/C-Heater Control Illumination,,0,0
EXQ,010,003,Blower Motor Resistor,Deluxe,0,0
EXQ,010,003,Buzzer Module,,0,0
EXQ,010,003,Engine Governor Control Module,LPG,0,0
EXQ,010,003,Engine Inferred Mileage Control Module,,0,0
EXQ,010,003,Generator,LPG,0,0
EXQ,010,003,Hydro-max Monitor,Cab,0,0
EXQ,010,003,Hydro-max Monitor,Cowl,0,0
EXQ,010,003,Instrument Cluster,2 Gauge,0,0
EXQ,010,003,Instrument Cluster,4 Gauge,0,0
EXQ,010,003,Lamp Module,,0,0
EXQ,010,003,Main Light Switch Illumination,,0,0
EXQ,010,003,Radio,,0,0
EXQ,010,003,Vacuum Pump Motor,Fixed Hood,0,0
EXQ,010,003,Vacuum Pump Motor,Tilt Hood,0,0
EXQ,010,003,Warning Lamps Module,,0,0
EXQ,010,003,Wheel To Wheel Interlock Control Switch,,0,0
EXQ,010,004,A/C Compressor Overtemp Switch,,0,0
EXQ,010,004,Anti-lock Brakes System (ABS) Module,,0,0
EXQ,010,004,Buzzer Module,,0,0
EXQ,010,004,C.D.R.L. Park Brake Switch,Fixed Hood,0,0
EXQ,010,004,C.D.R.L. Park Brake Switch,Tilt Hood,0,0
EXQ,010,004,Generator,LPG,0,0
EXQ,010,004,Speedometer,Cab,0,0
EXQ,010,004,Speedometer,Cowl,0,0
EXQ,010,004,Speedometer Sensor,Automatic,0,0
EXQ,010,004,Speedometer Shield,,0,0
