EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EXQ,C100,,Lower LH corner of radiator,5,D10,,,,,2,,0,0,0
EXQ,C1001,,"LH rear of engine compartment, on windshield washer pump motor",4,B10,,,,,,2,0,0,0
EXQ,C1002,,"LH front of engine compartment, on windshield washer pump motor",1,D10,,,,,BK,2,0,0,0
EXQ,C1003,,"LH side of safety wall, on oil pressure switch",6,A7,,,,,,,0,0,0
EXQ,C1004,,"Front of LH fender apron, on high pitch horn",1,D10,,,,,,1,0,0,0
EXQ,C1006,,"Front of LH engine compartment, on low pitch horn",1,F8,,,,,,1,0,0,0
EXQ,C1008,,"Top RH side of engine, on back of generator",2,F5,,,,,,1,0,0,0
EXQ,C1009,,"Top LH side of engine, on ignition coil",3,A6,,,,,BK,2,0,0,0
EXQ,C101,,Lower RH side of engine compartment at cowl panel,,,150,13,150,13,,16,0,0,0
EXQ,C1010,,"Top of engine, on distributor",3,F7,,,,,BK,3,0,0,0
EXQ,C1012,,RH side of engine compartment,2,A4,150,10,150,10,BR,8,0,0,0
EXQ,C1015,5.9L Diesel,"In engine compartment, on coolant temperature switch",5,F5,,,,,BK,1,0,0,0
EXQ,C1015,8.3L Diesel,"In engine compartment, on coolant temperature switch",8,B1,,,,,BK,1,0,0,0
EXQ,C1016,,"RH side of engine compartment, on SPOUT test connector",,,,,,,BK,2,0,0,0
EXQ,C1017,,"LH rear of engine compartment, on brake fluid reservoir",3,A10,,,,,N,2,0,0,0
EXQ,C102,Fixed Hood,"Center of safety wall, on windshield wiper motor",2,A6,,,,,BK,6,0,0,0
EXQ,C102,Tilt Hood,"Center of safety wall, on windshield wiper motor",5,A6,,,,,BK,6,0,0,0
EXQ,C1020,Diesel,On oil pressure sensor,7,A7,,,,,R,1,0,0,0
EXQ,C1020,LPG,On oil pressure sensor,4,A6,,,,,R,1,0,0,0
EXQ,C1020,MFI,On oil pressure sensor,1,A6,,,,,R,1,0,0,0
EXQ,C1021,5.9L Diesel,"In engine compartment, on coolant temperature sensor",6,F7,,,,,R,1,0,0,0
EXQ,C1021,8.3L Diesel,"In engine compartment, near coolant temperature switch",7,A4,,,,,R,1,0,0,0
EXQ,C1021,LPG,"In engine compartment, on coolant temperature sensor",3,A8,,,,,R,1,0,0,0
EXQ,C1021,MFI,"In engine compartment, on coolant temperature sensor",1,F6,,,,,BK,1,0,0,0
EXQ,C1021,Encore,"In engine compartment, on coolant temperature sensor",17,B9,,,,,BK,1,0,0,0
EXQ,C1022,,"LH rear of engine compartment, on hydro-max relay",3,A10,47,2,47,2,,2,0,0,0
EXQ,C1023,,"LH rear of engine compartment, on hydro-max flow switch and motor",3,B10,,,,,,1,0,0,0
EXQ,C1024,,"LH rear of engine compartment, on hydro-max flow switch and motor",3,B10,,,,,,1,0,0,0
EXQ,C1025,,"Front of LH fender apron, on high pitch horn",1,D10,,,,,BK,1,0,0,0
EXQ,C1026,,"LH front of engine compartment, on low pitch horn",1,F8,,,,,BK,1,0,0,0
EXQ,C1027,Fixed Hood,"Top of engine, on throttle position switch",8,A6,,,,,BK,2,0,0,0
EXQ,C1027,Tilt Hood,"Top of engine, on throttle position switch",6,A10,,,,,BK,2,0,0,0
EXQ,C1029,,"RH rear of engine compartment, on A/C low pressure switch",1,B1,,,,,BK,1,0,0,0
EXQ,C1030,,"Center rear of engine compartment, on vacuum pump in-line fuse",,,,,,,,2,0,0,0
EXQ,C1031,Fixed Hood,"Center of safety wall, on vacuum pump",3,F3,,,,,,3,0,0,0
EXQ,C1031,Tilt Hood,"Center of safety wall, on vacuum pump",4,E1,,,,,,3,0,0,0
EXQ,C1032,,RH side of engine compartment,2,A4,150,10,150,10,BK,8,0,0,0
EXQ,C1033,,"RH rear of engine, on manifold absolute pressure (MAP) sensor",1,A3,,,,,BK,3,0,0,0
EXQ,C1034,,"LH rear of engine compartment, on governor servo",,,25,11,25,11,BK,10,0,0,0
EXQ,C1035,,"RH side of engine, on evaporative emission canister purge solenoid no. 1",1,A5,,,,,BK,2,0,0,0
EXQ,C1036,,"RH side of engine, on evaporative emission canister purge solenoid no. 2",1,A4,,,,,BK,2,0,0,0
EXQ,C1037,,"Top of engine, on fuel injector no. 1",1,A5,,,,,BK,2,0,0,0
EXQ,C1038,,"Top of engine, on fuel injector no. 2",1,A5,,,,,BK,2,0,0,0
EXQ,C1039,,"Top of engine, on fuel injector no. 3",1,A5,,,,,BK,2,0,0,0
EXQ,C104,,"LH side of engine, near A/C clutch field coil",2,D10,,,,,,2,0,0,0
EXQ,C1040,,"Top of engine, on fuel injector no. 4",1,A5,,,,,BK,2,0,0,0
EXQ,C1041,,"Top of engine, on fuel injector no. 5",1,A5,,,,,BK,2,0,0,0
EXQ,C1042,,"Top of engine, on fuel injector no. 6",1,A5,,,,,BK,2,0,0,0
EXQ,C1043,,"Top of engine, on fuel injector no. 7",1,A5,,,,,BK,2,0,0,0
EXQ,C1044,,"Top of engine, on fuel injector no. 8",1,A5,,,,,BK,2,0,0,0
EXQ,C1045,,"Top of engine, on idle air control (IAC) solenoid",1,F7,,,,,BK,2,0,0,0
EXQ,C1046,,"LH side of engine, on secondary air injection solenoid (AIRD)",2,C10,,,,,BK,2,0,0,0
EXQ,C1047,,"LH side of engine, on EGR control solenoid",2,A9,,,,,BK,2,0,0,0
EXQ,C1048,,"LH side of engine, on secondary air injection solenoid (AIRB)",2,B10,,,,,BK,2,0,0,0
EXQ,C1049,,"Top of engine, on throttle position (TP) sensor",2,A6,,,,,BK,3,0,0,0
EXQ,C105,,RH rear of engine compartment,3,C1,150,1,150,1,,4,0,0,0
EXQ,C1050,,"Top rear of engine, on EGR valve position (EVP) sensor",2,A8,,,,,,4,0,0,0
EXQ,C1051,,"Top center of engine compartment, on engine coolant temperature (ECT) sensor",2,F6,,,,,BR,2,0,0,0
EXQ,C1052,,"Top center of engine, on intake air temperature (IAT) sensor",2,D1,,,,,BK,2,0,0,0
EXQ,C1053,,"RH side of safety wall, on blower motor resistor",1,A2,,,,,BK,3,0,0,0
EXQ,C1054,Diesel with Fixed Hood,"LH side of engine compartment, on starter relay",,,,,,,,1,0,0,0
EXQ,C1054,LPG with Fixed Hood,"LH side of engine compartment, on starter relay",3,D10,,,,,,1,0,0,0
EXQ,C1054,MFI with Fixed Hood,"LH side of engine compartment, on starter relay",1,A10,,,,,,1,0,0,0
EXQ,C1054,Tilt Hood,"LH side of engine compartment, on starter relay",5,A8,,,,,,1,0,0,0
EXQ,C1055,Diesel with Fixed Hood,"LH side of engine compartment, on starter relay",,,,,,,BK,1,0,0,0
EXQ,C1055,LPG with Fixed Hood,"LH side of engine compartment, on starter relay",3,D10,,,,,BK,1,0,0,0
EXQ,C1055,MFI with Fixed Hood,"LH side of engine compartment, on starter relay",1,A10,,,,,BK,1,0,0,0
EXQ,C1055,Tilt Hood,"LH side of engine compartment, on starter relay",5,A8,,,,,BK,1,0,0,0
EXQ,C1056,Diesel with Fixed Hood,"LH side of engine compartment, on starter relay",,,,,,,,1,0,0,0
EXQ,C1056,LPG with Fixed Hood,"LH side of engine compartment, on starter relay",3,D10,,,,,,1,0,0,0
EXQ,C1056,MFI with Fixed Hood,"LH side of engine compartment, on starter relay",1,A10,,,,,,1,0,0,0
EXQ,C1056,Tilt Hood,"LH side of engine compartment, on starter relay",5,A8,,,,,,1,0,0,0
EXQ,C1057,,"Lower rear of engine, on starter motor",6,A6,,,,,,1,0,0,0
EXQ,C1058,,"Lower rear of engine, on starter motor",6,A6,,,,,,1,0,0,0
EXQ,C1059,,"Lower rear of engine, on starter motor",6,A6,,,,,,1,0,0,0
EXQ,C106,,RH rear of engine compartment,3,C1,150,1,150,1,BK,2,0,0,0
EXQ,C1060,,LH rear of engine compartment,,,,,,,,,0,0,0
EXQ,C1061,,"Top LH side of engine, on electric start assist valve",3,A5,,,,,,1,0,0,0
EXQ,C1062,,On RH side of engine,,,,,,,,2,0,0,0
EXQ,C1066,,"Top RH side of engine, on back of generator",4,F5,,,,,,1,0,0,0
EXQ,C107,,LH rear of engine compartment,1,B10,150,1,150,1,BK,16,0,0,0
EXQ,C1070,,Near battery,,,,,,,,1,0,0,0
EXQ,C108,,LH rear of engine compartment,1,B10,150,1,150,1,BK,16,0,0,0
EXQ,C109,,"LH side of safety wall, on ether valve",,,,,,,,2,0,0,0
EXQ,C1090,,RH side of transmission on engine speed sensor,,,,,,,,2,0,0,0
EXQ,C1091,,RH side of transmission on ouput speed sensor,,,,,,,,2,0,0,0
EXQ,C1092,,"Rear of engine, near starter motor",,,,,,,,2,0,0,0
EXQ,C1093,,On electronic allison transmission,,,29,8,29,8,,31,0,0,0
EXQ,C1094,,RH top of engine compartment on air intake heater glow plug,17,A2,,,,,,3,0,0,0
EXQ,C1095,,RH top of engine compartment on air intake heater glow plug,17,A2,,,,,,3,0,0,0
EXQ,C1096,,RH top of engine compartment on air intake heater glow plug,17,A2,,,,,,3,0,0,0
EXQ,C110,,"Taped to harness, near ether valve",,,,,,,,2,0,0,0
EXQ,C111,,"Top of engine, near temperature switch",7,F6,,,,,BK,2,0,0,0
EXQ,C112,,"RH side of engine compartment, near ignition control module(ICM)",3,F4,,,,,BK,3,0,0,0
EXQ,C113,,"RH side of engine compartment, near ignition control module(ICM)",3,F4,,,,,BK,3,0,0,0
EXQ,C114,,"Front of engine compartment, near generator",3,A4,,,,,,4,0,0,0
EXQ,C115,,RH side of engine,,,,,,,,2,0,0,0
EXQ,C116,,Lower RH side of engine compartment at cowl panel,,,150,12,150,12,,8,0,0,0
EXQ,C117,,Lower RH side of engine compartment at cowl panel,,,150,13,151,13,,16,0,0,0
EXQ,C118,,Lower RH side of engine compartment at cowl panel,,,,,,,,4,0,0,0
EXQ,C119,,RH side rear of engine compartment at customer access,,,26,8,26,8,,9,0,0,0
EXQ,C120,Fixed Hood,LH rear of engine compartment,3,C10,150,2,150,2,BK,16,0,0,0
EXQ,C120,Tilt Hood,LH rear of engine compartment,4,C10,150,2,150,2,BK,16,0,0,0
EXQ,C121,Encore,"RH side of engine compartment, powertrain control module",17,A4,26,6,26,6,,50,0,0,0
EXQ,C122,,"RH side of engine compartment, on water in fuel sensor",,,,,,,,2,0,0,0
EXQ,C123,,RH top of engine on fuel filter heater,,,,,,,,2,0,0,0
EXQ,C124,,RH side of engine compartment,7,A4,,,,,BK,1,0,0,0
EXQ,C125,,RH side of engine,,,,,,,,2,0,0,0
EXQ,C126,,RH side of engine,,,,,,,,1,0,0,0
EXQ,C127,,RH rear of engine compartment,17,A6,26,7,26,7,,16,0,0,0
EXQ,C128,,RH top of engine,,,,,,,,1,0,0,0
EXQ,C129,,"RH side of engine, near transmission",,,,,,,,2,0,0,0
EXQ,C130,Diesel with Tilt Hood,LH front of engine compartment,5,D10,150,2,150,2,,16,0,0,0
EXQ,C130,LPG with Tilt hood,LH front of engine compartment,4,D10,150,2,150,2,,16,0,0,0
EXQ,C130,MFI with Tilt Hood,LH front of engine compartment,,,150,2,150,2,,16,0,0,0
EXQ,C131,,RH top of engine,,,,,,,,1,0,0,0
EXQ,C132,,"LH side of transmission, near park/neutral position switch",15,D3,,,,,BK,2,0,0,0
EXQ,C133,,RH side of engine compartment,,,23,4,23,4,,6,0,0,0
EXQ,C134,,RH side of engine compartment,,,,,,,,2,0,0,0
EXQ,C135,Diesel,RH rear of engine compartment,,,,,,,GY,4,0,0,0
EXQ,C135,LPG,RH rear of engine compartment,,,,,,,GY,4,0,0,0
EXQ,C135,MFI,RH rear of engine compartment,2,B1,,,,,GY,4,0,0,0
EXQ,C135,Encore,RH rear of engine compartment,17,F5,,,,,GY,4,0,0,0
EXQ,C137,,"On engine, near ignition coil",1,C10,,,,,,1,0,0,0
EXQ,C139,,On center of front frame crossmember,14,C1,,,,,,3,0,0,0
EXQ,C140,,Near LH front wheel speed sensor,14,F4,,,,,,2,0,0,0
EXQ,C141,,Near RH front wheel speed sensor,14,F2,,,,,,2,0,0,0
EXQ,C142,,Left rear of engine compartment,1,A8,150,4,150,4,,8,0,0,0
EXQ,C150,,LH front of engine compartment,6,F8,,,,,,2,0,0,0
EXQ,C153,,RH rear of engine compartment,,,,,,,BR,1,0,0,0
EXQ,C154,Diesel,"Top RH side of engine, on generator",8,F6,,,,,BK,3,0,0,0
EXQ,C154,LPG,"Top RH side of engine, on generator",4,F5,,,,,BK,3,0,0,0
EXQ,C154,MFI,"Top RH side of engine, on generator",2,F5,,,,,BK,3,0,0,0
EXQ,C156,Diesel,"Top RH side of engine, on generator",8,F6,,,,,W,3,0,0,0
EXQ,C156,LPG,"Top RH side of engine, on generator",4,F5,,,,,W,3,0,0,0
EXQ,C156,MFI,"Top RH side of engine, on generator",2,F4,,,,,W,3,0,0,0
EXQ,C157,,RH side of engine compartment,,,23,4,23,4,,6,0,0,0
EXQ,C158,,RH side of engine compartment,,,,,,,,2,0,0,0
EXQ,C159,,"LH side of engine, near A/C compressor overtemp switch",2,C10,,,,,,4,0,0,0
EXQ,C160,Fixed Hood,"LH rear of engine compartment, on C.D.R.L. park brake switch",3,A9,,,,,,2,0,0,0
EXQ,C160,Tilt Hood,"LH rear of engine compartment, on C.D.R.L. park brake switch",4,A8,,,,,,2,0,0,0
EXQ,C161,,"Center rear of engine, on tachometer sensor",6,A5,,,,,BK,2,0,0,0
EXQ,C162,Fixed Hood,"RH front of vehicle, on right headlamp",1,F3,,,,,GY,3,0,0,0
EXQ,C162,Tilt Hood,"RH front of vehicle, on right headlamp",5,E1,,,,,GY,3,0,0,0
EXQ,C163,LPG with Fixed Hood,"Top of fender, near right front fender park/turn lamp",,,,,,,BK,4,0,0,0
EXQ,C163,Diesel with Fixed Hood,"Top of fender, near right front fender park/turn lamp",8,E1,,,,,BK,4,0,0,0
EXQ,C163,MFI with Fixed Hood,"Top of fender, near right front fender park/turn lamp",1,F3,,,,,BK,4,0,0,0
EXQ,C163,Tilt Hood,"Top of fender, near right front fender turn lamp",5,F3,,,,,BK,2,0,0,0
EXQ,C164,Diesel,"RH fender, on right side marker lamp",8,D1,,,,,,2,0,0,0
EXQ,C164,LPG,"RH fender, on right side marker lamp",,,,,,,,2,0,0,0
EXQ,C164,MFI,"RH fender, on right side marker lamp",1,E1,,,,,,2,0,0,0
EXQ,C165,Fixed Hood,"Front of vehicle, on right front park/turn lamp",1,F4,,,,,,3,0,0,0
EXQ,C165,Tilt Hood,"Front of vehicle, on right front park/turn lamp",5,E1,,,,,,3,0,0,0
EXQ,C166,Fixed Hood,"Front of engine compartment, on low coolant level sensor",7,F7,,,,,BK,2,0,0,0
EXQ,C166,Tilt Hood,"Front of engine compartment, on low coolant level sensor",5,F6,,,,,BK,2,0,0,0
EXQ,C167,,"Center of safety wall, on fan clutch timer",5,A5,33,4,33,4,,5,0,0,0
EXQ,C170,,"RH side of safety wall, on blower motor resistor",1,A2,,,,,BK,4,0,0,0
EXQ,C171,Diesel,"RH side of safety wall, on blower motor",8,A2,,,,,,,0,0,0
EXQ,C171,LPG,"RH side of safety wall, on blower motor",,,,,,,BK,2,0,0,0
EXQ,C171,MFI,"RH side of safety wall, on blower motor",2,C1,,,,,BK,2,0,0,0
EXQ,C173,,"RH rear of engine compartment, near grommet",,,,,,,BK,4,0,0,0
EXQ,C174,,"RH rear of engine compartment, near kick panel",1,D1,,,,,BK,4,0,0,0
EXQ,C175,,Near heated oxygen sensor (HO2S),,,,,,,BK,4,0,0,0
EXQ,C176,Diesel with Fixed Hood,"LH front of vehicle, near left front fender park/turn lamp",8,C10,,,,,BK,4,0,0,0
EXQ,C176,LPG with Fixed Hood,"LH front of vehicle, near left front fender park/turn lamp",,,,,,,BK,4,0,0,0
EXQ,C176,MFI with Fixed Hood,"LH front of vehicle, near left front fender park/turn lamp",1,E10,,,,,BK,4,0,0,0
EXQ,C176,Tilt Hood,"LH front of vehicle, near left front turn lamp",5,F10,,,,,BK,2,0,0,0
EXQ,C177,Fixed Hood,"LH front of vehicle, on left headlamp",1,F10,,,,,GY,3,0,0,0
EXQ,C177,Tilt Hood,"LH front of vehicle, on left headlamp",5,E10,,,,,GY,3,0,0,0
EXQ,C178,Fixed Hood,"Front of vehicle, on left front park/turn lamp",1,F9,,,,,,3,0,0,0
EXQ,C178,Tilt Hood,"Front of vehicle, on left front park/turn lamp",5,E10,,,,,GY,3,0,0,0
EXQ,C179,Diesel,"LH fender, on left side marker lamp",8,D10,,,,,,2,0,0,0
EXQ,C179,LPG,"LH fender, on left side marker lamp",,,,,,,,2,0,0,0
EXQ,C179,MFI,"LH fender, on left side marker lamp",1,E10,,,,,,2,0,0,0
EXQ,C180,,"Near battery, connects to negative battery terminal harness",14,A5,,,,,BK,2,0,0,0
EXQ,C182,Fixed Hood,"Top center of engine, on fuel shutoff solenoid",8,A9,,,,,,3,0,0,0
EXQ,C182,Tilt Hood,"Top center of engine, on fuel shutoff solenoid",6,D10,,,,,,3,0,0,0
EXQ,C183,,"On frame rail, near exhaust brake control solenoid",14,F7,,,,,BK,2,0,0,0
EXQ,C184,,"In engine compartment, near fan clutch solenoid",8,A8,,,,,,2,0,0,0
