EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EXQ,010,001,C102,Fixed Hood,0,0
EXQ,010,001,C102,Tilt Hood,0,0
EXQ,010,001,C105,,0,0
EXQ,010,001,C1066,,0,0
EXQ,010,001,C108,,0,0
EXQ,010,001,C135,MFI,0,0
EXQ,010,001,C142,,0,0
EXQ,010,001,C159,,0,0
EXQ,010,001,C170,,0,0
EXQ,010,001,C174,,0,0
EXQ,010,001,C180,,0,0
EXQ,010,001,C2009,,0,0
EXQ,010,001,C202,,0,0
EXQ,010,001,C2034,,0,0
EXQ,010,001,C213,4 Gauge,0,0
EXQ,010,001,C215,,0,0
EXQ,010,001,C261,MFI,0,0
EXQ,010,001,C262,MFI,0,0
EXQ,010,001,C263,,0,0
EXQ,010,001,C264,,0,0
EXQ,010,001,C268,,0,0
EXQ,010,001,C269,Cab,0,0
EXQ,010,001,C269,Cowl,0,0
EXQ,010,001,C272,,0,0
EXQ,010,001,C273,,0,0
EXQ,010,001,C274,Cab,0,0
EXQ,010,001,C274,Cowl,0,0
EXQ,010,001,C284,,0,0
EXQ,010,001,C293,,0,0
EXQ,010,001,C330,Manual,0,0
EXQ,010,001,C330,Automatic,0,0
EXQ,010,001,C331,,0,0
EXQ,010,002,C160,Fixed Hood,0,0
EXQ,010,002,C160,Tilt Hood,0,0
EXQ,010,002,C173,,0,0
EXQ,010,002,C175,,0,0
EXQ,010,002,C201,,0,0
EXQ,010,002,C202,,0,0
EXQ,010,002,C2102,,0,0
EXQ,010,002,C213,4 Gauge,0,0
EXQ,010,002,C214,2 Gauge,0,0
EXQ,010,002,C215,,0,0
EXQ,010,002,C257,,0,0
EXQ,010,002,C266,,0,0
EXQ,010,002,C267,,0,0
EXQ,010,002,C268,,0,0
EXQ,010,002,C271,,0,0
EXQ,010,002,C272,,0,0
EXQ,010,002,C279,,0,0
EXQ,010,002,C280,,0,0
EXQ,010,002,C282,,0,0
EXQ,010,002,C305,,0,0
EXQ,010,002,C401,,0,0
EXQ,010,002,C405,,0,0
EXQ,010,003,C1031,Tilt Hood,0,0
EXQ,010,003,C1031,Fixed Hood,0,0
EXQ,010,003,C105,,0,0
EXQ,010,003,C1066,,0,0
EXQ,010,003,C120,Fixed Hood,0,0
EXQ,010,003,C120,Tilt Hood,0,0
EXQ,010,003,C170,,0,0
EXQ,010,003,C2016,,0,0
EXQ,010,003,C202,,0,0
EXQ,010,003,C2034,,0,0
EXQ,010,003,C2041,LPG,0,0
EXQ,010,003,C2102,,0,0
EXQ,010,003,C213,4 Gauge,0,0
EXQ,010,003,C214,2 Gauge,0,0
EXQ,010,003,C215,,0,0
EXQ,010,003,C257,,0,0
EXQ,010,003,C264,,0,0
EXQ,010,003,C266,,0,0
EXQ,010,003,C267,,0,0
EXQ,010,003,C268,,0,0
EXQ,010,003,C274,Cab,0,0
EXQ,010,003,C274,Cowl,0,0
EXQ,010,003,C279,,0,0
EXQ,010,003,C293,,0,0
EXQ,010,004,C102,Fixed Hood,0,0
EXQ,010,004,C102,Tilt Hood,0,0
EXQ,010,004,C1031,Tilt Hood,0,0
EXQ,010,004,C1031,Fixed Hood,0,0
EXQ,010,004,C1066,,0,0
EXQ,010,004,C108,,0,0
EXQ,010,004,C120,Fixed Hood,0,0
EXQ,010,004,C120,Tilt Hood,0,0
EXQ,010,004,C135,LPG,0,0
EXQ,010,004,C159,,0,0
EXQ,010,004,C160,Fixed Hood,0,0
EXQ,010,004,C160,Tilt Hood,0,0
EXQ,010,004,C201,,0,0
EXQ,010,004,C215,,0,0
EXQ,010,004,C269,Cab,0,0
EXQ,010,004,C269,Cowl,0,0
EXQ,010,004,C271,,0,0
EXQ,010,004,C305,,0,0
EXQ,010,004,C330,Manual,0,0
EXQ,010,004,C330,Automatic,0,0
EXQ,010,004,C331,,0,0
EXQ,010,004,C401,,0,0
EXQ,010,004,C405,,0,0
EXQ,010,005,C102,Fixed Hood,0,0
EXQ,010,005,C102,Tilt Hood,0,0
EXQ,010,005,C108,,0,0
EXQ,010,005,C120,Fixed Hood,0,0
EXQ,010,005,C120,Tilt Hood,0,0
EXQ,010,005,C160,Fixed Hood,0,0
EXQ,010,005,C160,Tilt Hood,0,0
EXQ,010,005,C161,,0,0
EXQ,010,005,C201,,0,0
EXQ,010,005,C215,,0,0
EXQ,010,005,C268,,0,0
EXQ,010,005,C269,Cab,0,0
EXQ,010,005,C271,,0,0
EXQ,010,005,C305,,0,0
EXQ,010,005,C330,Manual,0,0
EXQ,010,005,C330,Automatic,0,0
EXQ,010,005,C331,,0,0
EXQ,010,005,C401,,0,0
EXQ,010,005,C405,,0,0
EXQ,010,006,C105,,0,0
EXQ,010,006,C170,,0,0
EXQ,010,006,C202,,0,0
EXQ,010,006,C2034,,0,0
EXQ,010,006,C2102,,0,0
EXQ,010,006,C211,,0,0
EXQ,010,006,C213,4 Gauge,0,0
EXQ,010,006,C214,2 Gauge,0,0
EXQ,010,006,C241,Cab,0,0
EXQ,010,006,C241,Cowl,0,0
EXQ,010,006,C257,,0,0
EXQ,010,006,C264,,0,0
EXQ,010,006,C266,,0,0
EXQ,010,006,C267,,0,0
EXQ,010,006,C275,,0,0
EXQ,010,006,C279,,0,0
EXQ,010,006,C287,Cab,0,0
EXQ,010,006,C287,Cowl,0,0
EXQ,010,006,C293,,0,0
EXQ,010,007,C102,Fixed Hood,0,0
EXQ,010,007,C102,Tilt Hood,0,0
EXQ,010,007,C108,,0,0
EXQ,010,007,C120,Fixed Hood,0,0
EXQ,010,007,C120,Tilt Hood,0,0
EXQ,010,007,C161,,0,0
EXQ,010,007,C268,,0,0
EXQ,010,007,C269,Cab,0,0
EXQ,010,007,C274,Cab,0,0
EXQ,010,007,C330,Manual,0,0
EXQ,010,007,C330,Automatic,0,0
EXQ,010,007,C331,,0,0
EXQ,010,008,C105,,0,0
EXQ,010,008,C170,,0,0
EXQ,010,008,C202,,0,0
