EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,SORT,FREQUENCY
EXQ,G102,,"LH side of engine compartment, near starter relay",2,A10,0,0
EXQ,G103,,On starter motor relay,,,0,0
EXQ,G106,,Top of flywheel housing,,,0,0
EXQ,G107,,RH front of engine compartment,5,F4,0,0
EXQ,G108,,Top of flywheel housing,8,A5,0,0
EXQ,G109,,"RH safety wall, near heater box",5,A4,0,0
EXQ,G110,Diesel with Tilt Hood,"RH safety wall, near heater box",6,A3,0,0
EXQ,G110,Fixed Hood,"RH safety wall, near heater box",2,A3,0,0
EXQ,G110,LPG with Tilt Hood,"RH safety wall, near heater box",4,A4,0,0
EXQ,G110,MFI with Tilt Hood,"RH safety wall, near heater box",,,0,0
EXQ,G111,Fixed Hood,"LH rear of engine compartment, on safety wall",7,A8,0,0
EXQ,G111,Tilt Hood,"LH rear of engine compartment, on safety wall",6,A8,0,0
EXQ,G113,,"RH frame, near engine",13,C1,0,0
EXQ,G116,,RH rear of engine compartment,2,A1,0,0
EXQ,G117,,RH side of safety wall,2,A1,0,0
EXQ,G118,,Near transmission,,,0,0
EXQ,G120,,RH side of engine at safety wall,17,F6,0,0
EXQ,G121,,RH side of engine at safety wall,17,F6,0,0
EXQ,G200,,"Under LH side of I/P, near brake pedal support",11,E10,0,0
EXQ,G202,,"Behind center of I/P, left of radio",9,A5,0,0
EXQ,G205,,Behind LH cowl panel,13,F8,0,0
EXQ,G206,,Behind RH cowl panel,,,0,0
EXQ,G207,,Behind LH side of I/P,9,A7,0,0
EXQ,G210,,"Below LH side of I/P, near T/P to C276",10,A7,0,0
EXQ,G212,,"Rear axle harness, near T/O to C218",,,0,0
EXQ,G216,,Behind right side of I/P,9,A2,0,0
EXQ,G302,,"On LH frame rail, above fuel tank",,,0,0
EXQ,G304,,"Front of frame rail, near battery",13,B1,0,0
EXQ,G305,,Lower LH rear of cab,13,E7,0,0
EXQ,G306,,"Right frame rail, near battery",14,A4,0,0
EXQ,G308,,Attached to chassis near the electronic control unit,16,F8,0,0
EXQ,G400,,"On LH frame rail, near two speed axle selector motor",13,C10,0,0
EXQ,G401,,Attached to ABS controller housing,14,A7,0,0
EXQ,G404,,"On LH frame rail, near rear axle",14,F8,0,0
