EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EXQ,010,001,G110,Fixed Hood,0,0
EXQ,010,001,G110,MFI with Tilt Hood,0,0
EXQ,010,001,G111,Fixed Hood,0,0
EXQ,010,001,G111,Tilt Hood,0,0
EXQ,010,001,G116,,0,0
EXQ,010,001,G117,,0,0
EXQ,010,001,G216,,0,0
EXQ,010,001,G306,,0,0
EXQ,010,002,G210,,0,0
EXQ,010,002,G401,,0,0
EXQ,010,003,G110,Fixed Hood,0,0
EXQ,010,003,G110,LPG with Tilt Hood,0,0
EXQ,010,003,G210,,0,0
EXQ,010,004,G111,Fixed Hood,0,0
EXQ,010,004,G111,Tilt Hood,0,0
EXQ,010,004,G401,,0,0
EXQ,010,005,G111,Fixed Hood,0,0
EXQ,010,005,G111,Tilt Hood,0,0
EXQ,010,005,G401,,0,0
EXQ,010,006,G110,Fixed Hood,0,0
EXQ,010,006,G110,Diesel with Tilt Hood,0,0
EXQ,010,006,G110,MFI with Tilt Hood,0,0
EXQ,010,006,G110,LPG with Tilt Hood,0,0
EXQ,010,006,G210,,0,0
EXQ,010,007,G111,Fixed Hood,0,0
EXQ,010,007,G111,Tilt Hood,0,0
EXQ,010,007,G210,,0,0
EXQ,010,008,G110,Fixed Hood,0,0
EXQ,010,008,G110,Diesel with Tilt Hood,0,0
EXQ,010,008,G110,MFI with Tilt Hood,0,0
EXQ,010,008,G110,LPG with Tilt Hood,0,0
EXQ,010,009,G110,Fixed Hood,0,0
EXQ,010,009,G110,Diesel with Tilt Hood,0,0
EXQ,010,009,G110,MFI with Tilt Hood,0,0
EXQ,010,009,G110,LPG with Tilt Hood,0,0
EXQ,010,009,G111,Fixed Hood,0,0
EXQ,010,009,G111,Tilt Hood,0,0
EXQ,010,009,G200,,0,0
EXQ,010,009,G103,,0,0
EXQ,010,009,G401,,0,0
EXQ,010,012,G108,,0,0
EXQ,010,012,G109,,0,0
EXQ,010,012,G113,,0,0
EXQ,010,013,G304,,0,0
EXQ,010,014,G202,,0,0
EXQ,010,014,G302,,0,0
EXQ,010,017,G120,,0,0
EXQ,010,017,G121,,0,0
EXQ,010,017,G108,,0,0
EXQ,010,017,G109,,0,0
EXQ,010,017,G113,,0,0
EXQ,010,017,G306,,0,0
EXQ,010,018,G401,,0,0
EXQ,010,019,G110,Diesel with Tilt Hood,0,0
EXQ,010,019,G110,Fixed Hood,0,0
EXQ,010,019,G111,Tilt Hood,0,0
EXQ,010,019,G111,Fixed Hood,0,0
EXQ,010,020,G210,,0,0
EXQ,010,022,G110,Diesel with Tilt Hood,0,0
EXQ,010,022,G110,Fixed Hood,0,0
EXQ,010,022,G111,Tilt Hood,0,0
EXQ,010,022,G111,Fixed Hood,0,0
EXQ,010,022,G210,,0,0
EXQ,012,001,G108,,0,0
EXQ,012,001,G304,,0,0
EXQ,012,003,G108,,0,0
EXQ,012,003,G304,,0,0
EXQ,012,004,G110,Fixed Hood,0,0
EXQ,012,004,G110,Diesel with Tilt Hood,0,0
EXQ,012,004,G110,MFI with Tilt Hood,0,0
EXQ,012,004,G110,LPG with Tilt Hood,0,0
EXQ,012,004,G111,Fixed Hood,0,0
EXQ,012,004,G111,Tilt Hood,0,0
EXQ,012,005,G110,Fixed Hood,0,0
EXQ,012,005,G110,MFI with Tilt Hood,0,0
EXQ,012,005,G110,LPG with Tilt Hood,0,0
EXQ,012,005,G111,Fixed Hood,0,0
EXQ,012,005,G111,Tilt Hood,0,0
EXQ,012,005,G304,,0,0
EXQ,013,001,G304,,0,0
EXQ,013,007,G103,,0,0
EXQ,013,007,G304,,0,0
EXQ,013,013,G304,,0,0
EXQ,013,023,G304,,0,0
EXQ,020,001,G109,,0,0
EXQ,020,001,G304,,0,0
EXQ,020,004,G210,,0,0
EXQ,020,004,G304,,0,0
EXQ,020,005,G109,,0,0
EXQ,020,005,G304,,0,0
EXQ,020,007,G304,,0,0
EXQ,020,008,G304,,0,0
EXQ,020,008,G111,Fixed Hood,0,0
EXQ,020,008,G111,Tilt Hood,0,0
EXQ,023,001,G108,,0,0
EXQ,023,001,G110,Diesel with Tilt Hood,0,0
EXQ,023,002,G109,,0,0
EXQ,023,003,G109,,0,0
EXQ,024,001,G110,Fixed Hood,0,0
EXQ,024,001,G110,LPG with Tilt Hood,0,0
EXQ,025,001,G116,,0,0
EXQ,025,001,G210,,0,0
EXQ,025,001,G306,,0,0
EXQ,025,002,G216,,0,0
EXQ,025,005,G216,,0,0
EXQ,025,006,G111,Fixed Hood,0,0
EXQ,025,006,G111,Tilt Hood,0,0
EXQ,025,006,G304,,0,0
EXQ,026,001,G306,,0,0
EXQ,026,003,G306,,0,0
EXQ,026,003,G210,,0,0
EXQ,026,004,G111,Fixed Hood,0,0
EXQ,026,004,G111,Tilt Hood,0,0
EXQ,026,004,G210,,0,0
EXQ,026,004,G306,,0,0
EXQ,026,005,G120,,0,0
EXQ,026,005,G106,,0,0
EXQ,026,005,G121,,0,0
EXQ,029,003,G118,,0,0
EXQ,029,003,G308,,0,0
EXQ,033,001,G110,Fixed Hood,0,0
EXQ,033,001,G110,Diesel with Tilt Hood,0,0
EXQ,033,001,G110,MFI with Tilt Hood,0,0
EXQ,033,001,G110,LPG with Tilt Hood,0,0
EXQ,033,002,G113,,0,0
EXQ,033,003,G110,Fixed Hood,0,0
EXQ,033,003,G110,Diesel with Tilt Hood,0,0
EXQ,033,003,G110,MFI with Tilt Hood,0,0
EXQ,033,003,G110,LPG with Tilt Hood,0,0
EXQ,033,003,G113,,0,0
EXQ,035,001,G111,Fixed Hood,0,0
EXQ,035,001,G111,Tilt Hood,0,0
EXQ,035,001,G212,,0,0
EXQ,035,001,G400,,0,0
EXQ,035,002,G111,Fixed Hood,0,0
EXQ,035,002,G111,Tilt Hood,0,0
EXQ,035,002,G400,,0,0
EXQ,036,001,G207,,0,0
EXQ,038,001,G210,,0,0
EXQ,038,001,G404,,0,0
EXQ,039,001,G109,,0,0
EXQ,039,001,G210,,0,0
EXQ,039,002,G109,,0,0
EXQ,039,002,G210,,0,0
EXQ,042,001,G401,,0,0
EXQ,044,001,G110,Diesel with Tilt Hood,0,0
EXQ,044,001,G110,MFI with Tilt Hood,0,0
EXQ,044,001,G110,LPG with Tilt Hood,0,0
EXQ,044,001,G111,Fixed Hood,0,0
EXQ,047,001,G210,,0,0
EXQ,049,001,G210,,0,0
EXQ,049,001,G304,,0,0
EXQ,050,001,G302,,0,0
EXQ,050,002,G304,,0,0
EXQ,053,002,G210,,0,0
EXQ,053,003,G110,Fixed Hood,0,0
EXQ,053,003,G110,Diesel with Tilt Hood,0,0
EXQ,053,003,G110,MFI with Tilt Hood,0,0
EXQ,053,003,G110,LPG with Tilt Hood,0,0
EXQ,053,003,G210,,0,0
EXQ,054,002,G110,Fixed Hood,0,0
EXQ,054,002,G110,Diesel with Tilt Hood,0,0
EXQ,054,002,G110,MFI with Tilt Hood,0,0
EXQ,054,002,G110,LPG with Tilt Hood,0,0
EXQ,054,002,G210,,0,0
EXQ,054,003,G108,,0,0
EXQ,054,003,G111,Tilt Hood,0,0
EXQ,054,003,G210,,0,0
EXQ,060,001,G304,,0,0
EXQ,060,002,G210,,0,0
EXQ,060,003,G111,Fixed Hood,0,0
EXQ,060,003,G111,Tilt Hood,0,0
EXQ,060,003,G110,Fixed Hood,0,0
EXQ,060,003,G110,Diesel with Tilt Hood,0,0
EXQ,060,003,G110,MFI with Tilt Hood,0,0
EXQ,060,003,G110,LPG with Tilt Hood,0,0
EXQ,060,004,G210,,0,0
EXQ,060,005,G304,,0,0
EXQ,060,005,G304,,0,0
EXQ,060,006,G110,Fixed Hood,0,0
EXQ,060,006,G110,Diesel with Tilt Hood,0,0
EXQ,060,006,G110,MFI with Tilt Hood,0,0
EXQ,060,006,G110,LPG with Tilt Hood,0,0
EXQ,060,006,G111,Fixed Hood,0,0
EXQ,060,006,G111,Tilt Hood,0,0
EXQ,060,006,G304,,0,0
EXQ,060,007,G110,Fixed Hood,0,0
EXQ,060,007,G110,Diesel with Tilt Hood,0,0
EXQ,060,007,G110,MFI with Tilt Hood,0,0
EXQ,060,007,G110,LPG with Tilt Hood,0,0
EXQ,060,008,G110,Fixed Hood,0,0
EXQ,060,008,G110,Diesel with Tilt Hood,0,0
EXQ,060,008,G110,MFI with Tilt Hood,0,0
EXQ,060,008,G110,LPG with Tilt Hood,0,0
EXQ,060,008,G111,Fixed Hood,0,0
EXQ,060,008,G111,Tilt Hood,0,0
EXQ,060,009,G304,,0,0
EXQ,064,001,G111,Fixed Hood,0,0
EXQ,064,001,G111,Tilt Hood,0,0
EXQ,065,001,G111,Fixed Hood,0,0
EXQ,065,001,G111,Tilt Hood,0,0
EXQ,065,001,G210,,0,0
EXQ,065,002,G110,Fixed Hood,0,0
EXQ,065,002,G110,Diesel with Tilt Hood,0,0
EXQ,065,002,G110,MFI with Tilt Hood,0,0
EXQ,065,002,G110,LPG with Tilt Hood,0,0
EXQ,065,002,G111,Fixed Hood,0,0
EXQ,065,002,G111,Tilt Hood,0,0
EXQ,065,003,G108,,0,0
EXQ,065,003,G111,Fixed Hood,0,0
EXQ,065,003,G111,Tilt Hood,0,0
EXQ,065,003,G210,,0,0
EXQ,065,004,G108,,0,0
EXQ,065,004,G110,Fixed Hood,0,0
EXQ,065,004,G110,Diesel with Tilt Hood,0,0
EXQ,065,004,G110,MFI with Tilt Hood,0,0
EXQ,065,004,G110,LPG with Tilt Hood,0,0
EXQ,065,004,G111,Fixed Hood,0,0
EXQ,065,004,G111,Tilt Hood,0,0
EXQ,065,004,G210,,0,0
EXQ,065,005,G110,Fixed Hood,0,0
EXQ,065,005,G110,Diesel with Tilt Hood,0,0
EXQ,065,005,G110,MFI with Tilt Hood,0,0
EXQ,065,005,G110,LPG with Tilt Hood,0,0
EXQ,065,005,G207,,0,0
EXQ,065,005,G210,,0,0
EXQ,065,006,G210,,0,0
EXQ,065,009,G210,,0,0
EXQ,071,001,G210,,0,0
EXQ,071,002,G110,Diesel with Tilt Hood,0,0
