EVTM,CELL,LOCPAGE,ZONE,NAME,QUALIFIER,TYPE,CONN_NAME,FREQUENCY
EXQ,151,001,A10,C1054,MFI with Fixed Hood,CON,,0
EXQ,151,001,A10,C1055,MFI with Fixed Hood,CON,,0
EXQ,151,001,A10,C1056,MFI with Fixed Hood,CON,,0
EXQ,151,001,A10,Starter Relay,MFI with Fixed Hood,COM,,0
EXQ,151,001,A2,Blower Motor Resistor,Deluxe,COM,,0
EXQ,151,001,A2,Blower Motor Resistor,Standard,COM,,0
EXQ,151,001,A2,C1053,,CON,,0
EXQ,151,001,A2,C170,,CON,,0
EXQ,151,001,A3,C1033,,CON,,0
EXQ,151,001,A3,Manifold Absolute Pressure (MAP) Sensor,,COM,,0
EXQ,151,001,A4,C1036,,CON,,0
EXQ,151,001,A4,Evaporative Emission Canister Purge Solenoid No. 2,,COM,,0
EXQ,151,001,A5,C1035,,CON,,0
EXQ,151,001,A5,Evaporative Emission Canister Purge Solenoid No. 1,,COM,,0
EXQ,151,001,A5,C1037,,CON,,0
EXQ,151,001,A5,C1038,,CON,,0
EXQ,151,001,A5,C1039,,CON,,0
EXQ,151,001,A5,C1040,,CON,,0
EXQ,151,001,A5,C1041,,CON,,0
EXQ,151,001,A5,C1042,,CON,,0
EXQ,151,001,A5,C1043,,CON,,0
EXQ,151,001,A5,C1044,,CON,,0
EXQ,151,001,A5,Fuel Injector No. 1,,COM,,0
EXQ,151,001,A5,Fuel Injector No. 2,,COM,,0
EXQ,151,001,A5,Fuel Injector No. 3,,COM,,0
EXQ,151,001,A5,Fuel Injector No. 4,,COM,,0
EXQ,151,001,A5,Fuel Injector No. 5,,COM,,0
EXQ,151,001,A5,Fuel Injector No. 6,,COM,,0
EXQ,151,001,A5,Fuel Injector No. 7,,COM,,0
EXQ,151,001,A5,Fuel Injector No. 8,,COM,,0
EXQ,151,001,A6,C1020,MFI,CON,,0
EXQ,151,001,A6,Oil Pressure Sensor,MFI,COM,,0
EXQ,151,001,A8,C142,,CON,,0
EXQ,151,001,B1,A/C Low Pressure Switch,,COM,,0
EXQ,151,001,B1,C1029,,CON,,0
EXQ,151,001,B10,C107,,CON,,0
EXQ,151,001,B10,C108,,CON,,0
EXQ,151,001,C10,C137,,CON,,0
EXQ,151,001,D1,C174,,CON,,0
EXQ,151,001,D1,Fuse Link G,,COM,,0
EXQ,151,001,D1,Fuse Link L,MFI,COM,,0
EXQ,151,001,D10,C1004,,CON,,0
EXQ,151,001,D10,C1025,,CON,,0
EXQ,151,001,D10,High Pitch Horn,Fixed Hood,COM,,0
EXQ,151,001,D10,C1002,,CON,,0
EXQ,151,001,D10,Windshield Washer Pump Motor,Fixed Hood,COM,,0
EXQ,151,001,E1,C164,MFI,CON,,0
EXQ,151,001,E1,Right Side Marker Lamp,MFI,COM,,0
EXQ,151,001,E10,C176,MFI with Fixed Hood,CON,,0
EXQ,151,001,E10,C179,MFI,CON,,0
EXQ,151,001,E10,Left Front Fender Park/Turn Lamp,MFI with Fixed Hood,COM,,0
EXQ,151,001,E10,Left Side Marker Lamp,MFI,COM,,0
EXQ,151,001,F10,C177,Fixed Hood,CON,,0
EXQ,151,001,F10,Left Headlamp,Fixed Hood,COM,,0
EXQ,151,001,F2,Right Front Fender Park/Turn Lamp,MFI with Fixed Hood,COM,,0
EXQ,151,001,F3,C162,Fixed Hood,CON,,0
EXQ,151,001,F3,C163,MFI with Fixed Hood,CON,,0
EXQ,151,001,F3,Right Headlamp,Fixed Hood,COM,,0
EXQ,151,001,F4,C165,Fixed Hood,CON,,0
