EVTM,CELL,PAGE,NAME,QUALIFIER,REFCELL,REFPAGE,CARROT,PAGEID1,PAGEID2,ITEMID_,CELLID2
EXQ,010,001,A/C Compressor Overtemp Switch,,054,003,,,,0,0
EXQ,010,001,Blower Motor Resistor,Deluxe,053,003,,,,0,0
EXQ,010,001,Buzzer Module,,065,003,,,,0,0
EXQ,010,001,C107,,010,010,A,,,0,0
EXQ,010,001,C107,,010,011,A,,,0,0
EXQ,010,001,Engine Governor Control Module,MFI,025,001,,,,0,0
EXQ,010,001,Engine Governor Test Output Connector,,025,001,,,,0,0
EXQ,010,001,Fuel Pump Selector Relay,,049,001,,,,0,0
EXQ,010,001,Generator,MFI,012,005,,,,0,0
EXQ,010,001,Hydro-max Monitor,Cab,047,001,,,,0,0
EXQ,010,001,Hydro-max Monitor,Cowl,047,001,,,,0,0
EXQ,010,001,Instrument Cluster,4 Gauge,060,003,,,,0,0
EXQ,010,001,Main Light Switch Illumination,,071,001,,,,0,0
EXQ,010,001,Powertrain Control Module (PCM),All Except Encore,025,001,,,,0,0
EXQ,010,001,Speedometer,Cab,064,001,,,,0,0
EXQ,010,001,Speedometer,Cowl,064,001,,,,0,0
EXQ,010,001,Speedometer Sensor,Automatic,064,001,,,,0,0
EXQ,010,001,Speedometer Sensor,Manual,064,001,,,,0,0
EXQ,010,001,Warning Lamps Module,,065,001,,,,0,0
EXQ,010,001,Wheel To Wheel Interlock Control Switch,,038,001,,,,0,0
EXQ,010,001,Windshield Wiper Motor,Fixed Hood,080,001,,,,0,0
EXQ,010,001,Windshield Wiper Motor,Tilt Hood,080,001,,,,0,0
EXQ,010,002,A/C Compressor Overtemp Indicator,,054,003,,,,0,0
EXQ,010,002,A/C-Heater Blower Switch,,053,002,,,,0,0
EXQ,010,002,A/C-Heater Blower Switch,,053,003,,,,0,0
EXQ,010,002,A/C-Heater Blower Switch,,054,002,,,,0,0
EXQ,010,002,A/C-Heater Control Illumination,,071,001,,,,0,0
EXQ,010,002,Air Pressure Gauge Illumination,Cab,071,001,,,,0,0
EXQ,010,002,Anti-Lock Brakes System (ABS) Module,,042,001,,,,0,0
EXQ,010,002,Buzzer Module,,065,004,,,,0,0
EXQ,010,002,C235,,010,016,D,,,0,0
EXQ,010,002,C.D.R.L. Park Brake Switch,Tilt Hood,097,001,,,,0,0
EXQ,010,002,C.D.R.L. Park Brake Switch,Fixed Hood,097,001,,,,0,0
EXQ,010,002,Fuel Pump Selector Relay,,049,001,,,,0,0
EXQ,010,002,Heated Oxygen Sensor (HO2S),,025,005,,,,0,0
EXQ,010,002,Instrument Cluster,2 Gauge,060,002,,,,0,0
EXQ,010,002,Instrument Cluster,4 Gauge,060,004,,,,0,0
EXQ,010,002,Lamp Module,,065,006,,,,0,0
EXQ,010,002,Main Light Switch Illumination,,071,001,,,,0,0
EXQ,010,002,PCM Power Relay,,025,002,,,,0,0
EXQ,010,002,Radio,,130,001,,,,0,0
EXQ,010,002,Radio,,130,002,,,,0,0
EXQ,010,002,Stop Lamp Relay,,090,002,,,,0,0
EXQ,010,003,A/C Compressor Overtemp Indicator,,054,003,,,,0,0
EXQ,010,003,A/C-Heater Blower Switch,,053,002,,,,0,0
EXQ,010,003,A/C-Heater Blower Switch,,053,003,,,,0,0
EXQ,010,003,A/C-Heater Blower Switch,,054,002,,,,0,0
EXQ,010,003,A/C-Heater Control Illumination,,071,001,,,,0,0
EXQ,010,003,Blower Motor Resistor,Standard,053,002,,,,0,0
EXQ,010,003,Buzzer Module,,065,004,,,,0,0
EXQ,010,003,Engine Governor Control Module,LPG,024,001,,,,0,0
EXQ,010,003,Engine Inferred Mileage Control Module,,065,009,,,,0,0
EXQ,010,003,Generator,LPG,012,005,,,,0,0
EXQ,010,003,Hydro-Max Monitor,Cab,047,001,,,,0,0
EXQ,010,003,Hydro-Max Monitor,Cowl,047,001,,,,0,0
EXQ,010,003,Instrument Cluster,2 Gauge,060,002,,,,0,0
EXQ,010,003,Instrument Cluster,4 Gauge,060,003,,,,0,0
EXQ,010,003,Instrument Cluster,4 Gauge,060,004,,,,0,0
EXQ,010,003,Lamp Module,,065,006,,,,0,0
EXQ,010,003,Main Light Switch Illumination,,071,001,,,,0,0
EXQ,010,003,Radio,,130,001,,,,0,0
EXQ,010,003,Radio,,130,002,,,,0,0
EXQ,010,003,Vacuum Pump Motor,Tilt Hood,140,002,,,,0,0
EXQ,010,003,Vacuum Pump Motor,Fixed Hood,140,002,,,,0,0
EXQ,010,003,Warning Lamps Module,,065,005,,,,0,0
EXQ,010,003,Wheel To Wheel Interlock Control Switch,,038,001,,,,0,0
EXQ,010,004,A/C Compressor Overtemp Switch,,054,003,,,,0,0
EXQ,010,004,Anti-Lock Brakes System (ABS) Module,,042,001,,,,0,0
EXQ,010,004,Buzzer Module,,065,003,,,,0,0
EXQ,010,004,Buzzer Module,,065,004,,,,0,0
EXQ,010,004,C.D.R.L. Park Brake Switch,Tilt Hood,097,001,,,,0,0
EXQ,010,004,C.D.R.L. Park Brake Switch,Fixed Hood,097,001,,,,0,0
EXQ,010,004,C107,,010,010,A,,,0,0
EXQ,010,004,C107,,010,011,A,,,0,0
EXQ,010,004,C235,,010,016,D,,,0,0
EXQ,010,004,Generator,LPG,012,005,,,,0,0
EXQ,010,004,Speedometer,Cab,064,001,,,,0,0
EXQ,010,004,Speedometer,Cowl,064,001,,,,0,0
EXQ,010,004,Speedometer Sensor,Automatic,064,001,,,,0,0
EXQ,010,004,Speedometer Sensor,Manual,064,001,,,,0,0
EXQ,010,004,Stop Lamp Relay,,090,002,,,,0,0
EXQ,010,004,Vacuum Pump Motor,Tilt Hood,140,002,,,,0,0
EXQ,010,004,Vacuum Pump Motor,Fixed Hood,140,002,,,,0,0
EXQ,010,004,Windshield Wiper Motor,Fixed Hood,080,001,,,,0,0
EXQ,010,004,Windshield Wiper Motor,Tilt Hood,080,001,,,,0,0
EXQ,010,005,Anti-Lock Brakes System (ABS) Module,,042,001,,,,0,0
EXQ,010,005,Buzzer Module,,065,003,,,,0,0
EXQ,010,005,Buzzer Module,,065,004,,,,0,0
EXQ,010,005,C.D.R.L. Park Brake Switch,Tilt Hood,097,001,,,,0,0
EXQ,010,005,C.D.R.L. Park Brake Switch,Fixed Hood,097,001,,,,0,0
EXQ,010,005,C107,,010,010,A,,,0,0
EXQ,010,005,C107,,010,011,A,,,0,0
EXQ,010,005,C235,,010,016,D,,,0,0
EXQ,010,005,Main Light Switch Illumination,,071,001,,,,0,0
EXQ,010,005,Speedometer,Cab,064,001,,,,0,0
EXQ,010,005,Speedometer Sensor,Automatic,064,001,,,,0,0
EXQ,010,005,Speedometer Sensor,Manual,064,001,,,,0,0
EXQ,010,005,Stop Lamp Relay,,090,002,,,,0,0
EXQ,010,005,Tachometer Sensor,,060,003,,,,0,0
EXQ,010,005,Windshield Wiper Motor,Fixed Hood,080,001,,,,0,0
EXQ,010,005,Windshield Wiper Motor,Tilt Hood,080,001,,,,0,0
EXQ,010,006,A/C Compressor Overtemp Indicator,,054,003,,,,0,0
EXQ,010,006,A/C-Heater Blower Switch,,053,003,,,,0,0
EXQ,010,006,A/C-Heater Control Illumination,,071,001,,,,0,0
EXQ,010,006,Blower Motor Resistor,Deluxe,053,003,,,,0,0
EXQ,010,006,Engine Alarm/Shutdown Module,Cab,065,001,,,,0,0
EXQ,010,006,Exhaust Brake Indicator,,039,001,,,,0,0
EXQ,010,006,Exhaust Brake Indicator,,039,002,,,,0,0
EXQ,010,006,Exhaust Brake Switch,,039,001,,,,0,0
EXQ,010,006,Exhaust Brake Switch,,039,002,,,,0,0
EXQ,010,006,Fuel Shutoff Relay,Cab,023,001,,,,0,0
EXQ,010,006,Fuel Shutoff Relay,Cowl,023,001,,,,0,0
EXQ,010,006,Instrument Cluster,2 Gauge,060,002,,,,0,0
EXQ,010,006,Instrument Cluster,4 Gauge,060,003,,,,0,0
EXQ,010,006,Instrument Cluster,4 Gauge,060,004,,,,0,0
EXQ,010,006,Lamp Module,,065,006,,,,0,0
EXQ,010,006,Radio,,130,001,,,,0,0
EXQ,010,006,Radio,,130,002,,,,0,0
EXQ,010,006,Warning Lamps Module,,065,005,,,,0,0
EXQ,010,006,Wheel To Wheel Interlock Control Switch,,038,001,,,,0,0
EXQ,010,007,C107,,010,010,A,,,0,0
EXQ,010,007,C107,,010,011,A,,,0,0
EXQ,010,007,C235,,010,016,D,,,0,0
EXQ,010,007,Hydro-Max Monitor,Cab,047,001,,,,0,0
EXQ,010,007,Hydro-Max Monitor,Cowl,047,001,,,,0,0
EXQ,010,007,Main Light Switch Illumination,,071,001,,,,0,0
