EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
EXQ,S100,,"Rear of engine compartment, near T/O to C1031",0,0
EXQ,S101,,"Dash engine gauge feed harness, near T/O to fuel heater",0,0
EXQ,S102,,"Dash engine gauge feed harness, near T/O to C158",0,0
EXQ,S103,,"Dash engine gauge feed harness, near T/O to fuel heater",0,0
EXQ,S104,,"Main harness, near starter motor relay",0,0
EXQ,S106,,"Main harness, near left side safety wall grommet",0,0
EXQ,S109,,"Dash engine gauge feed harness, near T/O to G109",0,0
EXQ,S110,,"Engine control harness, near T/O to PIA harness C127",0,0
EXQ,S111,,"Dash panel to headlamp harness, near T/O to C107",0,0
EXQ,S112,,"Dash panel to headlamp harness, near T/O to left front turn lamp",0,0
EXQ,S114,,"LH engine compartment, near T/O to C1004",0,0
EXQ,S115,,"RH engine compartment, near T/O to C162",0,0
EXQ,S117,,"Dash panel to engine feed harness, near T/O to fuse link L",0,0
EXQ,S118,,"Dash panel to engine harness, near T/O to right front park/turn lamp",0,0
EXQ,S120,,"Dash panel to engine feed harness, near T/O to C1010",0,0
EXQ,S121,,"Dash panel to engine feed harness, near T/O to C1010",0,0
EXQ,S122,,"Dash engine gauge feed harness, near T/O to fuel shutoff solenoid",0,0
EXQ,S123,,"Dash panel to engine feed harness, near T/O to G101",0,0
EXQ,S124,,"Right rear engine compartment, on main harness, near grommet",0,0
EXQ,S125,,"Engine control harness, in T/O to inline C117F",0,0
EXQ,S126,,"Dash panel to engine feed harness, near T/O to C1058",0,0
EXQ,S127,,"Dash panel to engine feed harness, near T/O to C1057",0,0
EXQ,S128,,"Engine gauge feed harness, in T/O to integral alternator regulator (IAR)",0,0
EXQ,S129,,"Engine control harness, near T/O to PIA harness C127",0,0
EXQ,S130,,"Engine control harness, near T/O to PIA harness C127",0,0
EXQ,S131,,"A/C harness, near T/O to C168",0,0
EXQ,S132,,"A/C clutch harness, near T/O to C159",0,0
EXQ,S133,,"Front lamp harness, near T/O to C150",0,0
EXQ,S134,,"Front lamp harness, near T/O to C150",0,0
EXQ,S142,,"Rear axle harness, near T/O to hi range shift control relay",0,0
EXQ,S143,,"A/C harness, in T/O to A/C clutch field coil",0,0
EXQ,S144,,"Main harness, near T/O to C105",0,0
EXQ,S145,,"Main harness, near T/O to C102 & C103",0,0
EXQ,S146,,"External chassis harness, near T/O to C3011",0,0
EXQ,S148,,"External chassis harness, near T/O to C3011",0,0
EXQ,S152,,"Fuel charge harness, near T/O to ignition coil",0,0
EXQ,S160,,"Main harness, near T/O to C102/C103",0,0
EXQ,S164,,"Engine control harness, near T/O to C191",0,0
EXQ,S165,,"Engine control harness, near T/O to C174",0,0
EXQ,S166,,"Fuel charge harness, near fuel injector no. 4",0,0
EXQ,S167,,"Fuel charge harness, near fuel injector no. 8",0,0
EXQ,S168,,"Fuel charge harness, near fuel injector no. 1",0,0
EXQ,S169,,"Fuel charge harness, near fuel injector no. 1",0,0
EXQ,S170,,"Fuel charge harness, near T/O to C1045",0,0
EXQ,S171,,"Fuel charge harness, near T/O to fuel injector no. 5",0,0
EXQ,S172,,"Front lamp harness, near T/O to C178",0,0
EXQ,S173,,"Front lamp harness, near T/O to C107",0,0
EXQ,S174,,"Front lamp harness, near T/O to C1002",0,0
EXQ,S175,,"Front lamp harness, near T/O to C178",0,0
EXQ,S181,,"Alternator rectifier harness, near T/O to G108",0,0
EXQ,S182,,"Alternator rectifier harness, near T/O to tachometer C161",0,0
EXQ,S204,,"Main harness, near T/O to radio",0,0
EXQ,S205,,"Main harness, near T/O to C276",0,0
EXQ,S206,,"Main harness, near T/O to main light switch",0,0
EXQ,S207,,"Main harness, near T/O to main light switch",0,0
EXQ,S209,,"Main harness, near T/O to ignition switch",0,0
EXQ,S210,Cab,"Main harness, near T/O to ignition switch",0,0
EXQ,S210,Cowl,"Main harness, near T/O to C232",0,0
EXQ,S211,,"Main harness, near T/O to fuse panel",0,0
EXQ,S212,Cab,"Main harness, near T/O to C224",0,0
EXQ,S212,Cowl,"Main harness, near T/O to C232",0,0
EXQ,S213,Cab,"Main harness, near T/O to main light switch",0,0
EXQ,S213,Cowl,"Main harness, near T/O to C218",0,0
EXQ,S214,Cab,"Main harness, near T/O to G210",0,0
EXQ,S214,Cowl,"Main harness, near T/O to C218",0,0
EXQ,S215,Cab,"Main harness, near T/O to C309",0,0
EXQ,S215,Cowl,"Main harness, near T/O to park brake relay",0,0
EXQ,S216,Cab,"Main harness, near T/O to C240",0,0
EXQ,S216,Cowl,"Main harness, near T/O to C212",0,0
EXQ,S217,,"Main harness, near T/O to low air pressure switch",0,0
EXQ,S219,,"Main harness, near T/O to fuse panel",0,0
EXQ,S221,,"Main harness, in T/O to C210",0,0
EXQ,S222,,"Main harness, near T/O to C218",0,0
EXQ,S223,Cab,"Main harness, near T/O to C250",0,0
EXQ,S223,Cowl,"Main harness, near T/O to main light switch",0,0
EXQ,S224,,"Rear axle harness, near T/O to C246",0,0
EXQ,S225,,"A/C blower motor feed harness, near function selector switch",0,0
EXQ,S226,,"Instrument cluster harness, near T/O to C203",0,0
EXQ,S227,,"Main harness, under left side of I/P, near safety wall grommet",0,0
EXQ,S228,,"Main harness, near T/O to main light switch",0,0
EXQ,S229,,"Main harness, near T/O to voltmeter relay",0,0
EXQ,S231,,"Instrument cluster harness, near T/O to C203",0,0
EXQ,S232,,"Main harness, near T/O to C250",0,0
EXQ,S233,,"Main harness, near T/O to C250",0,0
EXQ,S234,,"Radio speaker harness, near T/O to C258",0,0
EXQ,S236,,"ABS harness, near T/O to C321",0,0
EXQ,S237,,"Main harness, near T/O to C2002",0,0
EXQ,S238,,"Main harness, near T/O to C287",0,0
EXQ,S239,,"Main harness, near T/O to C218",0,0
EXQ,S240,,"Main harness, near T/O to C293",0,0
EXQ,S241,,"Main harness, near T/O to C2013",0,0
EXQ,S242,Cab,"Main harness, near T/O to C290",0,0
EXQ,S242,Cowl,"Main harness, near T/O to C250",0,0
EXQ,S243,Cab,"Main harness, near T/O to C276",0,0
EXQ,S243,Cowl,"Main harness, near T/O to C218",0,0
EXQ,S244,,"Engine control harness, near T/O to C273",0,0
EXQ,S245,,"Engine control harness, near T/O to powertrain control module (PCM)",0,0
EXQ,S246,,"Main harness, near T/O to C276",0,0
EXQ,S247,,"Engine control harness, near grommet",0,0
EXQ,S248,,"Main harness, near T/O to C2002",0,0
EXQ,S249,,"Engine control harness, near T/O to C284",0,0
EXQ,S251,,"Main harness, near fuse panel",0,0
EXQ,S252,,"Engine control sensor harness, near T/O to C283",0,0
EXQ,S253,,"Main harness, near T/O to C264",0,0
EXQ,S254,,"Main harness, near T/O to C253",0,0
EXQ,S255,,"Main harness, near T/O to C264",0,0
EXQ,S256,,"Engine control harness, near T/O to C273",0,0
EXQ,S257,,"Engine control harness, near T/O to C273",0,0
EXQ,S258,,"Main harness, in T/O to C212",0,0
EXQ,S259,,"Main harness, near T/O to C224",0,0
EXQ,S260,,"Engine control harness, near T/O to C273",0,0
EXQ,S261,,"Main harness, near T/O to junction block",0,0
EXQ,S262,,"Main harness, near T/O to C276",0,0
EXQ,S263,,"Main harness, near T/O to C256",0,0
EXQ,S264,,"Main harness, near T/O to G210",0,0
EXQ,S265,,"Blower motor harness, near T/O to C170",0,0
EXQ,S266,,"Main harness, near T/O to C256",0,0
EXQ,S267,,"Main harness, near T/O to C2008",0,0
EXQ,S268,,"Main harness, near T/O to C2008",0,0
EXQ,S269,,"Radio harness, near T/O to C258",0,0
EXQ,S270,,"Radio harness, near T/O to C258",0,0
EXQ,S278,,"Main harness, near T/O to brake warning indicator lamp C219",0,0
EXQ,S284,,"Main harness, near T/O to in-line C201F",0,0
EXQ,S291,,"Main harness, near T/O to C105",0,0
EXQ,S305,,"Trailer outlet wiring harness, near T/O to C400",0,0
EXQ,S306,with ABS,"Brake skid harness, in T/O to C252",0,0
EXQ,S306,without ABS,"Rear axle harness, near T/O to C335",0,0
EXQ,S309,,"Rear lamp harness, near T/O to G302",0,0
EXQ,S310,,"Rear lamp harness, near T/O to C332",0,0
EXQ,S311,,"Fuel pump harness, near T/O to fuel gauge sender",0,0
EXQ,S312,,"Battery harness, near T/O to C1050",0,0
EXQ,S313,,"Battery harness, in T/O to G304",0,0
EXQ,S314,,Brake moisture ejection valve harness,0,0
EXQ,S315,,"Two speed rear axle harness, near T/O to C2029",0,0
EXQ,S400,,"Rear lamp harness, near T/O to left rear turn/stop/park lamps",0,0
EXQ,S401,,"Rear lamp harness, near T/O to left rear turn/stop/park lamps",0,0
EXQ,S403,,"Tandem axle wheel to wheel interlock harness, near T/O to C405",0,0
EXQ,S404,,"Tandem axle wheel to wheel interlock harness, near T/O to C405",0,0
EXQ,S405,,"Brake warning lamp harness, near T/O to ABS module",0,0
