EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EXG,4R70W Transmission,,7000,Below center of vehicle,C119,4,D1,,,29,5,,
EXG,A/C Clutch Cycling Pressure Switch,,19E561,"RR of engine compartment, on A/C accumulator",C155,2,A5,,,,,,
EXG,A/C Clutch Relay,,NA,In battery junction box,,,,,,,,,
EXG,A/C Compressor Clutch Coil,,2987,"Lower RF of engine, part of A/C compressor assembly",C156,3,F4,,,,,,
EXG,A/C High Pressure Cut Out Switch,,190594,RF side of engine compartment,C126,3,F5,,,,,,
EXG,ACCY Delay Relay,Signature,NA,In battery junction box,,,,,,,,,
EXG,Air Bag Sliding Contact,,11A127,"Top of steering column, part of ignition switch assembly",C236,7,F8,,,,,,
EXG,Air Bag Sliding Contact,,11A127,"Top of steering column, part of ignition switch assembly",C283,7,F8,,,,,,
EXG,Air Suspension Compressor Motor and Vent Solenoid,,5319/5311,Lower LF of engine compartment,C158,1,D10,,,,,,
EXG,Air Suspension Switch,,57K61,"RF side of luggage compartment, on support",C458,11,F4,,,,,,
EXG,Air Suspension/EVO Steering Module,,5A919,Behind RF side of I/P,C250,5,A5,,,41,3,,
EXG,Air Suspension/EVO Steering Module,,5A919,Behind RF side of I/P,C251,5,A5,,,41,3,,
EXG,Ambient Temperature Sensor,,19E702,"Center front of engine compartment, below upper radiator support",C160,1,F5,,,,,,
EXG,Anti-Lock Brake Module,,2C219,"LF of engine compartment, under upper radiator support",C162,1,E10,,,42,3,,
EXG,Audio Shield,,NA,"In main harness, near front radio control unit",,,,,,,,,
EXG,Audio/Climate Control Switch Assembly,,NA,On steering wheel,C238,,,,,,,,
EXG,Auxiliary Power Outlet,,NA,Behind instrument panel,C224,6,F4,,,,,,
EXG,Battery,,NA,LF of engine Compartment,C129,,,,,,,,
EXG,Battery,,NA,LF of engine Compartment,C130,,,,,,,,
EXG,Battery Junction Box,,14290,"LR of engine compartment, front of wheel well",C114,2,B10,,,,,,
EXG,Blend Door Actuator,,19E616,"Behind RF side of I/P, top of plenum",C282,5,A4,,,55,7,,
EXG,Blower Motor Speed Controller,,19E624,"RR of engine compartment, on evaporator",C169,1,D1,,,55,7,,
EXG,Brake Fluid Level Switch,,2C246,"LR of engine compartment, on brake fluid reservoir",C170,2,A7,,,,,,
EXG,Brake Pedal Position (BPP) Switch,,13480,"Behind LF side of I/P, on brake pedal support",C2002,5,A2,,,90,5,,
EXG,Brake Pressure Switch,,2B264,"Lower LR of engine compartment, on hydraulic brake lines",C219,5,A3,,,,,,
EXG,Camshaft Position (CMP) Sensor,,12A112,"LF of engine, below left ignition coil",C178,3,F7,,,,,,
EXG,Cellular Telephone Transceiver,,NA,"LF side of luggage compartment, near air suspension switch",C494,11,F5,,,135,2,,
EXG,Cellular Telephone Transceiver,,NA,"LF side of luggage compartment, near air suspension switch",C495,11,F5,,,135,2,,
EXG,Clock,,15000,Top center of I/P,C2009,6,A6,,,44,3,,
EXG,Coil on Plug #1,,NA,Top of cylinder #1,C1034,2,A5,,,,,,
EXG,Coil on Plug #2,,NA,Top of cylinder #2,C1035,2,A5,,,,,,
EXG,Coil on Plug #3,,NA,Top of cylinder #3,C1036,2,A5,,,,,,
EXG,Coil on Plug #4,,NA,Top of cylinder #4,C1037,2,A5,,,,,,
EXG,Coil on Plug #5,,NA,Top of cylinder #5,C1038,2,A5,,,,,,
EXG,Coil on Plug #6,,NA,Top of cylinder #6,C1039,2,A5,,,,,,
EXG,Coil on Plug #7,,NA,Top of cylinder #7,C1040,2,A5,,,,,,
EXG,Coil on Plug #8,,NA,Top of cylinder #8,C1041,2,A5,,,,,,
EXG,Compass Module,,NA,Center of windshield header on mirror,C914,11,A2,,,103,2,,
EXG,Compressor Relay,,14N089,"Right front of engine compartment, in power distribution box",,,,,,,,,
EXG,Cooling Fan,,NA,Front center of engine compartment,C132,1,F4,,,,,,
EXG,Cooling Fan High Relay,,NA,In relay box,,,,,,,,,
EXG,Cooling Fan Low Relay,,NA,In relay box,,,,,,,,,
EXG,Crankshaft Position (CKP) Sensor,,6C315,RF of engine,C177,3,F6,,,,,,
EXG,Crankshaft Position (CKP) Sensor Shield,,NA,"In engine control harness, near CKP sensor",,,,,,,,,
