EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EXG,C103,,Lower LR of engine,1,A7,,,150,1,,8,,,
EXG,C104,,"RR side of engine compartment, near T/O ground G103",3,B1,,,,,BK,4,,,
EXG,C106,,"Lower LH rear of engine, on knock sensor (KS)",1,A8,,,,,BK,4,,,
EXG,C107,,RR of engine compartment,1,A3,,,150,1,,16,,,
EXG,C109,,Lower L/R of engine,3,F10,,,,,,2,,,
EXG,C113,,LR of engine compartment,1,A10,,,150,2,,16,,,
EXG,C114,,"LR of engine, on battery junction box",1,B10,,,,,,1,,,
EXG,C117,,"Top front of engine, on generator/voltage regulator",1,B10,,,,,,1,,,
EXG,C118,,"Top LF side of transmission, on output shaft speed (OSS) sensor",4,D10,,,,,BK,2,,,
EXG,C119,,"Lower RF side of transmission, on 4R70W transmission",4,D1,,,29,3,,10,,,
EXG,C122,,RR of transmission,4,E1,,,,,NA,4,,,
EXG,C123,,"LR of engine compartment, on speed control servo",2,A10,,,31,3,,10,,,
EXG,C124,,LR of transmission,4,D10,,,,,NA,4,,,
EXG,C125,,"Lower RF side of engine, on starter motor",2,A1,,,,,,1,,,
EXG,C126,,"RF side of engine compartment, on A/C high pressure cut out switch",3,F5,,,,,BK,4,,,
EXG,C127,,"LR of engine compartment, under brake fluid reservoir",1,A10,,,150,3,,42,,,
EXG,C129,,"LF of engine compartment, attached to battery +",,,,,,,,1,,,
EXG,C130,,"LF of engine compartment, attached to battery -",,,,,,,,1,,,
EXG,C132,,"Front of engine compartment, near cooling fan",1,F4,,,,,,2,,,
EXG,C133,,"LF side of engine compartment, on top of LF wheel well",1,C10,,,42,4,BK,8,,,
EXG,C135,,LF side of engine compartment,1,F9,,,150,4,BK,8,,,
EXG,C136,,"Top RF of engine, on engine coolant temperature sensor",2,F6,,,,,,2,,,
EXG,C139,,Front of vehicle near T/O RF fender ground,3,F2,,,,,,2,,,
EXG,C440,,Under center of truck,,,,,,,,2,,,
EXG,C143,,RF side of engine compartment,2,F3,,,150,4,BK,8,,,
EXG,C144,,LR of engine compartment,3,A7,,,150,5,,16,,,
EXG,C145,,Front right side of engine,,,,,,,,2,,,
EXG,C152,,"LF side of safety wall, on windshield wiper motor",2,A8,,,81,3,BK,8,,,
EXG,C154,,"Top front of engine, on generator/voltage regulator",1,B10,,,,,,3,,,
EXG,C155,,"RR of engine compartment, on A/C cycling pressure switch",2,A5,,,,,GY,4,,,
EXG,C156,,"Lower RF of engine, on A/C compressor clutch coil",3,F4,,,,,BK,2,,,
EXG,C157,,"LF of engine compartment, on intake air temperature (IAT) sensor",2,C10,,,,,BK,2,,,
EXG,C158,,"Lower LF of engine compartment, on air suspension compressor motor and vent solenoid",1,D10,,,,,,4,,,
EXG,C159,,"Lower LF of engine compartment, on air suspension compressor motor and vent solenoid",,,,,,,,4,,,
EXG,C160,,"Center Front of engine compartment, on ambient temperature sensor",1,F5,,,,,BN,2,,,
EXG,C162,,"LF of engine compartment, on anti-lock brake module",1,E10,,,42,3,,25,,,
EXG,C167,,"RR side of safety wall, near EATC blower motor",1,B1,,,,,BK,2,,,
EXG,C168,,"Lower LF side of transmission, on digital transmission range (DTR) sensor",4,C10,,,29,5,BK,12,,,
EXG,C169,,"RR of engine compartment, on blower motor speed controller",1,D1,,,55,7,GY,5,,,
EXG,C170,,"LR of engine compartment, on brake fluid level switch",2,A7,,,,,GY,3,,,
EXG,C171,,"LF side of engine compartment, to left front brake sensor",1,C10,,,,,BK,2,,,
EXG,C172,,"RF side of engine compartment, to right front brake sensor",3,F3,,,,,BK,2,,,
EXG,C173,,"RR of engine compartment, on (EVAP) vapor management valve",3,A4,,,,,BK,2,,,
EXG,C177,,"RF of engine, on crankshaft position (CKP) sensor",3,F6,,,,,,2,,,
EXG,C178,,"LF of engine, on camshaft position (CMP) sensor",3,F7,,,,,,2,,,
EXG,C179,,"Center rear of engine, EGR vacuum regulator (EVR)",1,A5,,,,,,2,,,
EXG,C181,,"Center rear of engine, on differential pressure feedback electronic EGR (DPFE) sensor",3,A5,,,,,BK,3,,,
EXG,C184,,"Lower LF side of engine compartment, on EVO actuator",3,F9,,,,,BK,2,,,
EXG,C185,,"LR of engine compartment, on powertrain control module",3,A8,,,23,8,GY,104,,,
EXG,C186,,"LF of engine compartment, near front crash sensor",1,F6,,,,,,4,,,
EXG,C190,,"Top of cylinder #1, on fuel injector #1",3,A5,,,,,BK,2,,,
EXG,C191,,"Top of cylinder #2, on fuel injector #2",3,A5,,,,,BK,2,,,
EXG,C192,,"Top of cylinder #3, on fuel injector #3",3,A5,,,,,BK,2,,,
EXG,C193,,"Top of cylinder #4, on fuel injector #4",3,A5,,,,,BK,2,,,
EXG,C194,,"Top of cylinder #5, on fuel injector #5",3,A5,,,,,BK,2,,,
EXG,C195,,"Top of cylinder #6, on fuel injector #6",3,A5,,,,,BK,2,,,
EXG,C196,,"Top of cylinder #7, on fuel injector #7",3,A5,,,,,BK,2,,,
EXG,C197,,"Top of cylinder #8, on fuel injector #8",3,A5,,,,,BK,2,,,
EXG,C200,,Behind center of I/P on lighting control module (LCM),7,F6,,,58,5,BK,13,,,
EXG,C201,F,Near T/O to C185 powertrain control module (PCM),6,D10,,,150,6,,76,,,
EXG,C201,M,Near T/O to C185 powertrain control module (PCM),6,D10,,,150,7,,76,,,
EXG,C202,,In I/P near T/O C276 air bag electronic crash sensor,5,C10,,,150,8,,42,,,
EXG,C203,,"In 18B864, near C331 handset",6,F10,,,150,9,,10,,,
EXG,C204,,"Behind RF side of I/P, on air bag diagnostic monitor",5,F8,,,46,4,,11,,,
EXG,C205,,"In 14401, near T/O G203",5,C1,,,150,9,,16,,,
EXG,C206,,"In 14401, near T/O C224 auxiliary power socket",6,F5,,,,,,2,,,
EXG,C208,,Behind RF side of I/P,5,A6,,,55,8,,6,,,
EXG,C209,,"In 14401, on passive anti-theft system (PATS) transceiver module",7,A9,,,112,2,,4,,,
EXG,C212,,"Behind LF cowl panel, on connector bracket",5,D1,,,150,10,,16,,,
EXG,C219,,"In 14A005, near T/O C2002",5,A3,,,,,,2,,,
EXG,C220,,Behind center of I/P on lighting control module (LCM),7,F6,,,58,4,BK,12,,,
EXG,C221,,Behind center of I/P on lighting control module (LCM),7,F6,,,58,4,BK,16,,,
EXG,C222,,Behind center of I/P on lighting control module (LCM),7,F6,,,58,5,BK,13,,,
EXG,C223,,"Behind LF cowl panel, on connector bracket",5,C1,,,150,10,,12,,,
EXG,C224,,In I/P on auxiliary power outlet,6,F4,,,,,,2,,,
EXG,C225,,"Behind center of I/P, near T/O for wiper control module (WCM)",6,F6,,,,,,3,,,
EXG,C226,,Bottom center of I/P,7,A5,,,14,4,,16,,,
EXG,C227,,"Behind center of I/P, on electronic automatic temperature control (EATC) module",6,F7,,,55,6,GY,13,,,
EXG,C231,,"Behind center of I/P, on EATC sunload sensor",6,A3,,,,,WH,2,,,
EXG,C232,,"Behind LF side of I/P, on shift lock actuator",6,A10,,,,,,3,,,
EXG,C233,,Near T/O C236 air bag sliding contact,7,E10,,,,,,4,,,
EXG,C234,,"Behind top LF side of I/P, on main light switch",6,B10,,,58,6,GY,12,,,
EXG,C235,,"Behind top LF side of I/P, on main light switch",6,B10,,,58,6,BK,8,,,
EXG,C236,,"Bottom of steering column, to air bag sliding contact",7,F8,,,,,GY,3,,,
EXG,C237,,In steering column,,,,,,,,2,,,
EXG,C238,,"In top of steering column, to horn switches and speed control switch assembly",,,,,,,,4,,,
EXG,C250,,"Behind RF side of I/P, on air suspension/EVO steering module",5,A5,,,41,3,GY,13,,,
EXG,C251,,"Behind RF side of I/P, on air suspension/EVO steering module",5,A5,,,41,3,BK,13,,,
EXG,C254,,"Behind top LF side of I/P, on instrument cluster",7,E10,,,63,5,BK,12,,,
EXG,C255,,"Behind top LF side of I/P, on instrument cluster",7,E10,,,63,5,BK,12,,,
EXG,C257,,"Behind center of I/P, on radio",6,A5,,,130,7,BK,16,,,
EXG,C258,,"Behind center of I/P, on radio",6,A5,,,130,7,BK,20,,,
EXG,C259,,"Behind center of I/P, on radio",6,A5,,,130,8,,8,,,
EXG,C264,,"Behind top LF side of I/P, on message center switch module",6,A7,,,63,6,BK,6,,,
EXG,C268,,"Top LF side of steering column, on multifunction switch",6,A8,,,90,5,GY,11,,,
EXG,C269,,"Top LF side of steering column, on multifunction switch",6,A8,,,90,5,,7,,,
EXG,C276,,"Behind dash panel, center",6,E1,,,46,3,,28,,,
EXG,C281,,"Behind center of I/P, on EATC module",6,F7,,,55,6,,13,,,
EXG,C282,,"Behind RF side of I/P, on blend door actuator",5,A4,,,55,7,BK,6,,,
EXG,C283,,"Bottom of steering column, to air bag sliding contact",7,F8,,,,,GY,8,,,
EXG,C286,,"Behind top LF side of I/P, on day/night sensor/amplifier",7,A4,,,87,4,BN,6,,,
EXG,C292,,"RF side of steering column, on ignition switch",6,A9,,,13,20,,15,,,
EXG,C293,,"Behind top center of I/P, on in-car temperature sensor",7,A7,,,,,BK,2,,,
EXG,C294,,"Behind LF side of I/P, on wiper control module (WCM)",7,F3,,,81,3,GY,14,,,
EXG,C296,,"Behind LF side of I/P, on park brake switch",6,F9,,,,,,1,,,
EXG,C300,Base,"In 14A699, near T/O C304 seat belt switch",,,,,120,4,,8,,,
EXG,C301,Base,"In 14A699, near T/O C306 LF seat motor assembly",,,,,120,4,,8,,,
EXG,C302,,"Under front of RF seat, on passengers power lumbar motor",8,D1,,,,,BK,2,,,
EXG,C303,,"Under front of LF seat, on drivers power lumbar motor",8,E1,,,,,BK,2,,,
EXG,C304,,"Below LF seat, near seat belt switch",8,D1,,,,,BN,2,,,
EXG,C305,,Under RF seat,8,A2,,,,,,2,,,
EXG,C306,,"Under RF seat, on passengers seat motor assembly",8,B1,,,120,3,BN,6,,,
EXG,C307,,"Under LF seat, near drivers seat recliner motor",8,E9,,,,,GY,2,,,
