EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,SORT,FREQUENCY
EXG,G100,,"Lower RF side of engine, near starter motor/solenoid",3,D1,,
EXG,G101,,"Rear of LF fender apron, near battery junction box",2,A10,,
EXG,G102,,"LF of engine compartment, near air cleaner",,,,
EXG,G103,RF Fender Ground,"Front of RF fender apron, near generator",3,C1,,
EXG,G105,,"LF fender by C125, C1018 starter motor solenoid",2,A2,,
EXG,G106,,On fuel rail,2,A4,,
EXG,G200,,"Behind RF cowl panel, near door sill",6,D1,,
EXG,G201,,"Lower RF ""A"" pillar",5,C10,,
EXG,G203,,"Behind LF cowl panel, near door sill",7,F10,,
EXG,G204,,"Lower LF ""A"" pillar",5,F3,,
EXG,G205,,"Behind RF cowl panel, near door sill",,,,
EXG,G206,,"Lower RF ""A"" pillar",,,,
EXG,G400,,"Center rear of roof, behind roof opening panel",,,,
EXG,G401,,"RF side of luggage compartment, near grommet to fuel tank assembly",,,,
EXG,G402,,Near T/O C430,10,E10,,
EXG,G406,,Center rear of vehicle,,,,
EXG,G900,,In roof opening panel assembly,,,,
