EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EXV,ABS control module,pins 1 and 2,,"engine compartment, below master cylinder",,,,,,,,,
EXV,ABS control module,"pins 5, 6 and 12",,"engine compartment, below master cylinder",,,,,,,,,
EXV,ABS control module,,,"engine compartment, below master cylinder",,,,,,,,,
EXV,Radio,EATC,,"behind dash panel, center console",,6,A4,,,,,,
EXV,Radio,Highline audio,,"behind dash panel, center console",,6,A4,,,,,,
EXV,Radio,Highline audio,,"behind dash panel, center console",,6,A4,,,,,,
EXV,Radio,Highline audio,,"behind dash panel, center console",,6,A4,,,,,,
EXV,Radio,manual A/C,,"behind dash panel, center console",,6,A4,,,,,,
EXV,Radio,Midline audio,,"behind dash panel, center console",,6,A4,,,,,,
EXV,Radio,Midline audio,,"behind dash panel, center console",,6,A4,,,,,,
EXV,Radio,base audio,,"behind dash panel, center console",,6,A4,,,,,,
EXV,Radio,base audio,,"behind dash panel, center console",,6,A4,,,,,,
EXV,Radio,,,"behind dash panel, center console",,6,A4,,,,,,
EXV,Radio,,,"behind dash panel, center console",,6,A4,,,,,,
EXV,Subwoofer amplifier,Highline audio,,"vehicle rear end, LH side",,16,B4,,,,,,
EXV,Subwoofer amplifier,,,"vehicle rear end, LH side",,16,B4,,,,,,
EXV,Electronic flasher module,,,"behind dash panel, LH side",,5,F3,,,,,,
EXV,Air bag diagnostic monitor,with air bag connected,,"behind dash panel, center, bottom",,6,B1,,,,,,
EXV,Air bag diagnostic monitor,with air bag disconnected,,"behind dash panel, center, bottom",,6,B1,,,,,,
EXV,Air bag diagnostic monitor,pins 1 and 2,,"behind dash panel, center, bottom",,6,B1,,,,,,
EXV,Air bag diagnostic monitor,,,"behind dash panel, center, bottom",,6,B1,,,,,,
EXV,Instrument cluster,EATC,,behind instrument cluster,,9,A5,,,,,,
EXV,Instrument cluster,with autolamps,,behind instrument cluster,,9,A5,,,,,,
EXV,Instrument cluster,with autolamps,,behind instrument cluster,,9,A5,,,,,,
EXV,Instrument cluster,without autolamps,,behind instrument cluster,,9,A5,,,,,,
EXV,Instrument cluster,without autolamps,,behind instrument cluster,,9,A5,,,,,,
EXV,Instrument cluster,electronic cluster,,behind instrument cluster,,9,A5,,,,,,
EXV,Instrument cluster,electronic cluster,,behind instrument cluster,,9,A5,,,,,,
EXV,Instrument cluster,conventional cluster,,behind instrument cluster,,9,A5,,,,,,
EXV,Instrument cluster,conventional cluster,,behind instrument cluster,,9,A5,,,,,,
EXV,Instrument cluster,conventional cluster,,behind instrument cluster,,9,A5,,,,,,
EXV,Instrument cluster,,,behind instrument cluster,,9,A5,,,,,,
EXV,Instrument cluster,,,behind instrument cluster,,9,A5,,,,,,
EXV,Instrument cluster,,,behind instrument cluster,,9,A5,,,,,,
EXV,Instrument cluster,,,behind instrument cluster,,9,A5,,,,,,
EXV,Instrument cluster,,,behind instrument cluster,,9,A5,,,,,,
EXV,Instrument cluster,,,behind instrument cluster,,9,A5,,,,,,
EXV,Fuel tank unit,,,"vehicle rear end, on fuel tank",,16,F3,,,,,,
EXV,Driver air bag module,with air bag connected,,in steering wheel,,,,,,,,,
EXV,Passenger air bag module,with air bag connected,,"behind dash panel, RH side, behind glove box",,8,A4,,,,,,
EXV,Passenger air bag module,,,"behind dash panel, RH side, behind glove box",,8,A4,,,,,,
