EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EXV,,001,Lighting control module,,,
EXV,,001,Generator,,,
EXV,,001,Joint connector 2,,,
EXV,,001,Battery Junction Box (BJB) joint connector,,,
EXV,,001,Battery Junction Box (BJB),,,
EXV,,001,Park brake switch,,,
EXV,,001,Brake fluid level switch,,,
EXV,,001,Bulb check relay,,,
EXV,,001,Engine compartment relay box,,,
EXV,,001,Instrument cluster,,,
EXV,,001,Fuse junction panel,,,
EXV,,001,ABS Diode,,,
EXV,,001,Diagnostic connector,,,
EXV,,001,Brake pedal position switch,,,
EXV,,001,Fuse junction panel,,,
EXV,,001,Instrument cluster,,,
EXV,,001,ABS control module,,,
EXV,,001,Battery Junction Box (BJB),,,
EXV,,002,"Wheel speed sensor, left front",,,
EXV,,002,"Wheel speed sensor, right front",,,
EXV,,002,"Wheel speed sensor, left rear",,,
EXV,,002,"Wheel speed sensor, right rear",,,
EXV,,002,ABS control module,,,
EXV,,001,Battery Junction Box (BJB),,,
EXV,,001,Battery Junction Box (BJB) joint connector,,,
EXV,,001,Engine cooling fan motor,,,
EXV,,001,Powertrain Control Module (PCM),,,
EXV,,001,Low speed fan control relay,,,
EXV,,001,High speed fan control relay 1,,,
EXV,,001,High speed fan control relay 2,,,
EXV,,001,Fuse junction panel,,,
EXV,,002,Powertrain Control Module (PCM),,,
EXV,,002,Engine Coolant Temperature (ECT) sensor,,,
EXV,,002,Dual pressure switch,,,
EXV,,001,Powertrain Control Module (PCM),,,
EXV,,001,Injector 6,,,
EXV,,001,Injector 4,,,
EXV,,001,Injector 2,,,
EXV,,001,Injector 5,,,
EXV,,001,Injector 3,,,
EXV,,001,Injector 1,,,
EXV,,001,Battery Junction Box (BJB),,,
EXV,,001,Battery,Without anti-theft,,
EXV,,001,Starter motor,Without anti-theft,,
EXV,,001,Battery Junction Box (BJB) joint connector,Without anti-theft,,
EXV,,001,Battery Junction Box (BJB),Without anti-theft,,
EXV,,001,Engine compartment relay box,Without anti-theft,,
EXV,,001,Start inhibit relay,Without anti-theft,,
EXV,,001,Transmission Range (TR) sensor,Without anti-theft,,
EXV,,001,Fuse junction panel,Without anti-theft,,
EXV,,001,Ignition switch,Without anti-theft,,
EXV,,002,Battery Junction Box (BJB),With anti-theft,,
EXV,,002,Battery,With anti-theft,,
EXV,,002,Smart Entry Control (SEC)/Timer module,With anti-theft,,
EXV,,002,Anti-theft relay,With anti-theft,,
EXV,,002,Engine compartment relay box,With anti-theft,,
EXV,,002,Starter motor,With anti-theft,,
EXV,,002,Battery Junction Box (BJB) joint connector,With anti-theft,,
EXV,,002,Start inhibit relay,With anti-theft,,
EXV,,002,Transmission Range (TR) sensor,With anti-theft,,
EXV,,002,Fuse junction panel,With anti-theft,,
EXV,,002,Ignition switch,With anti-theft,,
EXV,,001,Powertrain Control Module (PCM),,,
EXV,,001,Distributor,,,
EXV,,001,PCM power relay,,,
EXV,,001,Battery Junction Box (BJB),,,
EXV,,002,Resistor,,,
EXV,,002,Spark plugs,,,
EXV,,002,Powertrain Control Module (PCM),,,
EXV,,002,Distributor,,,
EXV,,002,Ignition switch,,,
EXV,,002,Crankshaft position sensor,,,
EXV,,001,Diagnostic connector,,,
EXV,,001,Data Link Connector (DLC),,,
EXV,,001,Powertrain Control Module (PCM),,,
EXV,,001,Fuse junction panel,,,
EXV,,002,Powertrain Control Module (PCM),,,
EXV,,002,Instrument cluster,,,
EXV,,002,Fuse junction panel,,,
EXV,,002,Knock sensor 1,,,
EXV,,003,Powertrain Control Module (PCM),,,
EXV,,003,EVAP canister purge valve,,,
EXV,,003,Mass Air Flow (MAF) sensor,,,
EXV,,003,PCM power relay,,,
EXV,,003,Battery Junction Box (BJB),,,
EXV,,004,Inertia Fuel Shutoff (IFS) switch,,,
EXV,,004,Fuel tank unit,,,
EXV,,004,Driver seat module,,,
EXV,,004,Instrument cluster,,,
EXV,,004,Powertrain Control Module (PCM),,,
EXV,,004,Engine compartment relay box,,,
EXV,,004,Fuel pump relay,,,
EXV,,004,Battery Junction Box (BJB) joint connector,,,
EXV,,004,Battery Junction Box (BJB),,,
EXV,,004,Fuse junction panel,,,
EXV,,005,Engine compartment relay box,,,
EXV,,005,A/C relay,,,
EXV,,005,Idle Speed Control (ISC),,,
EXV,,005,EGR vacuum regulator solenoid valve,,,
EXV,,005,Powertrain Control Module (PCM),,,
EXV,,005,Manifold Absolute Pressure (MAP)/Barometric Pressure (BARO) solenoid,,,
EXV,,005,Fuse junction panel,,,
EXV,,006,Powertrain Control Module (PCM),,,
EXV,,006,Spark plugs,,,
EXV,,006,Resistor,,,
EXV,,006,Distributor,,,
EXV,,006,Ignition switch,,,
EXV,,007,Powertrain Control Module (PCM),,,
EXV,,007,EVAP pressure sensor,,,
EXV,,007,Transaxle Control Module (TCM),,,
EXV,,007,Throttle Position Sensor (TPS),,,
EXV,,008,Intake Air Temperature (IAT) sensor,,,
EXV,,008,EGR temperature sensor,,,
EXV,,008,Engine Coolant Temperature (ECT) sensor,,,
EXV,,008,Powertrain Control Module (PCM),,,
EXV,,009,Crankshaft position sensor,,,
EXV,,009,Manifold Absolute Pressure (MAP)/Barometric Pressure (BARO) sensor,,,
EXV,,009,Powertrain Control Module (PCM),,,
EXV,,009,Power steering pressure switch,,,
EXV,,010,Diagnostic connector,,,
EXV,,010,EVAP canister vent control solenoid,,,
EXV,,010,EVAP canister purge vacuum cut valve bypass solenoid,,,
EXV,,010,Powertrain Control Module (PCM),,,
EXV,,010,Fuse junction panel,,,
EXV,,011,"Heated Oxygen Sensor (HO2S), front",Federal,,
EXV,,011,"Heated Oxygen Sensor (HO2S), rear",Federal,,
EXV,,011,Powertrain Control Module (PCM),Federal,,
EXV,,011,Fuse junction panel,Federal,,
EXV,,012,"Heated Oxygen Sensor (HO2S), front",California,,
EXV,,012,"Heated Oxygen Sensor (HO2S), rear",California,,
EXV,,012,Powertrain Control Module (PCM),California,,
EXV,,012,Fuse junction panel,California,,
EXV,,013,Vehicle Speed Sensor (VSS),,,
EXV,,013,Speed control actuator module,,,
EXV,,013,Powertrain Control Module (PCM),,,
EXV,,013,Transaxle Control Module (TCM),,,
EXV,,013,Instrument cluster,,,
EXV,,014,Powertrain Control Module (PCM),,,
EXV,,014,Transaxle Control Module (TCM),,,
EXV,,014,Throttle position switch,,,
EXV,,014,Fuse junction panel,,,
EXV,,015,Transaxle Control Module (TCM),,,
EXV,,015,Powertrain Control Module (PCM),,,
EXV,,015,Instrument cluster,,,
EXV,,015,Fuse junction panel,,,
EXV,,016,Pulse signal generator,,,
EXV,,016,Transaxle solenoid assembly/transaxle fluid temperature,,,
EXV,,001,Diagnostic connector,,,
EXV,,001,Transaxle Control Module (TCM),,,
EXV,,001,Fuse junction panel,,,
EXV,,002,Vehicle Speed Sensor (VSS),,,
EXV,,002,Speed control actuator module,,,
EXV,,002,Powertrain Control Module (PCM),,,
EXV,,002,Transaxle Control Module (TCM),,,
EXV,,002,Instrument cluster,,,
EXV,,003,Powertrain Control Module (PCM),,,
EXV,,003,Transaxle Control Module (TCM),,,
EXV,,003,Throttle position switch,,,
EXV,,003,Fuse junction panel,,,
EXV,,004,Instrument cluster,,,
EXV,,004,Transaxle Control Module (TCM),,,
EXV,,004,Speed control actuator module,,,
