EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EXV,,,"front of vehicle, center",2,E1,,,,,,,,,
EXV,,,"front of vehicle, LH side",4,F2,,,,,,,,,
EXV,,,"front of vehicle, RH side",1,B3,,,,,,,,,
EXV,,with autolamps,"front of vehicle, LH side",4,F2,,,,,,,,,
EXV,,without autolamps,"front of vehicle, LH side",4,F2,,,,,,,,,
EXV,,,"front of vehicle, LH side",4,F2,,,,,,,,,
EXV,,with autolamps,"front of vehicle, RH side",1,B2,,,,,,,,,
EXV,,without autolamps,"front of vehicle, RH side",1,B2,,,,,,,,,
EXV,,,"front of vehicle, RH side",1,B2,,,,,,,,,
EXV,,with moveable liftgate glass,"engine compartment, front, RH side",1,E1,,,,,,,,,
EXV,,without moveable liftgate glass,"engine compartment, front, RH side",1,E1,,,,,,,,,
EXV,,,"engine compartment, front, RH side",1,E1,,,,,,,,,
EXV,,,"engine compartment, LH side",,,,,,,,,,,
EXV,,,"engine compartment, front, RH side",1,B2,,,,,,,,,
EXV,,,"engine compartment, front, RH side",1,B1,,,,,,,,,
EXV,,,"engine, center, rear",2,E3,,,,,,,,,
EXV,,,"engine, front, RH side",,,,,,,,,,,
EXV,,With anti-theft,"engine, LH side",,,,,,,,,,,
EXV,,Without anti-theft,"engine, LH side",,,,,,,,,,,
EXV,,,"engine, front, RH side",,,,,,,,,,,
EXV,,,"engine compartment, rear, LH side",4,E4,,,,,,,,,
EXV,,,"engine compartment, rear, RH side",1,B5,,,,,,,,,
EXV,,,"engine compartment, rear, LH side",4,B5,,,,,,,,,
EXV,,,"front of vehicle, RH side",1,B3,,,,,,,,,
EXV,,,"front of vehicle, LH side",,,,,,,,,,,
EXV,,,"front of vehicle, LH side",,,,,,,,,,,
EXV,,,"engine compartment, RH side",1,B4,,,,,,,,,
EXV,,,"front of vehicle, LH side",,,,,,,,,,,
EXV,,,"engine compartment, RH side",1,E4,,,,,,,,,
EXV,,,"front of vehicle, LH side",4,E1,,,,,,,,,
EXV,,,"front of vehicle, RH side",1,D1,,,,,,,,,
