EVTM,Name,Qualifier,Location,Locpage,zone
,F2,with memory,in Battery Junction Box (BJB),B4,EXV
,F2,,in Battery Junction Box (BJB),B4,EXV
,F3,,in Battery Junction Box (BJB),E4,EXV
,F4,With anti-theft,in Battery Junction Box (BJB),B4,EXV
,F4,,in Battery Junction Box (BJB),B4,EXV
,F5,ZETEC-VCT,in Battery Junction Box (BJB),B4,EXV
,F5,,in Battery Junction Box (BJB),B4,EXV
,F6,"Data Link Connector, pins 4, 5 and 16",in Battery Junction Box (BJB),E4,EXV
,F6,,in Battery Junction Box (BJB),E4,EXV
,F9,,in Battery Junction Box (BJB),E4,EXV
,F10,,in Battery Junction Box (BJB),B4,EXV
,F12,with autolamps,in Battery Junction Box (BJB),E4,EXV
,F12,without autolamps,in Battery Junction Box (BJB),E4,EXV
,F12,,in Battery Junction Box (BJB),E4,EXV
,F13,,in Battery Junction Box (BJB),B4,EXV
,F15,with autolamps,in Battery Junction Box (BJB),E4,EXV
,F15,without autolamps,in Battery Junction Box (BJB),E4,EXV
,F15,,in Battery Junction Box (BJB),E4,EXV
,F18,,in Battery Junction Box (BJB),B3,EXV
,F20,with memory,in Battery Junction Box (BJB),B3,EXV
,F20,without memory,in Battery Junction Box (BJB),B3,EXV
,F20,front and rear power windows,in Battery Junction Box (BJB),B3,EXV
,F20,front power windows,in Battery Junction Box (BJB),B3,EXV
,F20,,in Battery Junction Box (BJB),B3,EXV
,F21,ZETEC-VCT,in Battery Junction Box (BJB),E3,EXV
,F21,,in Battery Junction Box (BJB),E3,EXV
,F23,,in Battery Junction Box (BJB),E3,EXV
,F25,ZETEC-VCT,in Battery Junction Box (BJB),E2,EXV
,F25,,in Battery Junction Box (BJB),E2,EXV
,F26,EATC,in Battery Junction Box (BJB),B2,EXV
,F26,manual A/C,in Battery Junction Box (BJB),B2,EXV
,F26,,in Battery Junction Box (BJB),B2,EXV
,F27,Heated rear window,in Battery Junction Box (BJB),E2,EXV
,F27,with heat,in Battery Junction Box (BJB),E2,EXV
,F27,,in Battery Junction Box (BJB),E2,EXV
,F28,,in Battery Junction Box (BJB),B2,EXV
,F29,"with autolamps, with daytime running lamps",in Battery Junction Box (BJB),B2,EXV
,F29,with autolamps,in Battery Junction Box (BJB),B2,EXV
,F29,with daytime running lamps,in Battery Junction Box (BJB),B2,EXV
,F29,,in Battery Junction Box (BJB),B2,EXV
,F30,Heated rear window,in fuse junction panel,B4,EXV
,F30,with heat,in fuse junction panel,B4,EXV
,F30,,in fuse junction panel,B4,EXV
,F32,Heated rear window,in fuse junction panel,B4,EXV
,F32,,in fuse junction panel,B4,EXV
,F33,EATC,in fuse junction panel,E4,EXV
,F33,manual A/C,in fuse junction panel,E4,EXV
,F33,,in fuse junction panel,E4,EXV
,F34,Heated rear window,in fuse junction panel,B4,EXV
,F34,,in fuse junction panel,B4,EXV
,F35,with memory,in fuse junction panel,E4,EXV
,F35,With anti-theft,in fuse junction panel,E4,EXV
,F35,Without anti-theft,in fuse junction panel,E4,EXV
,F35,,in fuse junction panel,E4,EXV
,F36,EATC,in fuse junction panel,B4,EXV
,F36,manual A/C,in fuse junction panel,B4,EXV
,F36,,in fuse junction panel,B4,EXV
,F37,with memory,in fuse junction panel,E4,EXV
