EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,SORT,FREQUENCY
EXV,G100,With anti-theft,"engine compartment, LH side, front",,,,
EXV,G100,Without anti-theft,"engine compartment, LH side, front",,,,
EXV,G100,,"engine compartment, LH side, front",,,,
EXV,G101,,"engine compartment, LH side, front",,,,
EXV,G102,,"engine compartment, LH side",,,,
EXV,G103,with autolamps,"engine compartment, RH side, rear",1,B4,,
EXV,G103,without autolamps,"engine compartment, RH side, rear",1,B4,,
EXV,G103,,"engine compartment, RH side, rear",1,B4,,
EXV,G104,with autolamps,"engine compartment, LH side, rear",4,F4,,
EXV,G104,without autolamps,"engine compartment, LH side, rear",4,F4,,
EXV,G104,,"engine compartment, LH side, rear",4,F4,,
EXV,G105,with autolamps,"engine compartment, LH side",4,E4,,
EXV,G105,without autolamps,"engine compartment, LH side",4,E4,,
EXV,G105,ZETEC-VCT,"engine compartment, LH side",4,E4,,
EXV,G105,With anti-theft,"engine compartment, LH side",4,E4,,
EXV,G105,Without anti-theft,"engine compartment, LH side",4,E4,,
EXV,G105,,"engine compartment, LH side",4,E4,,
EXV,G107,,"engine, top",2,B1,,
EXV,G108,Federal,"engine, top",2,A2,,
EXV,G108,"pins 7, 8 and 11","engine, top",2,A2,,
EXV,G108,"Data Link Connector, pins 4, 5 and 16","engine, top",2,A2,,
EXV,G108,California,"engine, top",2,A2,,
EXV,G108,,"engine, top",2,A2,,
EXV,G200,,"behind dash panel, center, RH side",6,D1,,
EXV,G201,Highline audio,"behind dash panel, center, RH side",6,D1,,
EXV,G201,Midline audio,"behind dash panel, center, RH side",6,D1,,
EXV,G201,base audio,"behind dash panel, center, RH side",6,D1,,
EXV,G201,,"behind dash panel, center, RH side",6,D1,,
EXV,G204,EATC,"behind dash panel, RH side",8,E4,,
EXV,G204,"with autolamps, with daytime running lamps","behind dash panel, RH side",8,E4,,
EXV,G204,with autolamps,"behind dash panel, RH side",8,E4,,
EXV,G204,without autolamps,"behind dash panel, RH side",8,E4,,
EXV,G204,with air bag connected,"behind dash panel, RH side",8,E4,,
EXV,G204,Heated rear window,"behind dash panel, RH side",8,E4,,
EXV,G204,with air bag disconnected,"behind dash panel, RH side",8,E4,,
EXV,G204,with heat,"behind dash panel, RH side",8,E4,,
EXV,G204,manual A/C,"behind dash panel, RH side",8,E4,,
EXV,G204,,"behind dash panel, RH side",8,E4,,
EXV,G206,with memory,"vehicle rear end, LH side",16,B2,,
EXV,G206,with moveable liftgate glass,"vehicle rear end, LH side",16,B2,,
EXV,G206,without moveable liftgate glass,"vehicle rear end, LH side",16,B2,,
EXV,G206,Highline audio,"vehicle rear end, LH side",16,B2,,
EXV,G206,,"vehicle rear end, LH side",16,B2,,
EXV,G208,with memory,"bottom, B-pillar, LH side",5,B1,,
EXV,G208,EATC,"bottom, B-pillar, LH side",5,B1,,
EXV,G208,"with autolamps, with daytime running lamps","bottom, B-pillar, LH side",5,B1,,
EXV,G208,with autolamps,"bottom, B-pillar, LH side",5,B1,,
EXV,G208,with daytime running lamps,"bottom, B-pillar, LH side",5,B1,,
EXV,G208,without memory,"bottom, B-pillar, LH side",5,B1,,
EXV,G208,front and rear power windows,"bottom, B-pillar, LH side",5,B1,,
EXV,G208,Highline audio,"bottom, B-pillar, LH side",5,B1,,
EXV,G208,front power windows,"bottom, B-pillar, LH side",5,B1,,
EXV,G208,with heat,"bottom, B-pillar, LH side",5,B1,,
EXV,G208,manual A/C,"bottom, B-pillar, LH side",5,B1,,
EXV,G208,with reading lamps,"bottom, B-pillar, LH side",5,B1,,
EXV,G208,with interior lamps,"bottom, B-pillar, LH side",5,B1,,
EXV,G208,Midline audio,"bottom, B-pillar, LH side",5,B1,,
EXV,G208,"Data Link Connector, pins 4, 5 and 16","bottom, B-pillar, LH side",5,B1,,
EXV,G208,,"bottom, B-pillar, LH side",5,B1,,
EXV,G300,EATC,"vehicle rear end, LH side",17,F2,,
EXV,G300,manual A/C,"vehicle rear end, LH side",17,F2,,
EXV,G300,,"vehicle rear end, LH side",17,F2,,
EXV,G400,with moveable liftgate glass,"vehicle rear end, RH side",16,B5,,
EXV,G400,without moveable liftgate glass,"vehicle rear end, RH side",16,B5,,
EXV,G400,,"vehicle rear end, RH side",16,B5,,
EXV,G402,Heated rear window,"vehicle rear end, RH side, top",17,E5,,
EXV,G402,,"vehicle rear end, RH side, top",17,E5,,
