EVTM,CELL,PAGE,NAME,QUALIFIER,REFCELL,REFPAGE,CARROT,PAGEID1,PAGEID2,ITEMID_,CELLID2
EXV,,001,310-03-00-004,Without anti-theft,,004,,,,,
EXV,,001,310-03-00-004,Without anti-theft,,004,,,,,
EXV,,002,310-03-00-004,With anti-theft,,004,,,,,
EXV,,002,310-03-00-004,With anti-theft,,004,,,,,
EXV,,003,303-14-00-006,,,006,,,,,
EXV,,004,303-14-00-007,,,007,,,,,
EXV,,006,303-14-00-003,,,003,,,,,
EXV,,007,303-14-00-009,,,009,,,,,
EXV,,007,303-14-00-008,,,008,,,,,
EXV,,007,303-14-00-004,,,004,,,,,
EXV,,007,303-14-00-008,,,008,,,,,
EXV,,007,303-14-00-016,,,016,,,,,
EXV,,007,303-14-00-008,,,008,,,,,
EXV,,007,303-14-00-009,,,009,,,,,
EXV,,007,303-14-00-009,,,009,,,,,
EXV,,008,303-14-00-007,,,007,,,,,
EXV,,008,303-14-00-007,,,007,,,,,
EXV,,008,303-14-00-007,,,007,,,,,
EXV,,009,303-14-00-007,,,007,,,,,
EXV,,009,303-14-00-007,,,007,,,,,
EXV,,009,303-14-00-007,,,007,,,,,
EXV,,016,303-14-00-007,,,007,,,,,
EXV,,006,501-10-00-005,,,005,,,,,
EXV,,006,501-09-00-005,,,005,,,,,
EXV,,006,303-06-00-002,,,002,,,,,
EXV,,006,303-06-00-001,,,001,,,,,
EXV,,008,307-01-00-009,,,009,,,,,
EXV,,009,307-01-00-008,,,008,,,,,
EXV,,004,310-03-00-005,,,005,,,,,
EXV,,004,310-03-00-005,,,005,,,,,
EXV,,005,310-03-00-004,,,004,,,,,
EXV,,005,310-03-00-004,,,004,,,,,
EXV,,001,412-00-00-003,manual A/C,,003,,,,,
EXV,,002,412-00-00-008,manual A/C,,008,,,,,
EXV,,003,412-00-00-001,manual A/C,,001,,,,,
EXV,,005,412-00-00-008,EATC,,008,,,,,
EXV,,008,412-00-00-002,,,002,,,,,
EXV,,008,412-00-00-005,,,005,,,,,
EXV,,001,413-00-00-002,,,002,,,,,
EXV,,002,413-00-00-001,,,001,,,,,
EXV,,002,413-00-00-006,,,006,,,,,
EXV,,002,413-00-00-006,,,006,,,,,
EXV,,002,413-00-00-003,,,003,,,,,
EXV,,002,413-00-00-003,,,003,,,,,
EXV,,003,413-00-00-005,,,005,,,,,
EXV,,003,413-00-00-004,,,004,,,,,
EXV,,003,413-00-00-005,,,005,,,,,
EXV,,003,413-00-00-002,,,002,,,,,
EXV,,003,413-00-00-002,,,002,,,,,
EXV,,003,413-00-00-004,,,004,,,,,
EXV,,004,413-00-00-003,conventional cluster,,003,,,,,
EXV,,004,413-00-00-009,conventional cluster,,009,,,,,
EXV,,004,413-00-00-003,conventional cluster,,003,,,,,
EXV,,004,413-00-00-009,conventional cluster,,009,,,,,
EXV,,005,413-00-00-003,electronic cluster,,003,,,,,
EXV,,005,413-00-00-009,electronic cluster,,009,,,,,
EXV,,005,413-00-00-003,electronic cluster,,003,,,,,
EXV,,005,413-00-00-009,electronic cluster,,009,,,,,
EXV,,006,413-00-00-008,,,008,,,,,
EXV,,006,413-00-00-007,,,007,,,,,
EXV,,006,413-00-00-008,,,008,,,,,
EXV,,006,413-00-00-002,,,002,,,,,
EXV,,006,413-00-00-002,,,002,,,,,
EXV,,006,413-00-00-007,,,007,,,,,
EXV,,007,413-00-00-006,EATC,,006,,,,,
EXV,,007,413-00-00-006,EATC,,006,,,,,
EXV,,007,413-00-00-009,EATC,,009,,,,,
EXV,,008,413-00-00-006,manual A/C,,006,,,,,
EXV,,008,413-00-00-006,manual A/C,,006,,,,,
EXV,,008,413-00-00-008,manual A/C,,008,,,,,
EXV,,009,413-00-00-008,,,008,,,,,
EXV,,009,413-00-00-005,,,005,,,,,
EXV,,009,413-00-00-004,,,004,,,,,
EXV,,009,413-00-00-005,,,005,,,,,
EXV,,009,413-00-00-007,,,007,,,,,
EXV,,009,413-00-00-004,,,004,,,,,
EXV,,001,413-01A-00-003,,,003,,,,,
EXV,,001,413-01A-00-002,,,002,,,,,
EXV,,002,413-01A-00-001,,,001,,,,,
EXV,,002,413-01A-00-003,,,003,,,,,
EXV,,003,413-01A-00-001,,,001,,,,,
EXV,,003,413-01A-00-002,,,002,,,,,
EXV,,003,413-01A-00-004,,,004,,,,,
EXV,,004,413-01A-00-005,,,005,,,,,
