EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
EXV,S108,Federal,"engine bulkhead, RH side",,
EXV,S108,California,"engine bulkhead, RH side",,
EXV,S108,,"engine bulkhead, RH side",,
EXV,S109,,"engine bulkhead, RH side",,
EXV,S110,,"engine bulkhead, RH side",,
EXV,S112,"Data Link Connector, pins 4, 5 and 16","engine bulkhead, RH side",,
EXV,S112,,"engine bulkhead, RH side",,
EXV,S114,,engine,,
EXV,S115,,"engine compartment, front, LH side",,
EXV,S116,,"engine compartment, front",,
EXV,S118,,engine,,
EXV,S119,,"behind dash panel, LH side",,
EXV,S121,,engine,,
EXV,S127,,engine,,
EXV,S129,,"engine compartment, LH side",,
EXV,S131,,"engine compartment, rear, center",,
EXV,S133,With anti-theft,"engine compartment, front, LH side",,
EXV,S133,,"engine compartment, front, LH side",,
EXV,S134,,"engine compartment, rear, center",,
EXV,S136,,engine,,
EXV,S137,with memory,transmission,,
EXV,S137,,transmission,,
EXV,S138,with memory,transmission,,
EXV,S138,,transmission,,
EXV,S139,,engine,,
EXV,S140,,engine,,
EXV,S141,,engine,,
EXV,S146,,"engine bulkhead, RH side",,
EXV,S147,,"engine bulkhead, RH side",,
EXV,S154,Federal,engine,,
EXV,S154,,engine,,
EXV,S158,,"engine compartment, front, LH side",,
EXV,S159,,"engine compartment, front, LH side",,
EXV,S160,,engine,,
EXV,S202,,"behind dash panel, center, top",,
EXV,S203,"Data Link Connector, pins 4, 5 and 16","behind dash panel, LH side",,
EXV,S203,,"behind dash panel, LH side",,
EXV,S204,Heated rear window,"behind dash panel, LH side",,
EXV,S204,with heat,"behind dash panel, LH side",,
EXV,S204,,"behind dash panel, LH side",,
EXV,S205,,"behind dash panel, center",,
EXV,S206,,"behind dash panel, center",,
EXV,S208,"with autolamps, with daytime running lamps","behind dash panel, RH side, top",,
EXV,S208,with autolamps,"behind dash panel, RH side, top",,
EXV,S208,,"behind dash panel, RH side, top",,
EXV,S211,,"vehicle floor, above rear axle",,
EXV,S219,,"behind dash panel, center, top",,
EXV,S220,,"behind dash panel, RH side",,
EXV,S221,,transmission,,
EXV,S222,,"behind dash panel, RH side",,
EXV,S226,,"bottom, B-pillar, LH side",,
EXV,S227,front and rear power windows,"behind dash panel, center, top",,
EXV,S227,front power windows,"behind dash panel, center, top",,
EXV,S227,,"behind dash panel, center, top",,
EXV,S228,with memory,"bottom, B-pillar, LH side",,
EXV,S228,without memory,"bottom, B-pillar, LH side",,
EXV,S228,,"bottom, B-pillar, LH side",,
EXV,S229,,"behind dash panel, center, top",,
EXV,S230,"pins 7, 8 and 11","behind dash panel, center, top",,
EXV,S230,"Data Link Connector, pins 4, 5 and 16","behind dash panel, center, top",,
EXV,S230,,"behind dash panel, center, top",,
EXV,S231,EATC,"behind dash panel, center, top",,
EXV,S231,,"behind dash panel, center, top",,
EXV,S232,,"behind dash panel, center, top",,
EXV,S233,,"in driver door, top",,
EXV,S234,Highline audio,"behind dash panel, center, top",,
EXV,S234,Midline audio,"behind dash panel, center, top",,
EXV,S234,,"behind dash panel, center, top",,
EXV,S235,with heat,"in driver door, top",,
EXV,S235,,"in driver door, top",,
EXV,S236,EATC,"behind dash panel, RH side",,
